,2021,2020,2019,2018
intangibleAssets,257000000.0,313000000.0,339000000.0,282000000.0
capitalSurplus,29803000000.0,27260000000.0,12736000000.0,10249000000.0
totalLiab,30548000000.0,28469000000.0,26199000000.0,23427000000.0
totalStockholderEquity,30189000000.0,22225000000.0,6618000000.0,4923000000.0
minorityInterest,1394000000.0,1454000000.0,1492000000.0,1390000000.0
otherCurrentLiab,4756000000.0,4147000000.0,3693000000.0,2955000000.0
totalAssets,62131000000.0,52148000000.0,34309000000.0,29740000000.0
commonStock,1000000.0,1000000.0,1000000.0,
otherCurrentAssets,345000000.0,238000000.0,246000000.0,193000000.0
retainedEarnings,331000000.0,-5399000000.0,-6083000000.0,-5318000000.0
otherLiab,3896000000.0,3302000000.0,2969000000.0,2318000000.0
goodWill,200000000.0,207000000.0,198000000.0,68000000.0
treasuryStock,54000000.0,363000000.0,-36000000.0,-8000000.0
otherAssets,3398000000.0,1536000000.0,1469000000.0,1380000000.0
cash,17576000000.0,19384000000.0,6268000000.0,3686000000.0
totalCurrentLiabilities,19705000000.0,14248000000.0,10667000000.0,9993000000.0
shortLongTermDebt,1088000000.0,1758000000.0,1399000000.0,2284000000.0
otherStockholderEquity,54000000.0,363000000.0,-36000000.0,-8000000.0
propertyPlantEquipment,31176000000.0,23375000000.0,20199000000.0,19691000000.0
totalCurrentAssets,27100000000.0,26717000000.0,12103000000.0,8307000000.0
netTangibleAssets,29732000000.0,21705000000.0,6081000000.0,4573000000.0
shortTermInvestments,131000000.0,,,
netReceivables,1986000000.0,1903000000.0,1324000000.0,949000000.0
longTermDebt,4285000000.0,8571000000.0,10375000000.0,8461000000.0
inventory,5757000000.0,4101000000.0,3552000000.0,3113000000.0
accountsPayable,10025000000.0,6051000000.0,3771000000.0,3405000000.0
longTermInvestments,,,1000000.0,12000000.0
researchDevelopment,2593000000,1491000000,1343000000,1460000000
effectOfAccountingCharges,,,,
incomeBeforeTax,6343000000,1154000000,-665000000,-1005000000
netIncome,5519000000,721000000,-862000000,-976000000
sellingGeneralAdministrative,4517000000,3188000000,2646000000,2835000000
grossProfit,13606000000,6630000000,4069000000,4042000000
ebit,6523000000,1951000000,80000000,-253000000
operatingIncome,6523000000,1951000000,80000000,-253000000
otherOperatingExpenses,-27000000,-27000000,-27000000,-27000000
interestExpense,-358000000,-784000000,-725000000,-653000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,699000000,292000000,110000000,58000000
totalRevenue,53823000000,31536000000,24578000000,21461000000
totalOperatingExpenses,47300000000,29585000000,24498000000,21714000000
costOfRevenue,40217000000,24906000000,20509000000,17419000000
totalOtherIncomeExpenseNet,-180000000,-797000000,-745000000,-752000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,5644000000,862000000,-775000000,-1063000000
netIncomeApplicableToCommonShares,5524000000,690000000,-870000000,-976000000
investments,-132000000,-132000000,-132000000,-132000000
changeToLiabilities,5371000000,2423000000,1447000000,2203000000
totalCashflowsFromInvestingActivities,-7868000000,-3132000000,-1436000000,-2337000000
netBorrowings,-5732000000,-2488000000,798000000,89000000
totalCashFromFinancingActivities,-5203000000,9973000000,1529000000,574000000
changeToOperatingActivities,-3014000000,-1165000000,-1000000000,-625000000
issuanceOfStock,707000000,12686000000,1111000000,296000000
changeInCash,-1757000000,13118000000,2506000000,312000000
effectOfExchangeRate,-183000000,334000000,8000000,-23000000
totalCashFromOperatingActivities,11497000000,5943000000,2405000000,2098000000
depreciation,2810000000,2322000000,2092000000,1888000000
otherCashflowsFromInvestingActivities,-1222000000,123000000,46000000,46000000
changeToInventory,-1709000000,-422000000,-429000000,-1023000000
changeToAccountReceivables,-130000000,-652000000,-367000000,-497000000
otherCashflowsFromFinancingActivities,-178000000,-225000000,-380000000,189000000
changeToNetincome,2650000000,2716000000,1524000000,969000000
capitalExpenditures,-6514000000,-3232000000,-1432000000,-2319000000
