,2021,2020,2019,2018
intangibleAssets,21442500000,20331500000,14959600000,11206600000
capitalSurplus,64761500000,56347200000,56339700000,56316000000
totalLiab,1573619700000,924836700000,650337700000,428926100000
totalStockholderEquity,2149259800000,1834811300000,1613705600000,1660428800000
minorityInterest,2422700000,952500000,681700000,676300000
otherCurrentLiab,408026800000,369982900000,339498600000,132650300000
totalAssets,3725302200000,2760600500000,2264725000000,2090031200000
commonStock,259303800000,259303800000,259303800000,259303800000
otherCurrentAssets,10890700000,8985000000,5600900000,5639400000
retainedEarnings,1887802900000,1573840100000,1325630400000,1360258900000
otherLiab,181123000000,16305000000,11832100000,15189000000
goodWill,5379200000,5436600000,5693400000,5795500000
treasuryStock,-62608400000,-54679800000,-27568300000,-15449900000
otherAssets,54371000000,31712200000,21756300000,20091100000
cash,1064990200000,660170600000,455399300000,577814600000
totalCurrentLiabilities,758352800000,631898400000,598363800000,356837100000
deferredLongTermAssetCharges,49153900000,25958200000,17928400000,16806400000
shortLongTermDebt,4576300000,2601200000,31800000000,35053900000
otherStockholderEquity,-62608400000,-54679800000,-27568300000,-15449900000
propertyPlantEquipment,2007853100000,1583317600000,1369609800000,1072050300000
totalCurrentAssets,1607072900000,1092185300000,822613900000,951679700000
longTermInvestments,29183500000,27617300000,30092000000,29208000000
netTangibleAssets,2122438100000,1809043200000,1593052600000,1643426700000
shortTermInvestments,139713300000,139587200000,138623100000,132312600000
netReceivables,198362900000,146089000000,139822300000,129262800000
longTermDebt,613379700000,256072700000,25100000000,56900000000
inventory,193102300000,137353400000,82981200000,103231000000
accountsPayable,48722800000,41095000000,40206000000,34350400000
researchDevelopment,124734800000,109486000000,91418700000,85895600000
effectOfAccountingCharges,,,,
incomeBeforeTax,663036000000,584746300000,389862100000,397543100000
netIncome,592359200000,510744000000,353948000000,363052700000
sellingGeneralAdministrative,44488200000,35570400000,28085800000,26253700000
grossProfit,819537300000,711130100000,496101900000,500582100000
ebit,650528900000,566605000000,375799700000,387648600000
operatingIncome,650528900000,566605000000,375799700000,387648600000
otherOperatingExpenses,-214600000,-531300000,797700000,784200000
interestExpense,-5414200000,-2081500000,-3250900000,-3051200000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,70155400000,73738300000,35835100000,34436900000
totalRevenue,1587415000000,1339254800000,1069985400000,1031473600000
totalOperatingExpenses,936886100000,772649800000,694185700000,643825000000
costOfRevenue,767877700000,628124700000,573883500000,530891500000
totalOtherIncomeExpenseNet,12507100000,18141300000,14062400000,9894500000
discontinuedOperations,,,,
netIncomeFromContinuingOps,592880600000,511008000000,354027000000,363106200000
netIncomeApplicableToCommonShares,592359200000,510744000000,353948000000,363052700000
investments,4400000000,357900000,-10783800000,-9730600000
changeToLiabilities,8298300000,404600000,5860100000,4540600000
totalCashflowsFromInvestingActivities,-836365800000,-505781700000,-458801600000,-314268900000
netBorrowings,397185900000,172723700000,-6026300000,-34101900000
totalCashFromFinancingActivities,136608500000,-88615100000,-269638200000,-245124800000
changeToOperatingActivities,229373600000,36679000000,1983000000,-24044200000
changeInCash,404819600000,204771300000,-122415300000,24422900000
effectOfExchangeRate,-7583800000,-23498100000,-9114200000,9862300000
totalCashFromOperatingActivities,1112160700000,822666200000,615138700000,573954300000
depreciation,418071000000,328055400000,283136900000,289711000000
otherCashflowsFromInvestingActivities,7080200000,10034800000,21447000000,17961900000
dividendsPaid,-265786400000,-259303800000,-259303800000,-207443000000
changeToInventory,-55748900000,-54372200000,20249800000,-29370000000
changeToAccountReceivables,-52105900000,-8082700000,-18119600000,-13271300000
otherCashflowsFromFinancingActivities,5209000000,-2035000000,-4308100000,-3579900000
changeToNetincome,-35059700000,8534100000,-36515600000,-19979900000
capitalExpenditures,-839195700000,-507238700000,-460422200000,-315581900000
annualDilutedAverageShares,5186076000,5186076000,5186076000,5186076000
