,2021,2020,2019,2018
intangibleAssets,3305600000.0,3286400000.0,3323600000.0,3634700000.0
totalLiab,11786700000.0,11729600000.0,13179900000.0,10850100000.0
totalStockholderEquity,6255900000.0,6407700000.0,7267600000.0,7022700000.0
minorityInterest,17200000.0,19400000.0,44800000.0,42100000.0
otherCurrentLiab,1044300000.0,885800000.0,1502800000.0,317200000.0
totalAssets,18059800000.0,18156700000.0,20492300000.0,17914900000.0
commonStock,259700000.0,263300000.0,262800000.0,266400000.0
otherCurrentAssets,186700000.0,131900000.0,4485800000.0,402400000.0
retainedEarnings,8353200000.0,8495300000.0,9730800000.0,9439800000.0
otherLiab,2246600000.0,2617700000.0,2688500000.0,2793700000.0
goodWill,5504800000.0,5342800000.0,5125700000.0,5959500000.0
treasuryStock,-2357000000.0,-2350900000.0,-2726000000.0,-2683500000.0
otherAssets,889300000.0,809800000.0,927800000.0,857900000.0
cash,2159200000.0,3289900000.0,1278600000.0,903400000.0
totalCurrentLiabilities,4752400000.0,4338900000.0,5238600000.0,4315700000.0
shortLongTermDebt,350400000.0,775600000.0,650300000.0,350600000.0
otherStockholderEquity,-637600000.0,-631500000.0,-1006600000.0,-964100000.0
propertyPlantEquipment,1835600000.0,1758500000.0,1821400000.0,1730800000.0
totalCurrentAssets,6470900000.0,6905600000.0,9293800000.0,5732000000.0
longTermInvestments,53600000.0,53600000.0,,
netTangibleAssets,-2554500000.0,-2221500000.0,-1181700000.0,-2571500000.0
netReceivables,2594200000.0,2294600000.0,2250800000.0,2748400000.0
longTermDebt,4491700000.0,4496500000.0,4922900000.0,3740700000.0
inventory,1530800000.0,1189200000.0,1278600000.0,1677800000.0
accountsPayable,1787300000.0,1520200000.0,1381300000.0,1705300000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1790700000,1288200000,1398900000,1257800000
netIncome,1423400000,854900000,1410900000,1337600000
sellingGeneralAdministrative,2430900000,2233700000,2339900000,2252000000
grossProfit,4477100000,3827500000,4027700000,3786500000
ebit,2046200000,1593800000,1687800000,1534500000
operatingIncome,2046200000,1593800000,1687800000,1534500000
otherOperatingExpenses,,,,
interestExpense,-233700000,-248700000,-242800000,-221000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,333500000,296800000,238600000,234900000
totalRevenue,14136400000,12454700000,13075900000,12343800000
totalOperatingExpenses,12090200000,10860900000,11388100000,10809300000
costOfRevenue,9659300000,8627200000,9048200000,8557300000
totalOtherIncomeExpenseNet,-255500000,-305600000,-288900000,-276700000
discontinuedOperations,-20600000,-122300000,265800000,329800000
netIncomeFromContinuingOps,1457200000,991400000,1160300000,1022900000
netIncomeApplicableToCommonShares,1423400000,854900000,1410900000,1337600000
changeToLiabilities,275300000,75800000,93200000,99600000
totalCashflowsFromInvestingActivities,-545700000,-376200000,-1780000000,-629400000
netBorrowings,-432500000,-307500000,1490400000,17600000
totalCashFromFinancingActivities,-2127600000,884300000,270500000,-1378800000
changeToOperatingActivities,95800000,153000000,-89600000,-71700000
issuanceOfStock,78300000,64500000,72500000,43100000
changeInCash,-1130700000,2011300000,400200000,-646000000
repurchaseOfStock,-1100300000,-250000000,-750100000,-900200000
effectOfExchangeRate,-45700000,68200000,-9800000,-45600000
totalCashFromOperatingActivities,1588300000,1435000000,1919500000,1407800000
depreciation,253700000,244100000,233400000,230700000
otherCashflowsFromInvestingActivities,-68600000,-36500000,-1493400000,-68700000
dividendsPaid,-561100000,-507300000,-510100000,-479500000
changeToInventory,-348800000,109000000,3900000,-186900000
changeToAccountReceivables,-265400000,5900000,-77800000,-213500000
otherCashflowsFromFinancingActivities,-112000000,1884600000,-32200000,-59800000
changeToNetincome,108600000,-57900000,290100000,160400000
capitalExpenditures,-223000000,-146200000,-205400000,-284700000
