,2022,2021,2020,2019
intangibleAssets,1022363000.0,612483000.0,453038000.0,676551000.0
capitalSurplus,2597205000.0,2288781000.0,2134748000.0,2019369000.0
totalLiab,2736560000.0,2696326000.0,2409588000.0,2202485000.0
totalStockholderEquity,3809659000.0,3331892000.0,2539244000.0,2040580000.0
otherCurrentLiab,1159833000.0,1162126000.0,1002664000.0,1049711000.0
totalAssets,6546219000.0,6028218000.0,4948832000.0,4243065000.0
commonStock,1390000.0,1376000.0,1359000.0,1346000.0
otherCurrentAssets,453600000.0,597789000.0,617793000.0,646999000.0
retainedEarnings,2288993000.0,1870971000.0,1282085000.0,877626000.0
otherLiab,420299000.0,301940000.0,218990000.0,250691000.0
goodWill,674554000.0,535306000.0,386494000.0,381717000.0
treasuryStock,-1077929000.0,-829236000.0,-878948000.0,-857761000.0
otherAssets,482835000.0,338209000.0,327018000.0,227257000.0
cash,1732047000.0,1422884000.0,1357664000.0,826525000.0
totalCurrentLiabilities,2104964000.0,2234715000.0,2038539000.0,1951794000.0
deferredLongTermAssetCharges,73801000.0,90206000.0,116676000.0,134732000.0
otherStockholderEquity,-57345000.0,-8664000.0,-58376000.0,-37189000.0
propertyPlantEquipment,459245000.0,314127000.0,286172000.0,127882000.0
totalCurrentAssets,3871088000.0,4220515000.0,3493351000.0,2827835000.0
longTermInvestments,36134000.0,7578000.0,2759000.0,1823000.0
netTangibleAssets,2112742000.0,2184103000.0,1699712000.0,982312000.0
shortTermInvestments,820060000.0,1308692000.0,644003000.0,744485000.0
netReceivables,684346000.0,658316000.0,674180000.0,453372000.0
inventory,13224000.0,17742000.0,19108000.0,28200000.0
accountsPayable,125882000.0,71001000.0,65684000.0,72797000.0
researchDevelopment,406566000.0,317311000.0,296398000.0,230170000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,465398000.0,677816000.0,458439000.0,232785000.0
minorityInterest,,,,
netIncome,418022000.0,588886000.0,404459000.0,333837000.0
sellingGeneralAdministrative,974184000.0,835668000.0,776659000.0,672634000.0
grossProfit,2040010000.0,1876760000.0,1546520000.0,1152176000.0
ebit,598155000.0,668185000.0,425350000.0,209140000.0
operatingIncome,598155000.0,668185000.0,425350000.0,209140000.0
otherOperatingExpenses,,,,
interestExpense,-18628000.0,-6207000.0,-2637000.0,-8032000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,47376000.0,88930000.0,53980000.0,-101052000.0
totalRevenue,3504800000.0,3372772000.0,3088970000.0,2668394000.0
totalOperatingExpenses,2906645000.0,2704587000.0,2663620000.0,2459254000.0
costOfRevenue,1464790000.0,1496012000.0,1542450000.0,1516218000.0
totalOtherIncomeExpenseNet,-132757000.0,9631000.0,33089000.0,23645000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,418022000.0,588886000.0,404459000.0,333837000.0
netIncomeApplicableToCommonShares,418022000.0,588886000.0,404459000.0,333837000.0
investments,458367000.0,-635332000.0,69473000.0,-128458000.0
changeToLiabilities,-76551000.0,231139000.0,244273000.0,505865000.0
totalCashflowsFromInvestingActivities,139216000.0,-806724000.0,4049000.0,-223576000.0
netBorrowings,-12150000.0,-12150000.0,-12150000.0,-12150000.0
totalCashFromFinancingActivities,-256813000.0,-57338000.0,-77453000.0,-463685000.0
changeToOperatingActivities,-661976000.0,-344874000.0,-297108000.0,-507513000.0
issuanceOfStock,19657000.0,14214000.0,10515000.0,10515000.0
changeInCash,135084000.0,66855000.0,601406000.0,145615000.0
repurchaseOfStock,-264086000.0,-71552000.0,-87968000.0,-463685000.0
effectOfExchangeRate,-5303000.0,18599000.0,-10868000.0,-10639000.0
totalCashFromOperatingActivities,257984000.0,912318000.0,685678000.0,843515000.0
depreciation,126013000.0,88550000.0,68618000.0,63605000.0
otherCashflowsFromInvestingActivities,822000.0,822000.0,822000.0,822000.0
changeToInventory,4106000.0,2503000.0,8489000.0,-14403000.0
changeToAccountReceivables,-17857000.0,47195000.0,-195484000.0,-98075000.0
otherCashflowsFromFinancingActivities,-234000.0,-234000.0,-234000.0,-234000.0
changeToNetincome,377034000.0,193729000.0,284506000.0,366404000.0
capitalExpenditures,-158642000.0,-68923000.0,-53384000.0,-66969000.0
annualDilutedAverageShares,116775000.0,115744000.0,114136000.0,115198000.0
