,2021,2020,2019,2018
intangibleAssets,85000000,122000000,409000000,717000000
capitalSurplus,2630000000,2333000000,2110000000,1950000000
totalLiab,11343000000,10164000000,9111000000,8143000000
totalStockholderEquity,13333000000,9187000000,8907000000,8994000000
otherCurrentLiab,121000000,134000000,46000000,103000000
totalAssets,24676000000,19351000000,18018000000,17137000000
commonStock,1741000000,1741000000,1741000000,1741000000
retainedEarnings,45919000000,42051000000,39898000000,37906000000
otherLiab,1150000000,1277000000,1426000000,1350000000
goodWill,4362000000,4362000000,4362000000,4362000000
treasuryStock,-36957000000,-36938000000,-34842000000,-32603000000
otherAssets,876000000,991000000,546000000,753000000
cash,4631000000,3107000000,2437000000,2438000000
totalCurrentLiabilities,2569000000,2390000000,2123000000,2474000000
deferredLongTermAssetCharges,263000000,343000000,197000000,295000000
shortLongTermDebt,500000000,550000000,500000000,749000000
otherStockholderEquity,-157000000,-360000000,-347000000,-473000000
propertyPlantEquipment,5606000000,3588000000,3640000000,3183000000
totalCurrentAssets,13685000000,10239000000,8761000000,8097000000
longTermInvestments,62000000,49000000,300000000,25000000
netTangibleAssets,8886000000,4703000000,4136000000,3915000000
shortTermInvestments,5108000000,3461000000,2950000000,1795000000
netReceivables,1701000000,1414000000,1074000000,1207000000
longTermDebt,7241000000,6248000000,5303000000,4319000000
inventory,1910000000,1955000000,2001000000,2217000000
accountsPayable,653000000,415000000,388000000,478000000
researchDevelopment,1554000000,1530000000,1544000000,1559000000
effectOfAccountingCharges,,,,
incomeBeforeTax,8919000000,6017000000,5728000000,6686000000
minorityInterest,,,,
netIncome,7769000000,5595000000,5017000000,5580000000
sellingGeneralAdministrative,1658000000,1616000000,1650000000,1716000000
grossProfit,12376000000,9269000000,9164000000,10277000000
ebit,9022000000,5925000000,5682000000,6684000000
operatingIncome,9022000000,5925000000,5682000000,6684000000
otherOperatingExpenses,,,,
interestExpense,-184000000,-190000000,-170000000,-125000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1150000000,422000000,711000000,1106000000
totalRevenue,18344000000,14461000000,14383000000,15784000000
totalOperatingExpenses,9322000000,8536000000,8701000000,9100000000
costOfRevenue,5968000000,5192000000,5219000000,5507000000
totalOtherIncomeExpenseNet,-103000000,92000000,46000000,2000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,7769000000,5595000000,5017000000,5580000000
netIncomeApplicableToCommonShares,7736000000,5568000000,4985000000,5537000000
investments,-1646000000,-241000000,-1135000000,1067000000
changeToLiabilities,33000000,63000000,-93000000,-7000000
totalCashflowsFromInvestingActivities,-4095000000,-922000000,-1920000000,-78000000
netBorrowings,945000000,998000000,741000000,1000000000
totalCashFromFinancingActivities,-3137000000,-4547000000,-4730000000,-6329000000
changeToOperatingActivities,64000000,-16000000,250000000,662000000
issuanceOfStock,377000000,470000000,539000000,373000000
changeInCash,1524000000,670000000,-1000000,782000000
repurchaseOfStock,-527000000,-2553000000,-2960000000,-5100000000
totalCashFromOperatingActivities,8756000000,6139000000,6649000000,7189000000
depreciation,897000000,733000000,996000000,908000000
otherCashflowsFromInvestingActivities,-62000000,-36000000,32000000,-23000000
dividendsPaid,-3886000000,-3426000000,-3008000000,-2555000000
changeToInventory,45000000,46000000,216000000,-282000000
changeToAccountReceivables,-287000000,-340000000,133000000,71000000
otherCashflowsFromFinancingActivities,-46000000,-36000000,-42000000,-47000000
changeToNetincome,198000000,-20000000,269000000,53000000
capitalExpenditures,-2462000000,-649000000,-847000000,-1131000000
