,2021,2020,2019,2018
intangibleAssets,1080982000.0,331189000.0,378914000.0,276852000.0
capitalSurplus,1075650000.0,905332000.0,739478000.0,731435000.0
totalLiab,2408129000.0,621163000.0,574556000.0,466117000.0
totalStockholderEquity,2324032000.0,1986111000.0,1617058000.0,1324846000.0
otherCurrentLiab,510529000.0,461278000.0,412495000.0,350512000.0
totalAssets,4732161000.0,2607274000.0,2191614000.0,1790963000.0
commonStock,481000.0,481000.0,481000.0,481000.0
otherCurrentAssets,8151000.0,2479000.0,2328000.0,3406000.0
retainedEarnings,1273614000.0,1112156000.0,917336000.0,771925000.0
otherLiab,231016000.0,40607000.0,48641000.0,42215000.0
goodWill,2359674000.0,838428000.0,840117000.0,753718000.0
treasuryStock,-25713000.0,-31858000.0,-40237000.0,-178995000.0
otherAssets,59908000.0,55209000.0,59798000.0,16020000.0
cash,309171000.0,603623000.0,232682000.0,134279000.0
totalCurrentLiabilities,829501000.0,564277000.0,509093000.0,423902000.0
shortLongTermDebt,30000000.0,,,
otherStockholderEquity,-46000.0,-46000.0,-46000.0,-46000.0
propertyPlantEquipment,220913000.0,186738000.0,190853000.0,155177000.0
totalCurrentAssets,964331000.0,1113070000.0,679697000.0,518858000.0
longTermInvestments,46353000.0,82640000.0,42235000.0,70338000.0
netTangibleAssets,-1116624000.0,816494000.0,398027000.0,294276000.0
shortTermInvestments,52300000.0,72187000.0,39399000.0,44306000.0
netReceivables,539196000.0,403917000.0,380571000.0,303609000.0
longTermDebt,1311276000.0,,,
accountsPayable,119988000.0,14011000.0,14977000.0,6910000.0
researchDevelopment,93481000.0,88363000.0,81342000.0,63264000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,158981000.0,175042000.0,159838000.0,155870000.0
minorityInterest,,,,
netIncome,161458000.0,194820000.0,146527000.0,147462000.0
sellingGeneralAdministrative,362279000.0,259561000.0,257746000.0,207605000.0
grossProfit,709644000.0,542512000.0,516900000.0,439578000.0
ebit,209035000.0,172926000.0,156367000.0,152492000.0
operatingIncome,209035000.0,172926000.0,156367000.0,152492000.0
otherOperatingExpenses,,,,
interestExpense,-23298000.0,-1013000.0,-2027000.0,-770000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,-2477000.0,-19778000.0,13311000.0,8408000.0
totalRevenue,1592287000.0,1116663000.0,1086427000.0,935282000.0
totalOperatingExpenses,1383252000.0,943737000.0,930060000.0,782790000.0
costOfRevenue,882643000.0,574151000.0,569527000.0,495704000.0
totalOtherIncomeExpenseNet,-50054000.0,2116000.0,3471000.0,3378000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,161458000.0,194820000.0,146527000.0,147462000.0
netIncomeApplicableToCommonShares,161458000.0,194820000.0,146527000.0,147462000.0
investments,53999000.0,-68876000.0,16054000.0,-34420000.0
changeToLiabilities,-73000.0,47717000.0,51845000.0,41187000.0
totalCashflowsFromInvestingActivities,-2090935000.0,-98320000.0,-245015000.0,-238255000.0
netBorrowings,1355000000.0,1355000000.0,1355000000.0,1355000000.0
totalCashFromFinancingActivities,1424730000.0,114172000.0,88698000.0,-63595000.0
changeToOperatingActivities,-57624000.0,-11983000.0,-13573000.0,-3033000.0
issuanceOfStock,109872000.0,135275000.0,106484000.0,82958000.0
changeInCash,-294452000.0,370941000.0,98403000.0,-51647000.0
repurchaseOfStock,-12977000.0,-15484000.0,-17786000.0,-146553000.0
totalCashFromOperatingActivities,371753000.0,355089000.0,254720000.0,250203000.0
depreciation,87723000.0,48495000.0,45734000.0,38787000.0
otherCashflowsFromInvestingActivities,384000.0,314000.0,-295000.0,1682000.0
changeToAccountReceivables,17608000.0,-10733000.0,-65738000.0,-50916000.0
otherCashflowsFromFinancingActivities,-27165000.0,-5619000.0,-5619000.0,-5619000.0
changeToNetincome,104502000.0,68728000.0,60912000.0,47102000.0
capitalExpenditures,-33919000.0,-22690000.0,-37236000.0,-27424000.0
annualDilutedAverageShares,42244000.0,41526000.0,40105000.0,40123000.0
