,2021,2020,2019,2018
intangibleAssets,2803000000.0,2838000000.0,3009000000.0,3159000000.0
capitalSurplus,9156000000.0,8366000000.0,6129000000.0,6120000000.0
totalLiab,63146000000.0,53588000000.0,41080000000.0,38982000000.0
totalStockholderEquity,5029000000.0,5960000000.0,11531000000.0,10042000000.0
otherCurrentLiab,9153000000.0,6447000000.0,7825000000.0,7220000000.0
totalAssets,68175000000.0,59548000000.0,52611000000.0,49024000000.0
commonStock,4000000.0,4000000.0,3000000.0,3000000.0
otherCurrentAssets,37000000.0,255000000.0,,
retainedEarnings,625000000.0,2626000000.0,9716000000.0,6715000000.0
otherLiab,8247000000.0,9677000000.0,7831000000.0,7428000000.0
goodWill,4527000000.0,4527000000.0,4523000000.0,4523000000.0
treasuryStock,-4756000000.0,-5036000000.0,-4317000000.0,-2796000000.0
otherAssets,3163000000.0,1546000000.0,2161000000.0,1809000000.0
cash,18283000000.0,11269000000.0,2762000000.0,1694000000.0
totalCurrentLiabilities,18304000000.0,12725000000.0,14938000000.0,13839000000.0
deferredLongTermAssetCharges,659000000.0,131000000.0,,
shortLongTermDebt,3002000000.0,1911000000.0,1407000000.0,1230000000.0
otherStockholderEquity,-942000000.0,-1139000000.0,-718000000.0,-803000000.0
propertyPlantEquipment,34504000000.0,34837000000.0,33568000000.0,31484000000.0
totalCurrentAssets,21834000000.0,14800000000.0,8194000000.0,7094000000.0
longTermInvestments,1344000000.0,1000000000.0,1156000000.0,955000000.0
netTangibleAssets,-2301000000.0,-1405000000.0,3999000000.0,2360000000.0
shortTermInvestments,123000000.0,414000000.0,2182000000.0,2256000000.0
netReceivables,1663000000.0,1295000000.0,1364000000.0,1426000000.0
longTermDebt,30361000000.0,24836000000.0,13145000000.0,12215000000.0
inventory,983000000.0,932000000.0,1072000000.0,985000000.0
accountsPayable,2562000000.0,1595000000.0,2703000000.0,2363000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,-2557000000,-8822000000,3914000000,2648000000
minorityInterest,,,,
netIncome,-1964000000,-7069000000,3009000000,2122000000
sellingGeneralAdministrative,776000000,546000000,1863000000,1769000000
grossProfit,3265000000,-2471000000,14782000000,13194000000
ebit,-4330000000,-8904000000,4568000000,3670000000
operatingIncome,-4330000000,-8904000000,4568000000,3670000000
otherOperatingExpenses,4334000000,3399000000,6063000000,5590000000
interestExpense,-1577000000,-992000000,-646000000,-605000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,-593000000,-1753000000,905000000,526000000
totalRevenue,24634000000,15355000000,43259000000,41303000000
totalOperatingExpenses,28964000000,24259000000,38691000000,37633000000
costOfRevenue,21369000000,17826000000,28477000000,28109000000
totalOtherIncomeExpenseNet,1773000000,82000000,-654000000,-1022000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,-1964000000,-7069000000,3009000000,2122000000
netIncomeApplicableToCommonShares,-1964000000,-7069000000,3009000000,2122000000
investments,329000000.0,1767000000.0,63000000.0,-75000000.0
changeToLiabilities,2813000000.0,-366000000.0,1033000000.0,793000000.0
totalCashflowsFromInvestingActivities,-1672000000.0,50000000.0,-4560000000.0,-4455000000.0
netBorrowings,5891000000.0,11227000000.0,395000000.0,-212000000.0
totalCashFromFinancingActivities,6396000000.0,12957000000.0,-1280000000.0,-1501000000.0
changeToOperatingActivities,-695000000.0,458000000.0,-554000000.0,-27000000.0
issuanceOfStock,532000000.0,2103000000.0,2103000000.0,2103000000.0
changeInCash,6791000000.0,8874000000.0,1069000000.0,208000000.0
totalCashFromOperatingActivities,2067000000.0,-4133000000.0,6909000000.0,6164000000.0
depreciation,2303000000.0,2316000000.0,2153000000.0,2043000000.0
otherCashflowsFromInvestingActivities,-1000000.0,4000000.0,30000000.0,156000000.0
changeToAccountReceivables,-448000000.0,135000000.0,44000000.0,17000000.0
otherCashflowsFromFinancingActivities,-27000000.0,-20000000.0,-30000000.0,-54000000.0
changeToNetincome,-124000000.0,221000000.0,1089000000.0,1094000000.0
capitalExpenditures,-2107000000.0,-1727000000.0,-4528000000.0,-4070000000.0
repurchaseOfStock,,-353000000.0,-1645000000.0,-1235000000.0
