,2021,2020,2019,2018
intangibleAssets,81041000,82586000,83657000,19732000
totalLiab,6895371000,7070343000,6085046000,5795395000
totalStockholderEquity,6089664000,6317146000,5504105000,5389262000
minorityInterest,108508000,89390000,79099000,80823000
deferredLongTermLiab,6525000,4985000,6373000,8772000
otherCurrentLiab,10726000,420574000,2515000,2428000
totalAssets,13093543000,13476879000,11668250000,11265480000
commonStock,771000,851000,867000,914000
otherCurrentAssets,194781000,138034000,133930000,174467000
retainedEarnings,6058602000,6268175000,5471345000,5384106000
otherLiab,464759000,786748000,355003000,411470000
goodWill,3962624000,3882715000,3869760000,3844628000
treasuryStock,30291000,48120000,31893000,4242000
otherAssets,361051000,363010000,316430000,440339000
cash,115301000,1224490000,61268000,105220000
totalCurrentLiabilities,1984109000,2481039000,1563390000,1448738000
deferredLongTermAssetCharges,45707000,22689000,16189000,5280000
shortLongTermDebt,45669000,329938000,85900000,61318000
otherStockholderEquity,30291000,48120000,31893000,4242000
propertyPlantEquipment,6241752000,5709637000,5343216000,4847940000
totalCurrentAssets,2263556000,3281869000,1915934000,1937802000
longTermInvestments,183519000,157062000,139253000,175039000
netTangibleAssets,2045999000,2351845000,1550688000,1524902000
netReceivables,1746635000,1728928000,1560847000,1505909000
longTermDebt,4065288000,3473408000,3880218000,3917374000
inventory,206839000,190417000,159889000,148206000
accountsPayable,658900000,570523000,446957000,445652000
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1293313000,1252083000,1066337000,1034525000
netIncome,991590000,943953000,814854000,779705000
sellingGeneralAdministrative,118863000,116059000,107809000,106094000
grossProfit,5051039000,4657668000,4538020000,4349088000
ebit,1394316000,1359354000,1313539000,1228572000
operatingIncome,1394316000,1359354000,1313539000,1228572000
otherOperatingExpenses,3004647000,2671762000,2626280000,2561377000
interestExpense,-85268000,-109089000,-162733000,-156487000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,305681000,299293000,238794000,236642000
totalRevenue,12642117000,11558897000,11378259000,10772278000
totalOperatingExpenses,11247801000,10199543000,10064720000,9543706000
costOfRevenue,7591078000,6901229000,6840239000,6423190000
totalOtherIncomeExpenseNet,-101003000,-107271000,-247202000,-194047000
discontinuedOperations,,,,
netIncomeFromContinuingOps,987632000,952790000,827543000,797883000
netIncomeApplicableToCommonShares,989531000,940972000,812826000,778614000
changeToLiabilities,0.0,0.0,0.0,0.0
totalCashflowsFromInvestingActivities,-914466000.0,-802562000.0,-688410000.0,-747247000.0
netBorrowings,217106000.0,-160968000.0,-17922000.0,-39249000.0
totalCashFromFinancingActivities,-1068950000.0,-384859000.0,-845036000.0,-492202000.0
changeToOperatingActivities,-673985000.0,964035000.0,28262000.0,3969000.0
issuanceOfStock,13372000.0,12318000.0,10806000.0,10196000.0
changeInCash,-1100220000.0,1173487000.0,-94018000.0,32388000.0
repurchaseOfStock,-1220875000.0,-206719000.0,-770504000.0,-397425000.0
effectOfExchangeRate,-499000.0,739000.0,959000.0,-2905000.0
totalCashFromOperatingActivities,883695000.0,2360169000.0,1438469000.0,1274742000.0
depreciation,533213000.0,510493000.0,490392000.0,453076000.0
otherCashflowsFromInvestingActivities,1457000.0,-21840000.0,-19763000.0,66251000.0
dividendsPaid,-65896000.0,-17344000.0,-53003000.0,-37342000.0
changeToAccountReceivables,-8873000.0,-145901000.0,-42056000.0,-42239000.0
otherCashflowsFromFinancingActivities,-12657000.0,-12146000.0,-14413000.0,-28382000.0
changeToNetincome,95780000.0,77996000.0,172211000.0,134283000.0
capitalExpenditures,-855659000.0,-731307000.0,-634095000.0,-664962000.0
investments,,-2672000.0,-14579000.0,-15331000.0
