,2021,2020,2019,2018
intangibleAssets,13621000000.0,14000000000.0,13320000000.0,12025000000.0
totalLiab,135727000000.0,126750000000.0,111727000000.0,95994000000.0
totalStockholderEquity,71760000000.0,65491000000.0,57616000000.0,51696000000.0
minorityInterest,4719000000.0,5048000000.0,4546000000.0,4531000000.0
otherCurrentLiab,24676000000.0,23234000000.0,17217000000.0,14640000000.0
totalAssets,212206000000.0,197289000000.0,173889000000.0,152221000000.0
commonStock,10000000.0,10000000.0,9000000.0,10000000.0
retainedEarnings,77134000000.0,69295000000.0,61178000000.0,55846000000.0
otherLiab,11649000000.0,15682000000.0,13137000000.0,8204000000.0
goodWill,75795000000.0,71337000000.0,65659000000.0,58910000000.0
treasuryStock,-5384000000.0,-3814000000.0,-3578000000.0,-4160000000.0
otherAssets,18775000000.0,17186000000.0,13810000000.0,8346000000.0
cash,21375000000.0,16921000000.0,10985000000.0,10866000000.0
totalCurrentLiabilities,78292000000.0,72420000000.0,61782000000.0,53209000000.0
shortLongTermDebt,3620000000.0,3523000000.0,3470000000.0,1973000000.0
otherStockholderEquity,-5384000000.0,-3814000000.0,-3578000000.0,-4160000000.0
propertyPlantEquipment,5392000000.0,5482000000.0,5733000000.0,5758000000.0
totalCurrentAssets,57309000000.0,49642000000.0,39558000000.0,35660000000.0
longTermInvestments,41314000000.0,39642000000.0,35809000000.0,31522000000.0
netTangibleAssets,-17656000000.0,-19846000000.0,-21363000000.0,-19239000000.0
shortTermInvestments,2532000000.0,2860000000.0,3260000000.0,3458000000.0
netReceivables,28082000000.0,25404000000.0,21462000000.0,18250000000.0
longTermDebt,42383000000.0,38648000000.0,36808000000.0,34581000000.0
accountsPayable,49126000000.0,44367000000.0,40695000000.0,36596000000.0
capitalSurplus,,,7000000.0,
otherCurrentAssets,,,16567000000.0,12980000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,22310000000,20742000000,17981000000,15944000000
netIncome,17285000000,15403000000,13839000000,11986000000
sellingGeneralAdministrative,42579000000,41704000000,35193000000,34074000000
grossProfit,69652000000,67000000000,57598000000,53846000000
ebit,23970000000,22405000000,19685000000,17344000000
operatingIncome,23970000000,22405000000,19685000000,17344000000
otherOperatingExpenses,,,,
interestExpense,-1660000000,-1663000000,-1704000000,-1400000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,4578000000,4973000000,3742000000,3562000000
totalRevenue,287597000000,257141000000,242155000000,226247000000
totalOperatingExpenses,263627000000,234736000000,222470000000,208903000000
costOfRevenue,217945000000,190141000000,184557000000,172401000000
totalOtherIncomeExpenseNet,-1660000000,-1663000000,-1704000000,-1400000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,17732000000,15769000000,14239000000,12382000000
netIncomeApplicableToCommonShares,17285000000,15403000000,13839000000,11986000000
investments,-1843000000,-2836000000,-2504000000,-4099000000
changeToLiabilities,852000000,5626000000,863000000,564000000
totalCashflowsFromInvestingActivities,-10372000000,-12532000000,-12699000000,-12385000000
netBorrowings,2481000000,2586000000,3994000000,4134000000
totalCashFromFinancingActivities,-7455000000,-3590000000,-5625000000,-4365000000
changeToOperatingActivities,1670000000,-2043000000,-342000000,1081000000
issuanceOfStock,1355000000,1440000000,1037000000,838000000
changeInCash,4454000000,5936000000,119000000,-1115000000
repurchaseOfStock,-5000000000,-4250000000,-5500000000,-4500000000
effectOfExchangeRate,-62000000,-116000000,-20000000,-78000000
totalCashFromOperatingActivities,22343000000,22174000000,18463000000,15713000000
depreciation,2180000000,2077000000,1999000000,1822000000
otherCashflowsFromInvestingActivities,-1254000000,-506000000,219000000,-226000000
dividendsPaid,-5280000000,-4584000000,-3932000000,-3320000000
changeToAccountReceivables,-1000000000,-688000000,162000000,-1351000000
otherCashflowsFromFinancingActivities,-1011000000,1218000000,-1224000000,-1517000000
changeToNetincome,433000000,985000000,1221000000,1005000000
capitalExpenditures,-2454000000,-2051000000,-2071000000,-2063000000
