,2021,2020,2019,2018
intangibleAssets,686000000,679000000,633000000,624000000
capitalSurplus,4979000000,4864000000,4523000000,4449000000
totalLiab,49364000000,45440000000,43545000000,38724000000
totalStockholderEquity,14161000000,16958000000,18128000000,20423000000
otherCurrentLiab,1529000000,1227000000,1034000000,1269000000
totalAssets,63525000000,62398000000,61673000000,59147000000
commonStock,2781000000,2781000000,2780000000,2779000000
otherCurrentAssets,202000000,212000000,222000000,333000000
retainedEarnings,55049000000,51326000000,48605000000,45284000000
otherLiab,14628000000,14324000000,13780000000,13173000000
treasuryStock,-48648000000,-42013000000,-37780000000,-32089000000
otherAssets,1075000000,249000000,436000000,393000000
cash,960000000,1799000000,831000000,1273000000
totalCurrentLiabilities,5744000000,4173000000,4351000000,4626000000
shortLongTermDebt,2074000000,960000000,1143000000,1466000000
otherStockholderEquity,-914000000,-1593000000,-1356000000,-1415000000
propertyPlantEquipment,55972000000,55092000000,55095000000,52055000000
totalCurrentAssets,3551000000,4214000000,3459000000,4163000000
longTermInvestments,2241000000,2164000000,2050000000,1912000000
netTangibleAssets,13475000000,16279000000,17495000000,19799000000
shortTermInvestments,46000000,60000000,60000000,60000000
netReceivables,1722000000,1505000000,1595000000,1755000000
longTermDebt,27319000000,25320000000,23452000000,20171000000
inventory,621000000,638000000,751000000,742000000
accountsPayable,752000000,612000000,749000000,872000000
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,8478000000,6980000000,7747000000,7741000000
minorityInterest,,,,
netIncome,6523000000,5349000000,5919000000,5966000000
sellingGeneralAdministrative,,,,-13000000.0
grossProfit,12747000000,11430000000,11876000000,11743000000
ebit,9363000000,7875000000,8600000000,8530000000
operatingIncome,9363000000,7875000000,8600000000,8530000000
otherOperatingExpenses,1176000000,1345000000,1060000000,1022000000
interestExpense,-1157000000,-1141000000,-1050000000,-870000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1955000000,1631000000,1828000000,1775000000
totalRevenue,21804000000,19533000000,21708000000,22832000000
totalOperatingExpenses,12441000000,11658000000,13108000000,14302000000
costOfRevenue,9057000000,8103000000,9832000000,11089000000
totalOtherIncomeExpenseNet,-885000000,-895000000,-853000000,-789000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,6523000000,5349000000,5919000000,5966000000
netIncomeApplicableToCommonShares,6523000000,5349000000,5919000000,5966000000
investments,24000000,5000000,15000000,15000000
changeToLiabilities,184000000,-73000000,-179000000,-125000000
totalCashflowsFromInvestingActivities,-2709000000,-2676000000,-3435000000,-3411000000
netBorrowings,2957000000,1496000000,2776000000,5350000000
totalCashFromFinancingActivities,-7158000000,-4902000000,-5646000000,-5222000000
changeToOperatingActivities,31000000,-34000000,87000000,-24000000
changeInCash,-835000000,962000000,-472000000,53000000
repurchaseOfStock,-7291000000,-3705000000,-5804000000,-8225000000
totalCashFromOperatingActivities,9032000000,8540000000,8609000000,8686000000
depreciation,2208000000,2210000000,2216000000,2191000000
otherCashflowsFromInvestingActivities,25000000,97000000,-71000000,-37000000
dividendsPaid,-2800000000,-2626000000,-2598000000,-2299000000
changeToInventory,17000000,113000000,-9000000,7000000
changeToAccountReceivables,-217000000,90000000,160000000,-262000000
otherCashflowsFromFinancingActivities,-24000000,-67000000,-20000000,-48000000
changeToNetincome,98000000,715000000,644000000,655000000
capitalExpenditures,-2936000000,-2927000000,-3453000000,-3437000000
