,2021,2020,2019,2018
intangibleAssets,2486000000.0,2274000000.0,2167000000.0,2075000000.0
capitalSurplus,1343000000.0,865000000.0,150000000.0,
totalLiab,55136000000.0,61739000000.0,54574000000.0,46979000000.0
totalStockholderEquity,14253000000.0,657000000.0,3267000000.0,3021000000.0
minorityInterest,16000000.0,12000000.0,16000000.0,16000000.0
otherCurrentLiab,1273000000.0,1578000000.0,1407000000.0,1296000000.0
totalAssets,69405000000.0,62408000000.0,57857000000.0,50016000000.0
commonStock,9000000.0,9000000.0,9000000.0,9000000.0
otherCurrentAssets,768000000.0,2249000000.0,1025000000.0,621000000.0
retainedEarnings,16179000000.0,6896000000.0,9105000000.0,8006000000.0
otherLiab,14740000000.0,20139000000.0,14938000000.0,12920000000.0
goodWill,3692000000.0,3367000000.0,3813000000.0,3811000000.0
treasuryStock,-3278000000.0,-7113000000.0,-5997000000.0,-4994000000.0
otherAssets,1256000000.0,1195000000.0,1403000000.0,1291000000.0
cash,10255000000.0,5910000000.0,5238000000.0,4225000000.0
totalCurrentLiabilities,17569000000.0,17016000000.0,15413000000.0,14087000000.0
deferredLongTermAssetCharges,176000000.0,527000000.0,330000000.0,141000000.0
shortLongTermDebt,2002000000.0,2553000000.0,5000000.0,3000000.0
otherStockholderEquity,-3262000000.0,-7093000000.0,-5971000000.0,-4962000000.0
propertyPlantEquipment,37037000000.0,35327000000.0,33338000000.0,26576000000.0
totalCurrentAssets,24934000000.0,20216000000.0,17103000000.0,16210000000.0
netTangibleAssets,8075000000.0,-4984000000.0,-2713000000.0,-2865000000.0
shortTermInvestments,338000000.0,406000000.0,503000000.0,810000000.0
netReceivables,12845000000.0,11029000000.0,9824000000.0,10132000000.0
longTermDebt,19515000000.0,21758000000.0,21515000000.0,19578000000.0
inventory,717000000.0,620000000.0,511000000.0,421000000.0
accountsPayable,7523000000.0,6455000000.0,5555000000.0,5188000000.0
longTermInvestments,,29000000.0,33000000.0,53000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,16595000000,1844000000,5652000000,6019000000
netIncome,12890000000,1343000000,4440000000,4791000000
sellingGeneralAdministrative,,,,1362000000.0
grossProfit,26867000000,11490000000,13629000000,13130000000
ebit,16268000000,2096000000,5447000000,5458000000
operatingIncome,16268000000,2096000000,5447000000,5458000000
otherOperatingExpenses,7646000000,6696000000,5822000000,5465000000
interestExpense,-694000000,-701000000,-653000000,-605000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,3705000000,501000000,1212000000,1228000000
totalRevenue,97287000000,84628000000,74094000000,71861000000
totalOperatingExpenses,81019000000,82532000000,68647000000,66403000000
costOfRevenue,70420000000,73138000000,60465000000,58731000000
totalOtherIncomeExpenseNet,327000000,-252000000,205000000,561000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,12890000000,1343000000,4440000000,4791000000
netIncomeApplicableToCommonShares,12890000000,1343000000,4440000000,4791000000
investments,54000000,106000000,322000000,-87000000
changeToLiabilities,1265000000,904000000,419000000,1034000000
totalCashflowsFromInvestingActivities,-3818000000,-5283000000,-6061000000,-6330000000
netBorrowings,-2773000000,-851000000,2419000000,-1622000000
totalCashFromFinancingActivities,-6823000000,-4517000000,-1727000000,-5692000000
changeToOperatingActivities,218000000,1739000000,434000000,1429000000
issuanceOfStock,251000000,285000000,218000000,240000000
changeInCash,4345000000,672000000,871000000,598000000
repurchaseOfStock,-500000000,-224000000,-1004000000,-1011000000
effectOfExchangeRate,-21000000,13000000,20000000,-91000000
totalCashFromOperatingActivities,15007000000,10459000000,8639000000,12711000000
depreciation,2953000000,2698000000,2360000000,2207000000
otherCashflowsFromInvestingActivities,18000000,-41000000,-75000000,1000000
dividendsPaid,-3437000000,-3374000000,-3194000000,-3011000000
changeToAccountReceivables,-2147000000,-1562000000,-717000000,-421000000
otherCashflowsFromFinancingActivities,-364000000,-353000000,-166000000,-288000000
changeToNetincome,-172000000,5337000000,1703000000,3671000000
capitalExpenditures,-4194000000,-5412000000,-6380000000,-6283000000
