,2021,2020,2019,2018
intangibleAssets,615000000.0,648000000.0,895000000.0,1084000000.0
capitalSurplus,2567000000.0,2482000000.0,2440000000.0,2408000000.0
totalLiab,14301000000.0,13323000000.0,15140000000.0,14730000000.0
totalStockholderEquity,5991000000.0,4545000000.0,3830000000.0,3403000000.0
otherCurrentLiab,178000000.0,147000000.0,169000000.0,185000000.0
totalAssets,20292000000.0,17868000000.0,18970000000.0,18133000000.0
commonStock,1000000.0,1000000.0,1000000.0,1000000.0
otherCurrentAssets,113000000.0,342000000.0,50000000.0,
retainedEarnings,7551000000.0,6165000000.0,5275000000.0,4101000000.0
otherLiab,2298000000.0,1906000000.0,1978000000.0,1770000000.0
goodWill,5528000000.0,5168000000.0,5154000000.0,5058000000.0
treasuryStock,-4128000000.0,-4103000000.0,-3886000000.0,-3107000000.0
otherAssets,10602000000.0,8743000000.0,9806000000.0,9616000000.0
cash,144000000.0,202000000.0,52000000.0,43000000.0
totalCurrentLiabilities,2603000000.0,1890000000.0,2198000000.0,2116000000.0
shortLongTermDebt,853000000.0,644000000.0,939000000.0,903000000.0
otherStockholderEquity,-171000000.0,-146000000.0,-186000000.0,-237000000.0
propertyPlantEquipment,1396000000.0,1292000000.0,1273000000.0,614000000.0
totalCurrentAssets,2151000000.0,2017000000.0,1842000000.0,1761000000.0
netTangibleAssets,-152000000.0,-1271000000.0,-2219000000.0,-2739000000.0
netReceivables,1701000000.0,1330000000.0,1608000000.0,1545000000.0
longTermDebt,8697000000.0,8903000000.0,10362000000.0,10722000000.0
inventory,164000000.0,125000000.0,120000000.0,109000000.0
accountsPayable,816000000.0,466000000.0,454000000.0,536000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1846000000.0,1139000000.0,1514000000.0,1476000000.0
minorityInterest,,,,
netIncome,1386000000.0,890000000.0,1174000000.0,1096000000.0
sellingGeneralAdministrative,1199000000.0,979000000.0,1092000000.0,1038000000.0
grossProfit,3890000000.0,3232000000.0,3745000000.0,3430000000.0
ebit,2319000000.0,1896000000.0,2246000000.0,2084000000.0
operatingIncome,2319000000.0,1896000000.0,2246000000.0,2084000000.0
otherOperatingExpenses,,,,
interestExpense,-394000000.0,-486000000.0,-648000000.0,-481000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,460000000.0,249000000.0,340000000.0,380000000.0
totalRevenue,9716000000.0,8530000000.0,9351000000.0,8047000000.0
totalOperatingExpenses,7397000000.0,6634000000.0,7105000000.0,5963000000.0
costOfRevenue,5826000000.0,5298000000.0,5606000000.0,4617000000.0
totalOtherIncomeExpenseNet,-473000000.0,-757000000.0,-732000000.0,-608000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,1386000000.0,890000000.0,1174000000.0,1096000000.0
netIncomeApplicableToCommonShares,1386000000.0,890000000.0,1174000000.0,1096000000.0
changeToLiabilities,307000000.0,10000000.0,-86000000.0,49000000.0
totalCashflowsFromInvestingActivities,-3611000000.0,-223000000.0,-1710000000.0,-4551000000.0
netBorrowings,-98000000.0,-1985000000.0,-418000000.0,2236000000.0
totalCashFromFinancingActivities,-140000000.0,-2293000000.0,-1305000000.0,1397000000.0
changeToOperatingActivities,335000000.0,-226000000.0,-150000000.0,40000000.0
changeInCash,-58000000.0,150000000.0,9000000.0,-309000000.0
repurchaseOfStock,-34000000.0,-286000000.0,-870000000.0,-817000000.0
effectOfExchangeRate,4000000.0,8000000.0,8000000.0,-8000000.0
totalCashFromOperatingActivities,3689000000.0,2658000000.0,3024000000.0,2853000000.0
depreciation,372000000.0,387000000.0,407000000.0,308000000.0
otherCashflowsFromInvestingActivities,25000000.0,40000000.0,24000000.0,22000000.0
changeToInventory,9000000.0,-5000000.0,-8000000.0,-20000000.0
changeToAccountReceivables,-300000000.0,218000000.0,39000000.0,-115000000.0
otherCashflowsFromFinancingActivities,-8000000.0,-23000000.0,-28000000.0,-24000000.0
changeToNetincome,-44000000.0,-231000000.0,2000000.0,120000000.0
capitalExpenditures,-2230000000.0,-300000000.0,-1519000000.0,-1627000000.0
investments,,-3000000.0,-3000000.0,-3000000.0
issuanceOfStock,,1000000.0,11000000.0,2000000.0
annualDilutedAverageShares,72800000.0,72900000.0,77700000.0,83500000.0
