,2021,2020,2019,2018
intangibleAssets,3738000000.0,2864000000.0,3223000000.0,3392000000.0
capitalSurplus,8539000000.0,8511000000.0,8475000000.0,8469000000.0
totalLiab,517897000000.0,500180000000.0,442943000000.0,415717000000.0
totalStockholderEquity,48547000000.0,47112000000.0,45869000000.0,45045000000.0
minorityInterest,469000000.0,630000000.0,630000000.0,628000000.0
totalAssets,573284000000.0,553905000000.0,495426000000.0,467374000000.0
commonStock,21000000.0,21000000.0,21000000.0,21000000.0
otherCurrentAssets,9046000000.0,10089000000.0,9729000000.0,5999000000.0
retainedEarnings,69201000000.0,64188000000.0,63186000000.0,59065000000.0
otherLiab,15414000000.0,14757000000.0,16221000000.0,13914000000.0
goodWill,10262000000.0,9918000000.0,9655000000.0,9369000000.0
treasuryStock,-29214000000.0,-25608000000.0,-25813000000.0,-22510000000.0
otherAssets,336479000000.0,318640000000.0,319068000000.0,308549000000.0
cash,28827000000.0,62507000000.0,19205000000.0,18353000000.0
totalCurrentLiabilities,470793000000.0,442826000000.0,386555000000.0,360463000000.0
shortLongTermDebt,1300000000.0,,,
otherStockholderEquity,-1943000000.0,322000000.0,-1373000000.0,-2322000000.0
propertyPlantEquipment,3305000000.0,3468000000.0,3702000000.0,2457000000.0
totalCurrentAssets,40195000000.0,76797000000.0,30986000000.0,25592000000.0
longTermInvestments,179305000000.0,142218000000.0,128792000000.0,118015000000.0
netTangibleAssets,37500000000.0,36540000000.0,35537000000.0,35075000000.0
longTermDebt,30712000000.0,41297000000.0,40167000000.0,41340000000.0
inventory,44000000.0,74000000.0,137000000.0,172000000.0
accountsPayable,456083000000.0,429770000000.0,361916000000.0,345475000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,10166000000,6051000000,8594000000,8678000000
netIncome,7963000000,4959000000,6914000000,7096000000
sellingGeneralAdministrative,12362000000,11360000000,10999000000,10594000000
grossProfit,23762000000,19242000000,21140000000,20813000000
ebit,0,0,0,0
operatingIncome,10325000000,6227000000,8762000000,8839000000
otherOperatingExpenses,1075000000,1655000000,1379000000,1380000000
interestExpense,,,,
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,2181000000,1066000000,1648000000,1554000000
totalRevenue,23762000000,19242000000,21140000000,20813000000
totalOperatingExpenses,13437000000,13015000000,12378000000,11974000000
costOfRevenue,0,0,0,0
totalOtherIncomeExpenseNet,-159000000,-176000000,-168000000,-161000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,7985000000,4985000000,6946000000,7124000000
netIncomeApplicableToCommonShares,7605000000,4621000000,6583000000,6784000000
investments,-41748000000,-11782000000,-9488000000,-622000000
changeToLiabilities,0,0,0,0
totalCashflowsFromInvestingActivities,-57487000000,-15440000000,-21560000000,-8977000000
netBorrowings,-8776000000,-11932000000,8364000000,6638000000
totalCashFromFinancingActivities,13942000000,51899000000,17623000000,361000000
issuanceOfStock,43000000,15000000,88000000,86000000
changeInCash,-33675000000,40175000000,952000000,1948000000
repurchaseOfStock,-1555000000,-1672000000,-4525000000,-2822000000
totalCashFromOperatingActivities,9870000000,3716000000,4889000000,10564000000
depreciation,497000000,527000000,502000000,467000000
otherCashflowsFromInvestingActivities,3000000,-636000000,-1295000000,-289000000
dividendsPaid,-2887000000,-2852000000,-2745000000,-2366000000
otherCashflowsFromFinancingActivities,26146000000,67854000000,16441000000,-1740000000
changeToNetincome,1410000000,-1770000000,-2527000000,3001000000
