,2022,2021,2020,2019
intangibleAssets,,28784000000.0,29031000000.0,27921000000.0
capitalSurplus,,18855000000.0,16721000000.0,16541000000.0
totalLiab,,45307000000.0,44709000000.0,37890000000.0
totalStockholderEquity,,34509000000.0,31124000000.0,29222000000.0
otherCurrentLiab,,11308000000.0,8854000000.0,11196000000.0
totalAssets,,82896000000.0,80919000000.0,72574000000.0
otherCurrentAssets,,4682000000.0,4103000000.0,3782000000.0
retainedEarnings,,15351000000.0,14088000000.0,13502000000.0
otherLiab,,9119000000.0,8655000000.0,7746000000.0
goodWill,,15958000000.0,15910000000.0,15656000000.0
treasuryStock,,303000000.0,315000000.0,-821000000.0
otherAssets,,6594000000.0,5832000000.0,4316000000.0
cash,,16487000000.0,16289000000.0,7838000000.0
totalCurrentLiabilities,,15739000000.0,14510000000.0,13415000000.0
deferredLongTermAssetCharges,,80000000.0,63000000.0,24000000.0
shortLongTermDebt,,999000000.0,2999000000.0,
otherStockholderEquity,,303000000.0,315000000.0,-821000000.0
propertyPlantEquipment,,2110000000.0,2022000000.0,1554000000.0
totalCurrentAssets,,27607000000.0,27645000000.0,20970000000.0
longTermInvestments,,1843000000.0,479000000.0,2157000000.0
netTangibleAssets,,-10233000000.0,-13817000000.0,-14355000000.0
shortTermInvestments,,2025000000.0,3752000000.0,4236000000.0
netReceivables,,3809000000.0,2975000000.0,4720000000.0
longTermDebt,,19978000000.0,21071000000.0,16729000000.0
accountsPayable,,266000000.0,174000000.0,156000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,,16063000000.0,13790000000.0,14884000000.0
minorityInterest,,,,
netIncome,0,12311000000,10866000000,12080000000
sellingGeneralAdministrative,,6568000000.0,6227000000.0,6162000000.0
grossProfit,0,23375000000,21119000000,22256000000
ebit,0,15851000000,14125000000,15438000000
operatingIncome,,15851000000.0,14125000000.0,15438000000.0
otherOperatingExpenses,,152000000.0,152000000.0,152000000.0
interestExpense,,-513000000.0,-516000000.0,-533000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,0,3752000000,2924000000,2804000000
totalRevenue,0,24105000000,21846000000,22977000000
totalOperatingExpenses,0,8254000000,7721000000,7539000000
costOfRevenue,0,730000000,727000000,721000000
totalOtherIncomeExpenseNet,0,212000000,-335000000,-554000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,,12311000000.0,10866000000.0,12080000000.0
netIncomeApplicableToCommonShares,,12008000000.0,10475000000.0,11650000000.0
changeToLiabilities,0.0,88000000.0,21000000.0,-24000000.0
investments,,519000000.0,2168000000.0,842000000.0
totalCashflowsFromInvestingActivities,,-152000000.0,1427000000.0,-591000000.0
netBorrowings,,-3000000000.0,7212000000.0,7212000000.0
totalCashFromFinancingActivities,,-14410000000.0,-3968000000.0,-12061000000.0
changeToOperatingActivities,,-6447000000.0,-8376000000.0,-5946000000.0
issuanceOfStock,,208000000.0,190000000.0,162000000.0
changeInCash,,628000000.0,8339000000.0,-145000000.0
repurchaseOfStock,,-8820000000.0,-8274000000.0,-8718000000.0
effectOfExchangeRate,,-37000000.0,440000000.0,-277000000.0
totalCashFromOperatingActivities,,15227000000.0,10440000000.0,12784000000.0
depreciation,,804000000.0,767000000.0,656000000.0
otherCashflowsFromInvestingActivities,,109000000.0,72000000.0,22000000.0
dividendsPaid,,-2798000000.0,-2664000000.0,-2269000000.0
changeToAccountReceivables,,-343000000.0,-43000000.0,-333000000.0
changeToNetincome,,8814000000.0,7205000000.0,6351000000.0
capitalExpenditures,,-705000000.0,-736000000.0,-756000000.0
otherCashflowsFromFinancingActivities,,,-432000000.0,-1236000000.0
