,2022,2021,2020,2019
intangibleAssets,3317033000.0,3294481000.0,2058458000.0,2127878000.0
capitalSurplus,3916384000.0,3777645000.0,4183780000.0,3921784000.0
totalLiab,9811853000.0,10697865000.0,7775917000.0,6058269000.0
totalStockholderEquity,3530355000.0,3056164000.0,3357334000.0,4298516000.0
deferredLongTermLiab,34684000.0,34607000.0,31977000.0,27830000.0
otherCurrentLiab,614579000.0,434129000.0,287706000.0,540524000.0
totalAssets,13342208000.0,13754029000.0,11133251000.0,10356785000.0
commonStock,97075000.0,97985000.0,97203000.0,99206000.0
otherCurrentAssets,424557000.0,1010575000.0,1054844000.0,1722935000.0
retainedEarnings,443475000.0,189534000.0,7309000.0,1179601000.0
otherLiab,888436000.0,1541778000.0,1123113000.0,1280781000.0
goodWill,2393807000.0,2425427000.0,1156019000.0,1491684000.0
treasuryStock,-926579000.0,-1009000000.0,-930958000.0,-902075000.0
otherAssets,740097000.0,784107000.0,652422000.0,1174602000.0
cash,1275943000.0,815750000.0,1369028000.0,402226000.0
totalCurrentLiabilities,3315397000.0,2210477000.0,3023884000.0,2661604000.0
deferredLongTermAssetCharges,100980000.0,201237000.0,183336000.0,95399000.0
shortLongTermDebt,500000000.0,,,
otherStockholderEquity,-926579000.0,-1009000000.0,-930958000.0,-902075000.0
propertyPlantEquipment,2288833000.0,2450310000.0,2227920000.0,876093000.0
totalCurrentAssets,4588080000.0,4785870000.0,5027016000.0,4673457000.0
longTermInvestments,14358000.0,13834000.0,11416000.0,13071000.0
netTangibleAssets,-2180485000.0,-2663744000.0,142857000.0,678954000.0
netReceivables,1468907000.0,1298900000.0,1309232000.0,1375194000.0
longTermDebt,4567023000.0,5690861000.0,2585514000.0,2087015000.0
inventory,1418673000.0,1061839000.0,1293912000.0,1173102000.0
accountsPayable,562992000.0,463208000.0,407021000.0,489600000.0
shortTermInvestments,,598806000.0,,
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1523250000,456472000,727208000,1038313000
minorityInterest,,,,
netIncome,1386941000,407869000,679449000,1259792000
sellingGeneralAdministrative,4776981000,4201401000,4529120000,4376858000
grossProfit,6457147000,4911950000,5817436000,5625161000
ebit,1680166000,710549000,1288316000,1248303000
operatingIncome,1680166000,710549000,1288316000,1248303000
otherOperatingExpenses,,,,
interestExpense,-136469000,-135655000,-92042000,-107738000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,306981000,101566000,98062000,167887000
totalRevenue,11841840000,9238830000,10488556000,10266887000
totalOperatingExpenses,10161674000,8528281000,9200240000,9018584000
costOfRevenue,5384693000,4326880000,4671120000,4641726000
totalOtherIncomeExpenseNet,-156916000,-254077000,-561108000,-209990000
discontinuedOperations,170672000,52963000,50303000,389366000
netIncomeFromContinuingOps,1216269000,354906000,629146000,870426000
netIncomeApplicableToCommonShares,1386941000,407869000,679449000,1259792000
investments,598806000,-600000000,-600000000,-600000000
changeToLiabilities,105357000,20106000,-73674000,68082000
totalCashflowsFromInvestingActivities,903735000,-2895618000,-302047000,-220632000
netBorrowings,-179796000,1776662000,1004138000,-870441000
totalCashFromFinancingActivities,-1268847000,1052878000,309732000,-1591005000
changeToOperatingActivities,-641991000,-248666000,-703368000,398719000
issuanceOfStock,36654000,54438000,155390000,199296000
changeInCash,425877000,-560118000,854736000,-132603000
repurchaseOfStock,-350004000,-350004000,-1000007000,-150676000
effectOfExchangeRate,-73299000,-30603000,-27476000,14811000
totalCashFromOperatingActivities,864288000,1313225000,874527000,1664223000
depreciation,259919000,257815000,267619000,255729000
otherCashflowsFromInvestingActivities,12561000,-12267000,31789000,-61511000
dividendsPaid,-773205000,-756784000,-748663000,-767061000
changeToInventory,-380851000,314315000,-140744000,-58700000
changeToAccountReceivables,-202526000,70471000,-5947000,-310898000
otherCashflowsFromFinancingActivities,-2496000,-21438000,898874000,-2123000
changeToNetincome,136048000,526901000,912929000,79870000
capitalExpenditures,-245449000,-198658000,-288189000,-215776000
