,2021,2020,2019,2018
intangibleAssets,218000000.0,248000000.0,283000000.0,307000000.0
capitalSurplus,6827000000.0,6814000000.0,6821000000.0,7048000000.0
totalLiab,38071000000.0,32132000000.0,31328000000.0,27424000000.0
totalStockholderEquity,18430000000.0,18801000000.0,21803000000.0,21667000000.0
minorityInterest,1387000000.0,841000000.0,733000000.0,1064000000.0
deferredLongTermLiab,1853000000.0,1703000000.0,1778000000.0,1749000000.0
otherCurrentLiab,456000000.0,167000000.0,263000000.0,80000000.0
totalAssets,57888000000.0,51774000000.0,53864000000.0,50155000000.0
commonStock,7000000.0,7000000.0,7000000.0,7000000.0
retainedEarnings,28281000000.0,28953000000.0,31974000000.0,31044000000.0
otherLiab,7674000000.0,8010000000.0,8031000000.0,7829000000.0
goodWill,260000000.0,260000000.0,260000000.0,260000000.0
treasuryStock,-16685000000.0,-16973000000.0,-16999000000.0,-16432000000.0
otherAssets,3380000000.0,2857000000.0,2817000000.0,2523000000.0
cash,4122000000.0,3313000000.0,2583000000.0,2982000000.0
totalCurrentLiabilities,16851000000.0,9283000000.0,13160000000.0,10724000000.0
shortLongTermDebt,1110000000.0,603000000.0,453000000.0,169000000.0
otherStockholderEquity,-1008000000.0,-1254000000.0,-1351000000.0,-1507000000.0
propertyPlantEquipment,32131000000.0,31593000000.0,30593000000.0,28848000000.0
totalCurrentAssets,21165000000.0,15844000000.0,18969000000.0,17675000000.0
longTermInvestments,734000000.0,972000000.0,942000000.0,542000000.0
netTangibleAssets,17952000000.0,18293000000.0,21260000000.0,21100000000.0
netReceivables,10378000000.0,6109000000.0,8344000000.0,7116000000.0
longTermDebt,10840000000.0,12410000000.0,8428000000.0,8334000000.0
inventory,6265000000.0,6038000000.0,7013000000.0,6532000000.0
accountsPayable,12495000000.0,6082000000.0,10205000000.0,8594000000.0
otherCurrentAssets,,,644000000.0,229000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1543000000.0,-2010000000.0,3486000000.0,4232000000.0
netIncome,930000000.0,-1421000000.0,2422000000.0,3122000000.0
sellingGeneralAdministrative,808000000.0,719000000.0,821000000.0,897000000.0
grossProfit,5487000000.0,1266000000.0,6531000000.0,7611000000.0
ebit,2235000000.0,-1512000000.0,3883000000.0,4600000000.0
operatingIncome,2235000000.0,-1512000000.0,3883000000.0,4600000000.0
otherOperatingExpenses,87000000.0,-262000000.0,-428000000.0,45000000.0
interestExpense,-603000000.0,-563000000.0,-454000000.0,-470000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,255000000.0,-903000000.0,702000000.0,879000000.0
totalRevenue,108332000000.0,60115000000.0,102729000000.0,111407000000.0
totalOperatingExpenses,106097000000.0,61627000000.0,98846000000.0,106807000000.0
costOfRevenue,102845000000.0,58849000000.0,96198000000.0,103796000000.0
totalOtherIncomeExpenseNet,-692000000.0,-498000000.0,-397000000.0,-368000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,1288000000.0,-1107000000.0,2784000000.0,3353000000.0
netIncomeApplicableToCommonShares,924000000.0,-1426000000.0,2415000000.0,3113000000.0
investments,261000000.0,-54000000.0,-164000000.0,-181000000.0
changeToLiabilities,6301000000.0,-4068000000.0,1534000000.0,304000000.0
totalCashflowsFromInvestingActivities,-2159000000.0,-2425000000.0,-3001000000.0,-3928000000.0
netBorrowings,-1207000000.0,4075000000.0,335000000.0,-5000000.0
totalCashFromFinancingActivities,-2846000000.0,2077000000.0,-2997000000.0,-3168000000.0
changeToOperatingActivities,271000000.0,96000000.0,-25000000.0,-217000000.0
changeInCash,809000000.0,730000000.0,-399000000.0,-2868000000.0
repurchaseOfStock,-27000000.0,-156000000.0,-1105000000.0,-1708000000.0
effectOfExchangeRate,-45000000.0,130000000.0,68000000.0,-143000000.0
totalCashFromOperatingActivities,5859000000.0,948000000.0,5531000000.0,4371000000.0
depreciation,2357000000.0,2321000000.0,2255000000.0,2069000000.0
otherCashflowsFromInvestingActivities,-755000000.0,-583000000.0,-843000000.0,-907000000.0
dividendsPaid,-1602000000.0,-1600000000.0,-1492000000.0,-1369000000.0
changeToInventory,-253000000.0,1007000000.0,-385000000.0,-197000000.0
changeToAccountReceivables,-4382000000.0,2773000000.0,-1041000000.0,-460000000.0
otherCashflowsFromFinancingActivities,-10000000.0,-242000000.0,-735000000.0,-86000000.0
changeToNetincome,411000000.0,483000000.0,618000000.0,434000000.0
capitalExpenditures,-1665000000.0,-1788000000.0,-1994000000.0,-2284000000.0
annualDilutedAverageShares,407000000.0,407000000.0,414000000.0,428000000.0
