,2021,2020,2019,2018
intangibleAssets,1749000000.0,1123500000.0,1091475000.0,1095378000.0
capitalSurplus,2816500000.0,2802000000.0,2791353000.0,2798486000.0
totalLiab,7114900000.0,5659600000.0,5026936000.0,4629227000.0
totalStockholderEquity,6545000000.0,6027300000.0,5621857000.0,5202903000.0
minorityInterest,22700000.0,,,
deferredLongTermLiab,95600000.0,92900000.0,92759000.0,95800000.0
otherCurrentLiab,155900000.0,73000000.0,95749000.0,104630000.0
totalAssets,13682600000.0,11686900000.0,10648793000.0,9832130000.0
commonStock,132700000.0,132500000.0,132371000.0,131762000.0
otherCurrentAssets,101000000.0,74300000.0,79014000.0,69000000.0
retainedEarnings,3748500000.0,3274100000.0,2895871000.0,2444870000.0
otherLiab,1767800000.0,1435800000.0,1318283000.0,1247320000.0
goodWill,3696700000.0,3172100000.0,3167061000.0,3165396000.0
treasuryStock,-152700000.0,-181300000.0,-197738000.0,-172215000.0
otherAssets,450500000.0,471500000.0,393479000.0,393613000.0
cash,235000000.0,1197100000.0,271589000.0,40037000.0
totalCurrentLiabilities,769300000.0,1047900000.0,535563000.0,602550000.0
shortLongTermDebt,5200000.0,515400000.0,25000.0,23000.0
otherStockholderEquity,-152700000.0,-181300000.0,-197738000.0,-172215000.0
propertyPlantEquipment,6055700000.0,4608300000.0,4556743000.0,4053983000.0
totalCurrentAssets,1696600000.0,2277200000.0,1379326000.0,1079145000.0
longTermInvestments,34100000.0,34300000.0,60709000.0,44615000.0
netTangibleAssets,1099300000.0,1731700000.0,1363321000.0,942129000.0
netReceivables,839300000.0,557200000.0,570415000.0,540778000.0
longTermDebt,3874800000.0,2772200000.0,2784315000.0,2779357000.0
inventory,521300000.0,448600000.0,458308000.0,429330000.0
accountsPayable,365500000.0,273100000.0,265159000.0,216473000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,873800000,743800000,757700000,623290000
netIncome,670800000,584500000,617700000,515805000
sellingGeneralAdministrative,424000000,368300000,372100000,339277000
grossProfit,1373400000,1281500000,1255900000,1100945000
ebit,942500000,907600000,855100000,745363000
operatingIncome,942500000,907600000,855100000,745363000
otherOperatingExpenses,6900000,5600000,28700000,16305000
interestExpense,-149300000,-136000000,-130200000,-137977000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,200100000,155800000,135200000,105449000
totalRevenue,5552200000,4856800000,4929100000,4382869000
totalOperatingExpenses,4609700000,3949200000,4074000000,3637506000
costOfRevenue,4178800000,3575300000,3673200000,3281924000
totalOtherIncomeExpenseNet,-68700000,-163800000,-97400000,-122073000
discontinuedOperations,-3300000,-3500000,-4800000,-2036000
netIncomeFromContinuingOps,673700000,588000000,622500000,517841000
netIncomeApplicableToCommonShares,670800000,584500000,617700000,515805000
changeToLiabilities,-23300000,-6900000,21800000,40181000
totalCashflowsFromInvestingActivities,-1874100000,-381500000,-415800000,-669891000
netBorrowings,134800000,498400000,-133000000,90945000
totalCashFromFinancingActivities,-94300000,234600000,-338200000,-265128000
changeToOperatingActivities,-123300000,-55900000,-111000000,-75409000
changeInCash,-956500000,923500000,230100000,-102242000
repurchaseOfStock,-19100000,-48200000,-41100000,-165829000
totalCashFromOperatingActivities,1011900000,1070400000,984100000,832777000
depreciation,463000000,396800000,374600000,346246000
otherCashflowsFromInvestingActivities,100000,11400000,-11900000,-12850000
dividendsPaid,-196400000,-180200000,-164000000,-148109000
changeToInventory,8300000,9800000,-28300000,-34976000
changeToAccountReceivables,-42000000,13400000,-29700000,63230000
otherCashflowsFromFinancingActivities,-13600000,-35400000,-100000,-42135000
changeToNetincome,58400000,128700000,139000000,-22300000
capitalExpenditures,-451300000,-362200000,-384100000,-469088000
