,2021,2020,2019,2018
intangibleAssets,1739800000.0,1853200000.0,1811000000.0,1584000000.0
capitalSurplus,2608700000.0,2490900000.0,2369100000.0,2283000000.0
totalLiab,4965600000.0,4863600000.0,4794400000.0,3829700000.0
totalStockholderEquity,2816500000.0,2698200000.0,2260800000.0,2070600000.0
minorityInterest,26000000.0,,,
otherCurrentLiab,521100000.0,597600000.0,702000000.0,426300000.0
totalAssets,7808100000.0,7561800000.0,7055200000.0,5900300000.0
commonStock,100000.0,100000.0,100000.0,100000.0
otherCurrentAssets,31700000.0,32300000.0,28300000.0,47400000.0
retainedEarnings,5240400000.0,4762200000.0,4228400000.0,3942600000.0
otherLiab,524900000.0,461600000.0,442900000.0,454600000.0
goodWill,4331200000.0,4108100000.0,3864300000.0,3361500000.0
treasuryStock,-5032700000.0,-4555000000.0,-4336800000.0,-4155100000.0
otherAssets,437100000.0,374800000.0,253300000.0,104700000.0
cash,280300000.0,218800000.0,184600000.0,139500000.0
totalCurrentLiabilities,1843200000.0,1430800000.0,1491800000.0,1324600000.0
deferredLongTermAssetCharges,6600000.0,9100000.0,9800000.0,11100000.0
shortLongTermDebt,349600000.0,449900000.0,,250000000.0
otherStockholderEquity,-394600000.0,-375700000.0,-486900000.0,-591900000.0
propertyPlantEquipment,397400000.0,431500000.0,354600000.0,199700000.0
totalCurrentAssets,902600000.0,794200000.0,744900000.0,644500000.0
netTangibleAssets,-3254500000.0,-3263100000.0,-3414500000.0,-2874900000.0
shortTermInvestments,5000000.0,4100000.0,3600000.0,3300000.0
netReceivables,483000000.0,457800000.0,467500000.0,390400000.0
longTermDebt,2341200000.0,2689300000.0,2648300000.0,2031000000.0
accountsPayable,117300000.0,99300000.0,80000000.0,74700000.0
longTermInvestments,,,27100000.0,5900000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,875400000,897500000,568400000,719700000
netIncome,666200000,712700000,449900000,598700000
sellingGeneralAdministrative,419900000,411700000,475500000,377200000
grossProfit,1940800000,1790700000,1630300000,1508900000
ebit,1137300000,1020900000,824900000,835600000
operatingIncome,1137300000,1020900000,824900000,835600000
otherOperatingExpenses,,,6200000.0,6200000.0
interestExpense,-127000000,-138200000,-126800000,-129700000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,209100000,184800000,118500000,121000000
totalRevenue,2998600000,2784600000,2607100000,2395100000
totalOperatingExpenses,1861300000,1763700000,1782200000,1559500000
costOfRevenue,1057800000,993900000,976800000,886200000
totalOtherIncomeExpenseNet,-261900000,-123400000,-256500000,-115900000
discontinuedOperations,,,,
netIncomeFromContinuingOps,666300000,712700000,449900000,598700000
netIncomeApplicableToCommonShares,666200000,712700000,449900000,598700000
investments,-23600000,-94800000,-94800000,-94800000
changeToLiabilities,-48400000,45500000,162300000,58900000
totalCashflowsFromInvestingActivities,-592000000,-595800000,-927900000,-265400000
netBorrowings,110000000,49800000,449700000,-300000000
totalCashFromFinancingActivities,-498900000,-445200000,10900000,-669800000
changeToOperatingActivities,-69400000,-124200000,45600000,-53700000
issuanceOfStock,84300000,88000000,52400000,87300000
changeInCash,61500000,34200000,45100000,-2800000
repurchaseOfStock,-486800000,-352900000,-305500000,-442300000
effectOfExchangeRate,-3300000,6700000,6100000,-2000000
totalCashFromOperatingActivities,1155700000,1068200000,956300000,934400000
depreciation,246100000,237500000,223500000,210700000
otherCashflowsFromInvestingActivities,-9000000,-1500000,-11900000,103800000
dividendsPaid,-188200000,-175800000,-163500000,-163500000
changeToAccountReceivables,-29700000,1800000,-70300000,-17400000
otherCashflowsFromFinancingActivities,-18200000,-54300000,-22200000,-14800000
changeToNetincome,257700000,73000000,26200000,50500000
capitalExpenditures,-268400000,-246800000,-216800000,-231000000
