,2021,2020,2019,2018
intangibleAssets,400000000.0,400000000.0,400000000.0,
capitalSurplus,6880800000.0,7894000000.0,7937606000.0,7421476000.0
totalLiab,3332500000.0,3065000000.0,2233221000.0,1810695000.0
totalStockholderEquity,10100000000.0,8686800000.0,6085244000.0,4435203000.0
otherCurrentLiab,399500000.0,368700000.0,152300000.0,88416000.0
totalAssets,13432500000.0,11751800000.0,8318465000.0,6245898000.0
commonStock,2500000.0,2600000.0,2589000.0,2546000.0
otherCurrentAssets,187200000.0,79700000.0,17729000.0,23933000.0
retainedEarnings,3200800000.0,858700000.0,-1852978000.0,-2989478000.0
otherLiab,303300000.0,298000000.0,275526000.0,108853000.0
goodWill,1002200000.0,1002200000.0,1002158000.0,50384000.0
treasuryStock,15900000.0,-68500000.0,-1973000.0,659000.0
otherAssets,959500000.0,932100000.0,1260196000.0,1540400000.0
cash,6795000000.0,5988200000.0,3109322000.0,2650134000.0
totalCurrentLiabilities,2142000000.0,1877500000.0,1334827000.0,1120292000.0
deferredLongTermAssetCharges,934500000.0,882800000.0,1190815000.0,1499672000.0
otherStockholderEquity,15900000.0,-68500000.0,-1973000.0,659000.0
propertyPlantEquipment,1424400000.0,1284100000.0,833282000.0,812005000.0
totalCurrentAssets,9560600000.0,8133400000.0,4822829000.0,3843109000.0
longTermInvestments,85800000.0,,,13600000.0
netTangibleAssets,8697800000.0,7284600000.0,4683086000.0,4384819000.0
shortTermInvestments,729900000.0,670700000.0,698972000.0,518108000.0
netReceivables,1136800000.0,885400000.0,633518000.0,409688000.0
inventory,353100000.0,280800000.0,167502000.0,124360000.0
accountsPayable,195000000.0,155100000.0,87610000.0,110987000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,2730400000.0,3116900000.0,1394900000.0,600241000.0
minorityInterest,,,,
netIncome,2342100000.0,2711700000.0,1176800000.0,2096896000.0
sellingGeneralAdministrative,840100000.0,770500000.0,658500000.0,557616000.0
grossProfit,3619100000.0,3639900000.0,1860500000.0,1221582000.0
ebit,2779000000.0,2869400000.0,1202000000.0,663966000.0
operatingIncome,2779000000.0,2869400000.0,1202000000.0,663966000.0
otherOperatingExpenses,,,,
interestExpense,-61500000.0,-58200000.0,-58500000.0,-72471000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,388300000.0,405200000.0,218100000.0,-1486862000.0
totalRevenue,7574400000.0,6205700000.0,4162800000.0,3047597000.0
totalOperatingExpenses,4795400000.0,3336300000.0,2960800000.0,2383631000.0
costOfRevenue,3955300000.0,2565800000.0,2302300000.0,1826015000.0
totalOtherIncomeExpenseNet,-48600000.0,247500000.0,192900000.0,-63725000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,2342100000.0,2711700000.0,1176800000.0,2087103000.0
netIncomeApplicableToCommonShares,2342100000.0,2711700000.0,1176800000.0,2096395000.0
investments,-105900000.0,359200000.0,-5700000.0,-83813000.0
changeToLiabilities,31900000.0,51300000.0,-22800000.0,36554000.0
totalCashflowsFromInvestingActivities,-340900000.0,99400000.0,-1235300000.0,-202158000.0
netBorrowings,-24400000.0,-29000000.0,-29200000.0,-12548000.0
totalCashFromFinancingActivities,-1478000000.0,-505300000.0,126800000.0,-71219000.0
changeToOperatingActivities,230400000.0,249700000.0,246300000.0,341583000.0
issuanceOfStock,102000000.0,264900000.0,343200000.0,289293000.0
changeInCash,811200000.0,2868200000.0,462400000.0,990727000.0
repurchaseOfStock,-1561300000.0,-739400000.0,-192000000.0,-350043000.0
effectOfExchangeRate,-13400000.0,20600000.0,1600000.0,-6182000.0
totalCashFromOperatingActivities,2643500000.0,3253500000.0,1569300000.0,1270286000.0
depreciation,125600000.0,109500000.0,106900000.0,72420000.0
changeToInventory,-92800000.0,-132000000.0,-64000000.0,-31965000.0
changeToAccountReceivables,-274700000.0,-223400000.0,-225600000.0,-108152000.0
otherCashflowsFromFinancingActivities,5700000.0,-1800000.0,4800000.0,2079000.0
changeToNetincome,281000000.0,486700000.0,351700000.0,-1137050000.0
capitalExpenditures,-235000000.0,-259800000.0,-75400000.0,-95449000.0
otherCashflowsFromInvestingActivities,,,,-22896000.0
annualDilutedAverageShares,259900000.0,263396000.0,260673000.0,259185000.0
