,2021,2020,2019,2018
intangibleAssets,459861000.0,325294000.0,421246000.0,617607000.0
capitalSurplus,15498956000.0,14171262000.0,14056453000.0,13076528000.0
totalLiab,13491743000.0,13415723000.0,13873078000.0,12124820000.0
totalStockholderEquity,10854385000.0,10180167000.0,10445892000.0,10215857000.0
minorityInterest,371658000.0,333514000.0,373238000.0,243878000.0
otherCurrentLiab,23140000.0,31584000.0,18211000.0,4766000.0
totalAssets,24717786000.0,23929404000.0,24692208000.0,22584555000.0
commonStock,99838000.0,93635000.0,93185000.0,89125000.0
otherCurrentAssets,75271000.0,47921000.0,125266000.0,64641000.0
retainedEarnings,-4679889000.0,-4030376000.0,-3669050000.0,-2930214000.0
otherLiab,165825000.0,206314000.0,363420000.0,405067000.0
goodWill,1046140000.0,1051650000.0,1051161000.0,1050548000.0
treasuryStock,-64520000.0,-54354000.0,-34696000.0,-19582000.0
otherAssets,739477000.0,790190000.0,926390000.0,625604000.0
cash,149725000.0,413327000.0,106363000.0,72277000.0
totalCurrentLiabilities,1122468000.0,1104080000.0,1099689000.0,986054000.0
deferredLongTermAssetCharges,11152000.0,9987000.0,47495000.0,
otherStockholderEquity,-64520000.0,-54354000.0,-34564000.0,-19582000.0
propertyPlantEquipment,21364247000.0,20229400000.0,21318476000.0,19481673000.0
totalCurrentAssets,420897000.0,688036000.0,574186000.0,441105000.0
longTermInvestments,687164000.0,844834000.0,400749000.0,368018000.0
netTangibleAssets,9348384000.0,8803223000.0,8973485000.0,8547702000.0
netReceivables,195901000.0,226788000.0,342557000.0,304187000.0
longTermDebt,12027544000.0,11895412000.0,12158773000.0,10733699000.0
accountsPayable,971398000.0,961052000.0,970363000.0,881621000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,61386000,344651000,382987000,376038000
netIncome,49008000,439149000,433016000,409467000
sellingGeneralAdministrative,129758000,130158000,158726000,145978000
grossProfit,1738766000,1836296000,2048785000,2010286000
ebit,631005000,750175000,844439000,944669000
operatingIncome,631005000,750175000,844439000,944669000
otherOperatingExpenses,,,,
interestExpense,-440089000,-469541000,-451662000,-442497000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,4827000,-96534000,-56310000,-39953000
totalRevenue,3818181000,3800292000,3859312000,3701584000
totalOperatingExpenses,3187176000,3050117000,3014873000,2756915000
costOfRevenue,2079415000,1963996000,1810527000,1691298000
totalOtherIncomeExpenseNet,-569619000,-405524000,-461452000,-568631000
discontinuedOperations,,,,-10000.0
netIncomeFromContinuingOps,56559000,441185000,439297000,415991000
netIncomeApplicableToCommonShares,49008000,439149000,433016000,409467000
investments,-111444000,-286822000,-3683000,10448000
changeToLiabilities,16721000,189785000,26666000,-37509000
totalCashflowsFromInvestingActivities,-724140000,154295000,-1585299000,324496000
netBorrowings,-420789000,-400633000,384908000,-594643000
totalCashFromFinancingActivities,-558466000,-1300021000,160674000,-1761937000
changeToOperatingActivities,-60493000,-67957000,-66956000,-18206000
issuanceOfStock,625607000,70465000,978264000,8762000
changeInCash,-255043000,305538000,14638000,-56789000
effectOfExchangeRate,1447000,1088000,1480000,-815000
totalCashFromOperatingActivities,1026116000,1450176000,1437783000,1381467000
depreciation,906917000,935826000,927038000,878365000
otherCashflowsFromInvestingActivities,1285000,207000,30179000,6891000
dividendsPaid,-686888000,-928809000,-1157720000,-1127143000
otherCashflowsFromFinancingActivities,-76396000,-41044000,-44778000,-48913000
changeToNetincome,113963000,-46627000,118019000,149350000
capitalExpenditures,-185275000,-148234000,-156724000,-131858000
