,2021,2020,2019,2018
intangibleAssets,26134200000.0,29683200000.0,11649900000.0,13664600000.0
capitalSurplus,18536100000.0,18438800000.0,8643500000.0,8591400000.0
totalLiab,34350100000.0,38598900000.0,19371700000.0,20567800000.0
totalStockholderEquity,20492700000.0,22954100000.0,11883800000.0,12167100000.0
otherCurrentLiab,1880800000.0,2714800000.0,1045800000.0,1096800000.0
totalAssets,54842800000.0,61553000000.0,31255500000.0,32734900000.0
commonStock,12100000.0,12100000.0,6100000.0,6000000.0
otherCurrentAssets,1611700000.0,1354700000.0,307200000.0,326700000.0
retainedEarnings,3688800000.0,5361200000.0,6031100000.0,6010700000.0
otherLiab,4547700000.0,5377300000.0,2412600000.0,2818800000.0
goodWill,12113700000.0,12347000000.0,9590600000.0,9747800000.0
treasuryStock,-1744300000.0,-858000000.0,-2796900000.0,-2441000000.0
otherAssets,2212600000.0,2823900000.0,761300000.0,645900000.0
cash,701200000.0,844400000.0,475600000.0,388100000.0
totalCurrentLiabilities,9884400000.0,10562900000.0,5569100000.0,4587800000.0
deferredLongTermAssetCharges,1332700000.0,2147900000.0,703100000.0,572200000.0
shortLongTermDebt,1860300000.0,2256300000.0,1457600000.0,655200000.0
otherStockholderEquity,-1744300000.0,-858000000.0,-1797200000.0,-1441300000.0
propertyPlantEquipment,3479400000.0,3783500000.0,2404200000.0,2170200000.0
totalCurrentAssets,10902900000.0,12867500000.0,6757300000.0,6367700000.0
netTangibleAssets,-17755200000.0,-19076100000.0,-9356700000.0,-11245300000.0
shortTermInvestments,89200000.0,84900000.0,65800000.0,57500000.0
netReceivables,4266400000.0,4843800000.0,3058800000.0,2881000000.0
longTermDebt,19717100000.0,22429200000.0,11214300000.0,13161200000.0
inventory,3977700000.0,5471900000.0,2670900000.0,2580200000.0
accountsPayable,1657400000.0,1904200000.0,1528100000.0,1617000000.0
longTermInvestments,,47900000.0,92200000.0,138700000.0
researchDevelopment,654600000,507900000,518800000,586300000
effectOfAccountingCharges,,,,
incomeBeforeTax,-664400000,-721200000,154400000,298400000
minorityInterest,,,,
netIncome,-1269100000,-669900000,16800000,352500000
sellingGeneralAdministrative,4128200000,3300000000,2503400000,2397300000
grossProfit,7749900000,4572300000,4444200000,4572000000
ebit,2967100000,764400000,1422000000,1588400000
operatingIncome,2967100000,764400000,1422000000,1588400000
otherOperatingExpenses,,,,
interestExpense,-636200000,-497800000,-517300000,-542300000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,604700000,-51300000,137600000,-54100000
totalRevenue,17886300000,11946000000,11500500000,11433900000
totalOperatingExpenses,14919200000,11181600000,10078500000,9845500000
costOfRevenue,10136400000,7373700000,7056300000,6861900000
totalOtherIncomeExpenseNet,-3631500000,-1485600000,-1267600000,-1290000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,-1269100000,-669900000,16800000,352500000
netIncomeApplicableToCommonShares,-1269100000,-669900000,16800000,352500000
investments,-400000.0,-57800000.0,1300000.0,21800000.0
changeToLiabilities,-70400000.0,-82700000.0,-96300000.0,220300000.0
totalCashflowsFromInvestingActivities,-117800000.0,-301100000.0,-525400000.0,-1210400000.0
netBorrowings,-2099100000.0,-401300000.0,-1102900000.0,-631700000.0
totalCashFromFinancingActivities,-3012000000.0,-605700000.0,-1169000000.0,-1090900000.0
changeToOperatingActivities,-666500000.0,46000000.0,63500000.0,-177900000.0
changeInCash,-143800000.0,358800000.0,101800000.0,19400000.0
repurchaseOfStock,-17400000.0,-7900000.0,-8400000.0,-442100000.0
effectOfExchangeRate,-30900000.0,33800000.0,-7500000.0,-21000000.0
totalCashFromOperatingActivities,3016900000.0,1231800000.0,1803700000.0,2341700000.0
depreciation,3213700000.0,1895500000.0,1838700000.0,1885900000.0
dividendsPaid,-399000000.0,-399000000.0,-399000000.0,-399000000.0
changeToInventory,-427600000.0,-741900000.0,-512900000.0,-547600000.0
changeToAccountReceivables,59300000.0,78700000.0,-20000000.0,340100000.0
otherCashflowsFromFinancingActivities,-496500000.0,-197100000.0,-65800000.0,-34900000.0
changeToNetincome,2877100000.0,702500000.0,456000000.0,289600000.0
capitalExpenditures,-457200000.0,-243000000.0,-213200000.0,-252100000.0
issuanceOfStock,,600000.0,8100000.0,17800000.0
