,2022,2021,2020,2019
intangibleAssets,12417000000.0,11338000000.0,11733000000.0,12146000000.0
capitalSurplus,10950000000.0,10988000000.0,10761000000.0,10639000000.0
totalLiab,59716000000.0,57145000000.0,66039000000.0,43445000000.0
totalStockholderEquity,25275000000.0,23419000000.0,20637000000.0,23512000000.0
minorityInterest,5133000000.0,721000000.0,498000000.0,641000000.0
otherCurrentLiab,97000000.0,98000000.0,5521000000.0,222000000.0
totalAssets,90124000000.0,81285000000.0,87174000000.0,67598000000.0
commonStock,12000000.0,12000000.0,12000000.0,12000000.0
otherCurrentAssets,1048000000.0,799000000.0,5577000000.0,1118000000.0
retainedEarnings,37801000000.0,35121000000.0,34210000000.0,35815000000.0
otherLiab,4102000000.0,4266000000.0,3965000000.0,6578000000.0
goodWill,22280000000.0,12421000000.0,12013000000.0,16560000000.0
treasuryStock,-23488000000.0,-22702000000.0,-24346000000.0,-22954000000.0
otherAssets,1646000000.0,1986000000.0,5547000000.0,1060000000.0
cash,1358000000.0,559000000.0,469000000.0,1023000000.0
totalCurrentLiabilities,22583000000.0,22054000000.0,27070000000.0,25769000000.0
shortLongTermDebt,1000000000.0,1259000000.0,536000000.0,1250000000.0
otherStockholderEquity,-2805000000.0,-2109000000.0,-3771000000.0,-3897000000.0
propertyPlantEquipment,31301000000.0,32738000000.0,32588000000.0,12208000000.0
totalCurrentAssets,16902000000.0,15814000000.0,18073000000.0,18700000000.0
longTermInvestments,5578000000.0,6988000000.0,7220000000.0,6924000000.0
netTangibleAssets,-9422000000.0,-340000000.0,-3109000000.0,-5194000000.0
shortTermInvestments,1114000000.0,634000000.0,,
netReceivables,5017000000.0,5663000000.0,4110000000.0,7226000000.0
longTermDebt,10615000000.0,7698000000.0,12226000000.0,11098000000.0
inventory,8353000000.0,8159000000.0,7917000000.0,9333000000.0
accountsPayable,11255000000.0,11136000000.0,10145000000.0,14341000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,4035000000.0,2622000000.0,477000000.0,4367000000.0
netIncome,4337000000.0,2542000000.0,456000000.0,3982000000.0
sellingGeneralAdministrative,25200000000.0,24191000000.0,22836000000.0,23183000000.0
grossProfit,28266000000.0,28067000000.0,26077000000.0,28159000000.0
ebit,3066000000.0,3876000000.0,3241000000.0,4976000000.0
operatingIncome,3066000000.0,3876000000.0,3241000000.0,4976000000.0
otherOperatingExpenses,,,,
interestExpense,-420000000.0,-502000000.0,-584000000.0,-676000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,-30000000.0,667000000.0,339000000.0,577000000.0
totalRevenue,132703000000.0,132509000000.0,121982000000.0,120074000000.0
totalOperatingExpenses,129637000000.0,128633000000.0,118741000000.0,115098000000.0
costOfRevenue,104437000000.0,104442000000.0,95905000000.0,91915000000.0
totalOtherIncomeExpenseNet,969000000.0,-1254000000.0,-2764000000.0,-609000000.0
discontinuedOperations,,548000000.0,277000000.0,166000000.0
netIncomeFromContinuingOps,4065000000.0,1955000000.0,138000000.0,3790000000.0
netIncomeApplicableToCommonShares,4337000000.0,2542000000.0,456000000.0,3982000000.0
changeToLiabilities,244000000.0,842000000.0,-25000000.0,954000000.0
totalCashflowsFromInvestingActivities,-1064000000.0,4072000000.0,-1297000000.0,-2307000000.0
netBorrowings,1996000000.0,-7127000000.0,-1208000000.0,2508000000.0
totalCashFromFinancingActivities,-1499000000.0,-9036000000.0,-4647000000.0,-3047000000.0
changeToOperatingActivities,-73000000.0,712000000.0,961000000.0,-640000000.0
issuanceOfStock,27000000.0,59000000.0,55000000.0,174000000.0
changeInCash,1288000000.0,524000000.0,-461000000.0,232000000.0
repurchaseOfStock,-187000000.0,-110000000.0,-1589000000.0,-4160000000.0
effectOfExchangeRate,-47000000.0,-66000000.0,-1000000.0,-9000000.0
totalCashFromOperatingActivities,3899000000.0,5555000000.0,5484000000.0,5594000000.0
depreciation,1683000000.0,1689000000.0,1627000000.0,1778000000.0
otherCashflowsFromInvestingActivities,2859000000.0,1355000000.0,795000000.0,136000000.0
dividendsPaid,-1659000000.0,-1617000000.0,-1747000000.0,-1643000000.0
changeToInventory,-433000000.0,165000000.0,63000000.0,141000000.0
changeToAccountReceivables,808000000.0,-1451000000.0,163000000.0,-789000000.0
otherCashflowsFromFinancingActivities,-1676000000.0,-241000000.0,-158000000.0,74000000.0
changeToNetincome,-2923000000.0,612000000.0,2160000000.0,314000000.0
capitalExpenditures,-1734000000.0,-1379000000.0,-1374000000.0,-1702000000.0
annualDilutedAverageShares,,866400000.0,880300000.0,923500000.0
