,2022,2021,2020,2019
intangibleAssets,213000000.0,442000000.0,941000000.0,1711000000.0
capitalSurplus,3733000000.0,3608000000.0,3717000000.0,3851000000.0
totalLiab,14038000000.0,15411000000.0,16111000000.0,16403000000.0
totalStockholderEquity,12221000000.0,10721000000.0,9551000000.0,9967000000.0
otherCurrentLiab,1347000000.0,503000000.0,214000000.0,271000000.0
totalAssets,26259000000.0,26132000000.0,25662000000.0,26370000000.0
commonStock,3000000.0,3000000.0,3000000.0,3000000.0
otherCurrentAssets,681000000.0,514000000.0,551000000.0,533000000.0
retainedEarnings,9039000000.0,7539000000.0,6725000000.0,7449000000.0
otherLiab,1502000000.0,2067000000.0,2416000000.0,2340000000.0
goodWill,10041000000.0,10066000000.0,10067000000.0,10076000000.0
treasuryStock,-554000000.0,-429000000.0,-894000000.0,-1336000000.0
otherAssets,2061000000.0,2058000000.0,2121000000.0,2644000000.0
cash,2327000000.0,3370000000.0,3048000000.0,3455000000.0
totalCurrentLiabilities,5237000000.0,4870000000.0,4406000000.0,3817000000.0
otherStockholderEquity,-554000000.0,-197000000.0,-157000000.0,-68000000.0
propertyPlantEquipment,3970000000.0,3188000000.0,2854000000.0,2843000000.0
totalCurrentAssets,9453000000.0,9757000000.0,9048000000.0,8477000000.0
longTermInvestments,521000000.0,621000000.0,631000000.0,619000000.0
netTangibleAssets,1967000000.0,213000000.0,-1457000000.0,-1820000000.0
netReceivables,2804000000.0,2257000000.0,2379000000.0,1204000000.0
longTermDebt,7022000000.0,8474000000.0,9289000000.0,10246000000.0
inventory,3638000000.0,3616000000.0,3070000000.0,3283000000.0
accountsPayable,2222000000.0,2332000000.0,2352000000.0,1898000000.0
shortLongTermDebt,,331000000.0,419000000.0,341000000.0
researchDevelopment,2323000000.0,2243000000.0,2261000000.0,2182000000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,2123000000.0,927000000.0,-46000000.0,-287000000.0
minorityInterest,,,,
netIncome,1500000000.0,821000000.0,-250000000.0,-754000000.0
sellingGeneralAdministrative,1091000000.0,1094000000.0,1152000000.0,1348000000.0
grossProfit,5874000000.0,4521000000.0,3781000000.0,3752000000.0
ebit,2460000000.0,1184000000.0,368000000.0,222000000.0
operatingIncome,2460000000.0,1184000000.0,368000000.0,222000000.0
otherOperatingExpenses,,,,
interestExpense,-304000000.0,-326000000.0,-413000000.0,-469000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,623000000.0,106000000.0,204000000.0,467000000.0
totalRevenue,18793000000.0,16922000000.0,16736000000.0,16569000000.0
totalOperatingExpenses,16333000000.0,15738000000.0,16368000000.0,16347000000.0
costOfRevenue,12919000000.0,12401000000.0,12955000000.0,12817000000.0
totalOtherIncomeExpenseNet,-337000000.0,-257000000.0,-414000000.0,-509000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,1500000000.0,821000000.0,-250000000.0,-754000000.0
netIncomeApplicableToCommonShares,1500000000.0,821000000.0,-250000000.0,-754000000.0
investments,-26000000.0,7000000.0,16000000.0,83000000.0
changeToLiabilities,-207000000.0,2000000.0,267000000.0,-516000000.0
totalCashflowsFromInvestingActivities,-1192000000.0,-765000000.0,278000000.0,-1272000000.0
netBorrowings,-1727000000.0,-886000000.0,-982000000.0,-681000000.0
totalCashFromFinancingActivities,-1718000000.0,-817000000.0,-1508000000.0,-1829000000.0
changeToOperatingActivities,-226000000.0,153000000.0,-130000000.0,-398000000.0
issuanceOfStock,122000000.0,134000000.0,141000000.0,118000000.0
changeInCash,-1043000000.0,322000000.0,-407000000.0,-1550000000.0
repurchaseOfStock,-90000000.0,-56000000.0,-72000000.0,-678000000.0
effectOfExchangeRate,-13000000.0,6000000.0,-1000000.0,4000000.0
totalCashFromOperatingActivities,1880000000.0,1898000000.0,824000000.0,1547000000.0
depreciation,929000000.0,1212000000.0,1566000000.0,1812000000.0
otherCashflowsFromInvestingActivities,-91000000.0,231000000.0,931000000.0,-598000000.0
changeToInventory,-22000000.0,-546000000.0,200000000.0,-339000000.0
changeToAccountReceivables,-546000000.0,121000000.0,-1175000000.0,993000000.0
otherCashflowsFromFinancingActivities,-23000000.0,-9000000.0,-9000000.0,-4000000.0
changeToNetincome,482000000.0,482000000.0,225000000.0,711000000.0
capitalExpenditures,-1122000000.0,-1146000000.0,-647000000.0,-876000000.0
dividendsPaid,,,-595000000.0,-584000000.0
annualDilutedAverageShares,316000000.0,309000000.0,298000000.0,292000000.0
