,2021,2020,2019,2018
intangibleAssets,5700000.0,,,
capitalSurplus,4138100000.0,4143700000.0,4186600000.0,4250100000.0
totalLiab,27875200000.0,26365600000.0,24697200000.0,23633100000.0
totalStockholderEquity,10913200000.0,10469700000.0,10113400000.0,9788900000.0
minorityInterest,200100000.0,192800000.0,141200000.0,53800000.0
deferredLongTermLiab,3264800000.0,3524100000.0,3506700000.0,3805100000.0
otherCurrentLiab,677200000.0,697900000.0,548000000.0,464400000.0
totalAssets,38988500000.0,37028100000.0,34951800000.0,33475800000.0
commonStock,3200000.0,3200000.0,3200000.0,3200000.0
otherCurrentAssets,253400000.0,63400000.0,68000000.0,77200000.0
retainedEarnings,6775100000.0,6329600000.0,5927700000.0,5538200000.0
otherLiab,10569400000.0,10489400000.0,10300300000.0,10305500000.0
goodWill,3052800000.0,3052800000.0,3052800000.0,3052800000.0
treasuryStock,-3200000.0,-6800000.0,-4100000.0,-2600000.0
otherAssets,4482000000.0,4399900000.0,4423100000.0,4509200000.0
cash,16300000.0,24800000.0,37500000.0,84500000.0
totalCurrentLiabilities,3753000000.0,4148100000.0,3182700000.0,3331700000.0
shortLongTermDebt,91000000.0,784500000.0,696000000.0,360500000.0
otherStockholderEquity,-3200000.0,-6800000.0,-4100000.0,-2600000.0
propertyPlantEquipment,27001900000.0,25728100000.0,23661500000.0,22000900000.0
totalCurrentAssets,2656700000.0,2083000000.0,2093600000.0,2247600000.0
longTermInvestments,1789400000.0,1764300000.0,1720800000.0,1665300000.0
netTangibleAssets,7854700000.0,7416900000.0,7060600000.0,6736100000.0
netReceivables,1505700000.0,1202800000.0,1176500000.0,1280900000.0
longTermDebt,13472400000.0,11672800000.0,11168300000.0,9977500000.0
inventory,635800000.0,528600000.0,549800000.0,548200000.0
accountsPayable,1005700000.0,880700000.0,908100000.0,876400000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1497600000,1428100000,1258500000,1229100000
netIncome,1300300000,1199900000,1134000000,1059300000
sellingGeneralAdministrative,-68600000,-35500000,-30100000,-18900000
grossProfit,3003100000,2895700000,2665600000,2518200000
ebit,1787100000,1747300000,1567600000,1494400000
operatingIncome,1787100000,1747300000,1567600000,1494400000
otherOperatingExpenses,210300000,208000000,201800000,196900000
interestExpense,-472300000,-494900000,-502700000,-446300000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,200300000,227900000,125000000,169800000
totalRevenue,8316000000,7241700000,7523100000,7679500000
totalOperatingExpenses,6528900000,5494400000,5955500000,6185100000
costOfRevenue,5312900000,4346000000,4857500000,5161300000
totalOtherIncomeExpenseNet,-289500000,-319200000,-309100000,-265300000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1297300000,1200200000,1133500000,1059300000
netIncomeApplicableToCommonShares,1300300000,1199900000,1134000000,1059300000
changeToLiabilities,126900000.0,-61300000.0,1500000.0,110600000.0
totalCashflowsFromInvestingActivities,-2311800000.0,-2806800000.0,-2494900000.0,-2384400000.0
netBorrowings,1243500000.0,1552700000.0,925600000.0,782200000.0
totalCashFromFinancingActivities,294000000.0,601100000.0,85600000.0,26400000.0
changeToOperatingActivities,-77300000.0,-27800000.0,71600000.0,212800000.0
issuanceOfStock,15700000.0,43800000.0,67000000.0,29100000.0
changeInCash,14900000.0,-9700000.0,-63800000.0,87500000.0
repurchaseOfStock,-33100000.0,-99200000.0,-140100000.0,-72400000.0
totalCashFromOperatingActivities,2032700000.0,2196000000.0,2345500000.0,2445500000.0
depreciation,1074300000.0,975900000.0,926300000.0,845800000.0
otherCashflowsFromInvestingActivities,39000000.0,37400000.0,49100000.0,74100000.0
dividendsPaid,-854800000.0,-798000000.0,-744500000.0,-697300000.0
changeToInventory,-107200000.0,21200000.0,-1500000.0,-8800000.0
changeToAccountReceivables,-249200000.0,16100000.0,98200000.0,23500000.0
otherCashflowsFromFinancingActivities,-77300000.0,-98200000.0,-22400000.0,-15200000.0
changeToNetincome,-35100000.0,72000000.0,115400000.0,202300000.0
capitalExpenditures,-2252800000.0,-2238800000.0,-2260800000.0,-2115700000.0
investments,,-21200000.0,-52600000.0,-130600000.0
