,2021,2020,2019,2018
intangibleAssets,503369000.0,322517000.0,435893000.0,383823000.0
capitalSurplus,23133641000.0,20823145000.0,20190119000.0,18424368000.0
totalLiab,15912452000.0,15258580000.0,16398247000.0,14331427000.0
totalStockholderEquity,17636001000.0,15972719000.0,15540444000.0,13913836000.0
minorityInterest,1361872000.0,1252343000.0,1442060000.0,1378311000.0
otherCurrentLiab,117013000.0,99916000.0,97094000.0,
totalAssets,34910325000.0,32483642000.0,33380751000.0,30342072000.0
commonStock,448605000.0,418691000.0,411005000.0,384465000.0
otherCurrentAssets,218792000.0,697278000.0,1372411000.0,785753000.0
otherLiab,307316000.0,115411000.0,623733000.0,
goodWill,68321000.0,68321000.0,68321000.0,68321000.0
treasuryStock,-5946245000.0,-5269117000.0,-5060680000.0,-4894997000.0
otherAssets,889556000.0,299430000.0,188062000.0,317443000.0
cash,269265000.0,1545046000.0,284917000.0,215376000.0
totalCurrentLiabilities,982087000.0,926183000.0,385749000.0,1034283000.0
shortLongTermDebt,39296000.0,118054000.0,53601000.0,71109000.0
otherStockholderEquity,-5838495000.0,-5164627000.0,-4981725000.0,-4826498000.0
propertyPlantEquipment,30590590000.0,27502069000.0,29172462000.0,27116336000.0
totalCurrentAssets,1819446000.0,3345071000.0,2932590000.0,1973235000.0
longTermInvestments,1039043000.0,946234000.0,583423000.0,482914000.0
netTangibleAssets,17064311000.0,15581881000.0,15036230000.0,13461692000.0
netReceivables,1331389000.0,1102747000.0,1275262000.0,972106000.0
longTermDebt,14130954000.0,13798720000.0,14915072000.0,13226476000.0
accountsPayable,174799000.0,101592000.0,58646000.0,
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,383192000,1048820000,1333367000,838424000
netIncome,336138000,978844000,1232432000,804954000
sellingGeneralAdministrative,126727000,128394000,126549000,126383000
grossProfit,1960283000,1913708000,2412574000,2267482000
ebit,795990000,746877000,1258952000,1190640000
operatingIncome,795990000,746877000,1258952000,1190640000
otherOperatingExpenses,,,,
interestExpense,-489853000,-514388000,-555559000,-526592000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,8713000,9968000,2957000,8674000
totalRevenue,4742115000,4605967000,5121306000,4700499000
totalOperatingExpenses,3946125000,3859090000,3862354000,3509859000
costOfRevenue,2781832000,2692259000,2708732000,2433017000
totalOtherIncomeExpenseNet,-412798000,301943000,74415000,-352216000
discontinuedOperations,,,,
netIncomeFromContinuingOps,374479000,1038852000,1330410000,829750000
netIncomeApplicableToCommonShares,336138000,978844000,1232432000,758250000
investments,-135843000.0,-355233000.0,-71682000.0,-90473000.0
changeToLiabilities,0.0,0.0,0.0,0.0
totalCashflowsFromInvestingActivities,-4516268000.0,2347928000.0,-2048791000.0,-2386471000.0
netBorrowings,320760000.0,-1198236000.0,1139129000.0,1484782000.0
totalCashFromFinancingActivities,1567664000.0,-2080858000.0,577150000.0,818368000.0
changeToOperatingActivities,77554000.0,22764000.0,-29068000.0,70762000.0
issuanceOfStock,2348201000.0,595313000.0,1056125000.0,789575000.0
changeInCash,-1674288000.0,1635277000.0,69637000.0,6826000.0
effectOfExchangeRate,-1009000.0,3451000.0,5310000.0,-9015000.0
totalCashFromOperatingActivities,1275325000.0,1364756000.0,1535968000.0,1583944000.0
depreciation,1053178000.0,1049780000.0,1043224000.0,970067000.0
otherCashflowsFromInvestingActivities,7519000.0,-13319000.0,-8499000.0,65399000.0
dividendsPaid,-1035906000.0,-1119232000.0,-1400712000.0,-1348863000.0
changeToAccountReceivables,-122117000.0,-54583000.0,-63418000.0,5829000.0
otherCashflowsFromFinancingActivities,-65391000.0,-351047000.0,-217392000.0,-107126000.0
changeToNetincome,-69428000.0,-632049000.0,-647202000.0,-267668000.0
repurchaseOfStock,,-7656000.0,-7656000.0,-7656000.0
