,2021,2020,2019,2018
intangibleAssets,8400000000.0,7765000000.0,13370000000.0,16637000000.0
capitalSurplus,60196000000.0,60197000000.0,61049000000.0,60685000000.0
totalLiab,1757958000000.0,1767199000000.0,1739571000000.0,1698817000000.0
totalStockholderEquity,168195000000.0,164419000000.0,166740000000.0,174454000000.0
minorityInterest,2504000000.0,1032000000.0,838000000.0,900000000.0
totalAssets,1948068000000.0,1952911000000.0,1927555000000.0,1895883000000.0
commonStock,9136000000.0,9136000000.0,9136000000.0,9136000000.0
otherCurrentAssets,28599000000.0,42473000000.0,30158000000.0,23509000000.0
retainedEarnings,180322000000.0,162683000000.0,166697000000.0,158163000000.0
otherLiab,2787000000.0,4690000000.0,7278000000.0,8991000000.0
goodWill,25180000000.0,26392000000.0,26390000000.0,26418000000.0
treasuryStock,-81459000000.0,-67597000000.0,-70142000000.0,-53530000000.0
otherAssets,918836000000.0,904857000000.0,991574000000.0,981373000000.0
cash,299241000000.0,329084000000.0,243390000000.0,253494000000.0
totalCurrentLiabilities,1606725000000.0,1544597000000.0,1498805000000.0,1460782000000.0
shortLongTermDebt,15771000000.0,,,
otherStockholderEquity,-1702000000.0,194000000.0,-1311000000.0,-6336000000.0
propertyPlantEquipment,18558000000.0,20592000000.0,22254000000.0,17956000000.0
totalCurrentAssets,486002000000.0,533805000000.0,424364000000.0,411943000000.0
longTermInvestments,491092000000.0,459500000000.0,449603000000.0,441556000000.0
netTangibleAssets,142804000000.0,137699000000.0,139927000000.0,147491000000.0
netReceivables,20831000000.0,38116000000.0,29137000000.0,34281000000.0
longTermDebt,144892000000.0,212922000000.0,228158000000.0,229008000000.0
inventory,112000000.0,159000000.0,303000000.0,451000000.0
accountsPayable,1482479000000.0,1404381000000.0,1322626000000.0,1286170000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,28816000000,2505000000,25967000000,28538000000
netIncome,21548000000,3377000000,19715000000,22393000000
sellingGeneralAdministrative,48059000000,48479000000,49170000000,46321000000
grossProfit,82948000000,60243000000,84227000000,84696000000
ebit,0,0,0,0
operatingIncome,29119000000,4041000000,25967000000,28538000000
otherOperatingExpenses,5770000000,7723000000,9090000000,9837000000
interestExpense,,,,
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,5578000000,-1157000000,5761000000,5662000000
totalRevenue,82948000000,60243000000,84227000000,84696000000
totalOperatingExpenses,53829000000,56202000000,58260000000,56158000000
costOfRevenue,0,0,0,0
totalOtherIncomeExpenseNet,-303000000,-1536000000,0,0
discontinuedOperations,,,,
netIncomeFromContinuingOps,23238000000,3662000000,20206000000,22876000000
netIncomeApplicableToCommonShares,20256000000,1786000000,18105000000,20689000000
investments,-11247000000.0,28663000000.0,3226000000.0,-5279000000.0
changeToLiabilities,0.0,0.0,0.0,1970000000.0
totalCashflowsFromInvestingActivities,-7619000000.0,122554000000.0,-29631000000.0,-7754000000.0
netBorrowings,-70449000000.0,-72724000000.0,-8890000000.0,9561000000.0
totalCashFromFinancingActivities,-11238000000.0,-1243000000.0,-9136000000.0,-70979000000.0
changeToOperatingActivities,16944000000.0,-10368000000.0,5746000000.0,6940000000.0
changeInCash,-30382000000.0,123362000000.0,-32037000000.0,-42660000000.0
repurchaseOfStock,-14464000000.0,-3415000000.0,-24533000000.0,-20964000000.0
totalCashFromOperatingActivities,-11525000000.0,2051000000.0,6730000000.0,36073000000.0
depreciation,7849000000.0,8182000000.0,6573000000.0,5593000000.0
otherCashflowsFromInvestingActivities,3231000000.0,37252000000.0,-17802000000.0,1629000000.0
dividendsPaid,-3627000000.0,-6142000000.0,-9589000000.0,-9314000000.0
otherCashflowsFromFinancingActivities,78221000000.0,81524000000.0,35426000000.0,-48744000000.0
changeToNetincome,-74728000000.0,-36862000000.0,-44705000000.0,-37390000000.0
issuanceOfStock,,,,632000000.0
