,2021,2020,2019,2018
intangibleAssets,1981000000.0,2194000000.0,2225000000.0,2296000000.0
capitalSurplus,3025000000.0,2923000000.0,2806000000.0,2768000000.0
totalLiab,15272000000.0,15641000000.0,14763000000.0,15142000000.0
totalStockholderEquity,4846000000.0,3885000000.0,3195000000.0,2291000000.0
minorityInterest,167000000.0,910000000.0,923000000.0,914000000.0
otherCurrentLiab,574000000.0,1070000000.0,918000000.0,1300000000.0
totalAssets,20285000000.0,20436000000.0,18881000000.0,18347000000.0
commonStock,114000000.0,113000000.0,112000000.0,112000000.0
otherCurrentAssets,170000000.0,113000000.0,55000000.0,858000000.0
retainedEarnings,10170000000.0,8725000000.0,7870000000.0,6933000000.0
otherLiab,1039000000.0,1414000000.0,1476000000.0,1418000000.0
goodWill,2485000000.0,2496000000.0,2440000000.0,2451000000.0
treasuryStock,-8463000000.0,-7876000000.0,-7593000000.0,-7522000000.0
otherAssets,2167000000.0,2429000000.0,2596000000.0,2288000000.0
cash,3044000000.0,2924000000.0,1952000000.0,1498000000.0
totalCurrentLiabilities,8510000000.0,8330000000.0,8369000000.0,9678000000.0
deferredLongTermAssetCharges,1920000000.0,2189000000.0,2238000000.0,1989000000.0
shortLongTermDebt,298000000.0,298000000.0,559000000.0,947000000.0
otherStockholderEquity,-2357000000.0,-2811000000.0,-2618000000.0,-2695000000.0
propertyPlantEquipment,3751000000.0,4188000000.0,4222000000.0,3414000000.0
totalCurrentAssets,9695000000.0,9129000000.0,7398000000.0,7898000000.0
longTermInvestments,206000000.0,,,
netTangibleAssets,380000000.0,-805000000.0,-1470000000.0,-2456000000.0
netReceivables,3100000000.0,3109000000.0,2198000000.0,2210000000.0
longTermDebt,4929000000.0,5059000000.0,4140000000.0,4046000000.0
inventory,2717000000.0,2301000000.0,2438000000.0,2533000000.0
accountsPayable,5413000000.0,4834000000.0,4547000000.0,4487000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,2324000000.0,1447000000.0,1530000000.0,-21000000.0
netIncome,1783000000.0,1075000000.0,1168000000.0,-183000000.0
sellingGeneralAdministrative,2034000000.0,1894000000.0,2147000000.0,2201000000.0
grossProfit,4409000000.0,3842000000.0,3511000000.0,3537000000.0
ebit,2328000000.0,1886000000.0,1295000000.0,1261000000.0
operatingIncome,2328000000.0,1886000000.0,1295000000.0,1261000000.0
otherOperatingExpenses,,,,
interestExpense,-175000000.0,-189000000.0,-187000000.0,-192000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,518000000.0,382000000.0,348000000.0,138000000.0
totalRevenue,21985000000.0,19456000000.0,20419000000.0,21037000000.0
totalOperatingExpenses,19657000000.0,17570000000.0,19124000000.0,19776000000.0
costOfRevenue,17576000000.0,15614000000.0,16908000000.0,17500000000.0
totalOtherIncomeExpenseNet,-4000000.0,-439000000.0,235000000.0,-1282000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,1806000000.0,1065000000.0,1182000000.0,-159000000.0
netIncomeApplicableToCommonShares,1783000000.0,1075000000.0,1168000000.0,-183000000.0
changeToLiabilities,1079000000.0,495000000.0,18000000.0,143000000.0
totalCashflowsFromInvestingActivities,-660000000.0,-237000000.0,636000000.0,-399000000.0
netBorrowings,-1000000.0,134000000.0,-972000000.0,972000000.0
totalCashFromFinancingActivities,-1339000000.0,-253000000.0,-1424000000.0,-518000000.0
changeToOperatingActivities,-176000000.0,63000000.0,-16000000.0,-299000000.0
issuanceOfStock,76000000.0,44000000.0,8000000.0,17000000.0
changeInCash,110000000.0,982000000.0,414000000.0,245000000.0
repurchaseOfStock,-1041000000.0,-121000000.0,-148000000.0,-1153000000.0
effectOfExchangeRate,-67000000.0,-28000000.0,-28000000.0,-67000000.0
totalCashFromOperatingActivities,2176000000.0,1500000000.0,1230000000.0,1229000000.0
depreciation,494000000.0,568000000.0,587000000.0,645000000.0
otherCashflowsFromInvestingActivities,2000000.0,146000000.0,134000000.0,126000000.0
dividendsPaid,-338000000.0,-311000000.0,-305000000.0,-306000000.0
changeToInventory,-648000000.0,249000000.0,-17000000.0,73000000.0
changeToAccountReceivables,-232000000.0,-940000000.0,-87000000.0,79000000.0
otherCashflowsFromFinancingActivities,-35000000.0,1000000.0,-7000000.0,-48000000.0
changeToNetincome,-124000000.0,-10000000.0,-423000000.0,771000000.0
capitalExpenditures,-525000000.0,-410000000.0,-532000000.0,-590000000.0
investments,,,,35000000.0
annualDilutedAverageShares,62900000.0,63300000.0,64200000.0,67200000.0
