,2021,2020,2019,2018
intangibleAssets,898000000.0,1024000000.0,521000000.0,572000000.0
capitalSurplus,5169000000.0,5129000000.0,5049000000.0,4993000000.0
totalLiab,21971000000.0,21891000000.0,20673000000.0,16374000000.0
totalStockholderEquity,7124000000.0,7452000000.0,7068000000.0,6275000000.0
minorityInterest,2000000.0,2000000.0,2000000.0,1000000.0
otherCurrentLiab,708000000.0,677000000.0,672000000.0,665000000.0
totalAssets,29097000000.0,29345000000.0,27743000000.0,22650000000.0
commonStock,6000000.0,6000000.0,6000000.0,6000000.0
otherCurrentAssets,270000000.0,239000000.0,223000000.0,207000000.0
retainedEarnings,12004000000.0,11159000000.0,10592000000.0,9797000000.0
otherLiab,4733000000.0,4626000000.0,3883000000.0,3672000000.0
goodWill,9028000000.0,8994000000.0,6532000000.0,6430000000.0
treasuryStock,-10055000000.0,-8842000000.0,-8579000000.0,-8521000000.0
otherAssets,800000000.0,747000000.0,681000000.0,655000000.0
cash,118000000.0,553000000.0,3561000000.0,61000000.0
totalCurrentLiabilities,4082000000.0,3553000000.0,3144000000.0,3108000000.0
shortLongTermDebt,661000000.0,501000000.0,182000000.0,432000000.0
otherStockholderEquity,17000000.0,39000000.0,-8000000.0,-87000000.0
propertyPlantEquipment,14870000000.0,14614000000.0,13317000000.0,11942000000.0
totalCurrentAssets,3069000000.0,3540000000.0,6209000000.0,2645000000.0
longTermInvestments,432000000.0,426000000.0,483000000.0,406000000.0
netTangibleAssets,-2802000000.0,-2566000000.0,15000000.0,-727000000.0
netReceivables,2546000000.0,2624000000.0,2319000000.0,2275000000.0
longTermDebt,12406000000.0,12945000000.0,12957000000.0,9127000000.0
inventory,135000000.0,124000000.0,106000000.0,102000000.0
accountsPayable,1375000000.0,1121000000.0,1065000000.0,1037000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,2349000000.0,1893000000.0,2105000000.0,2376000000.0
netIncome,1816000000.0,1496000000.0,1670000000.0,1925000000.0
sellingGeneralAdministrative,1864000000.0,1578000000.0,1631000000.0,1453000000.0
grossProfit,6820000000.0,5877000000.0,5975000000.0,5665000000.0
ebit,2957000000.0,2628000000.0,2770000000.0,2735000000.0
operatingIncome,2957000000.0,2628000000.0,2770000000.0,2735000000.0
otherOperatingExpenses,,,,
interestExpense,-365000000.0,-425000000.0,-411000000.0,-374000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,532000000.0,397000000.0,434000000.0,453000000.0
totalRevenue,17931000000.0,15218000000.0,15455000000.0,14914000000.0
totalOperatingExpenses,14974000000.0,12590000000.0,12685000000.0,12179000000.0
costOfRevenue,11111000000.0,9341000000.0,9480000000.0,9249000000.0
totalOtherIncomeExpenseNet,-608000000.0,-735000000.0,-665000000.0,-359000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,1817000000.0,1496000000.0,1671000000.0,1923000000.0
netIncomeApplicableToCommonShares,1816000000.0,1496000000.0,1670000000.0,1925000000.0
changeToLiabilities,103000000.0,-211000000.0,146000000.0,17000000.0
totalCashflowsFromInvestingActivities,-1894000000.0,-4847000000.0,-2376000000.0,-2169000000.0
netBorrowings,-456000000.0,-209000000.0,3149000000.0,313000000.0
totalCashFromFinancingActivities,-2900000000.0,-1559000000.0,1964000000.0,-1508000000.0
changeToOperatingActivities,-5000000.0,63000000.0,-13000000.0,-30000000.0
issuanceOfStock,66000000.0,63000000.0,67000000.0,52000000.0
changeInCash,-454000000.0,-2999000000.0,3464000000.0,-110000000.0
repurchaseOfStock,-1378000000.0,-436000000.0,-281000000.0,-1033000000.0
effectOfExchangeRate,2000000.0,4000000.0,2000000.0,-3000000.0
totalCashFromOperatingActivities,4338000000.0,3403000000.0,3874000000.0,3570000000.0
depreciation,1999000000.0,1671000000.0,1574000000.0,1477000000.0
otherCashflowsFromInvestingActivities,-11000000.0,-15000000.0,-86000000.0,-223000000.0
dividendsPaid,-970000000.0,-927000000.0,-876000000.0,-802000000.0
changeToAccountReceivables,28000000.0,-179000000.0,-53000000.0,-16000000.0
otherCashflowsFromFinancingActivities,-162000000.0,-50000000.0,-95000000.0,-38000000.0
changeToNetincome,397000000.0,563000000.0,550000000.0,197000000.0
capitalExpenditures,-1904000000.0,-1632000000.0,-1818000000.0,-1694000000.0
annualDilutedAverageShares,422900000.0,425100000.0,427500000.0,432200000.0
