,2022,2021,2020,2019
intangibleAssets,4800000000.0,4900000000.0,5200000000.0,5800000000.0
capitalSurplus,4839000000.0,3646000000.0,3247000000.0,2965000000.0
totalLiab,152969000000.0,164965000000.0,154943000000.0,139661000000.0
totalStockholderEquity,83253000000.0,80925000000.0,74669000000.0,72496000000.0
minorityInterest,8638000000.0,6606000000.0,6883000000.0,7138000000.0
otherCurrentLiab,3431000000.0,15286000000.0,8975000000.0,2360000000.0
totalAssets,244860000000.0,252496000000.0,236495000000.0,219295000000.0
commonStock,276000000.0,282000000.0,284000000.0,288000000.0
retainedEarnings,86904000000.0,88763000000.0,83943000000.0,80785000000.0
otherLiab,12379000000.0,13976000000.0,12265000000.0,11553000000.0
goodWill,29014000000.0,28983000000.0,31073000000.0,31181000000.0
treasuryStock,-8766000000.0,-11766000000.0,-12805000000.0,-11542000000.0
otherAssets,4464000000.0,3799000000.0,5377000000.0,5027000000.0
cash,14760000000.0,17741000000.0,9465000000.0,7722000000.0
totalCurrentLiabilities,87379000000.0,92645000000.0,77790000000.0,77477000000.0
deferredLongTermAssetCharges,1473000000.0,1836000000.0,1914000000.0,1796000000.0
shortLongTermDebt,2803000000.0,3115000000.0,5362000000.0,1876000000.0
otherStockholderEquity,-8766000000.0,-11766000000.0,-12805000000.0,-11542000000.0
propertyPlantEquipment,112624000000.0,109848000000.0,127049000000.0,111395000000.0
totalCurrentAssets,81070000000.0,90067000000.0,61806000000.0,61897000000.0
longTermInvestments,12888000000.0,14899000000.0,5990000000.0,3995000000.0
netTangibleAssets,49439000000.0,47042000000.0,38396000000.0,35515000000.0
netReceivables,8280000000.0,6516000000.0,6284000000.0,6283000000.0
longTermDebt,35959000000.0,41588000000.0,44410000000.0,43948000000.0
inventory,56511000000.0,44949000000.0,44435000000.0,44269000000.0
accountsPayable,55261000000.0,49141000000.0,46973000000.0,47060000000.0
otherCurrentAssets,,19200000000.0,,34000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,18696000000,20564000000,20116000000,11460000000
netIncome,13673000000,13510000000,14881000000,6670000000
sellingGeneralAdministrative,117812000000,111888000000,107891000000,107147000000
grossProfit,143754000000,138836000000,129359000000,129104000000
ebit,25942000000,26948000000,21468000000,21957000000
operatingIncome,25942000000,26948000000,21468000000,21957000000
otherOperatingExpenses,,,,
interestExpense,-1994000000,-2315000000,-2599000000,-2346000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,4756000000,6858000000,4915000000,4281000000
totalRevenue,572754000000,559151000000,523964000000,514405000000
totalOperatingExpenses,546812000000,532203000000,502496000000,492448000000
costOfRevenue,429000000000,420315000000,394605000000,385301000000
totalOtherIncomeExpenseNet,-7246000000,-6384000000,-1352000000,-10497000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,13940000000,13706000000,15201000000,7179000000
netIncomeApplicableToCommonShares,13673000000,13510000000,14881000000,6670000000
changeToLiabilities,5520000000,6966000000,-274000000,1831000000
totalCashflowsFromInvestingActivities,-6015000000,-10071000000,-9128000000,-24036000000
netBorrowings,-5872000000,-5706000000,-1071000000,12035000000
totalCashFromFinancingActivities,-22828000000,-16117000000,-14299000000,-2537000000
changeToOperatingActivities,1404000000,4623000000,186000000,183000000
changeInCash,-2954000000,8273000000,1759000000,742000000
repurchaseOfStock,-9787000000,-2625000000,-5717000000,-7410000000
effectOfExchangeRate,-140000000,235000000,-69000000,-438000000
totalCashFromOperatingActivities,24181000000,36074000000,25255000000,27753000000
depreciation,10658000000,11152000000,10987000000,10678000000
otherCashflowsFromInvestingActivities,-879000000,102000000,479000000,-431000000
dividendsPaid,-6152000000,-6116000000,-6048000000,-6102000000
changeToInventory,-11764000000,-2395000000,-300000000,-1311000000
changeToAccountReceivables,-1796000000,-1086000000,154000000,-368000000
otherCashflowsFromFinancingActivities,-1017000000,-1670000000,-1463000000,-1060000000
changeToNetincome,6447000000,3440000000,-286000000,10110000000
capitalExpenditures,-13106000000,-10264000000,-10705000000,-10344000000
