,2021,2020,2019,2018
intangibleAssets,761145000.0,649168000.0,616364000.0,601629000.0
capitalSurplus,1016372000.0,1012483000.0,1056042000.0,1039633000.0
totalLiab,25418684000.0,22281116000.0,20543802000.0,19416179000.0
totalStockholderEquity,6653011000.0,6310802000.0,6074939000.0,5437851000.0
minorityInterest,14719000.0,14995000.0,43403000.0,41947000.0
otherCurrentLiab,4923033000.0,4124521000.0,3702656000.0,3398111000.0
totalAssets,32086414000.0,28606913000.0,26662144000.0,24895977000.0
commonStock,70535000.0,70535000.0,70535000.0,70535000.0
otherCurrentAssets,3045964000.0,2544966000.0,2272472000.0,2076772000.0
retainedEarnings,9015135000.0,8348381000.0,7932372000.0,7558619000.0
otherLiab,1113986000.0,1017064000.0,1040966000.0,1005184000.0
goodWill,169652000.0,169652000.0,169652000.0,173037000.0
treasuryStock,-3449031000.0,-3120597000.0,-2984010000.0,-3230936000.0
otherAssets,2521156000.0,2517621000.0,2676891000.0,2484808000.0
cash,1568843000.0,2372366000.0,1023710000.0,817602000.0
totalCurrentLiabilities,21300289000.0,18335075000.0,16945975000.0,16061860000.0
deferredLongTermAssetCharges,57425000.0,29055000.0,8710000.0,35490000.0
shortLongTermDebt,426426000.0,,299756000.0,440384000.0
otherStockholderEquity,-281955000.0,-62172000.0,-257299000.0,-510470000.0
propertyPlantEquipment,592063000.0,570406000.0,615402000.0,416372000.0
totalCurrentAssets,9017870000.0,8605600000.0,6708719000.0,6001495000.0
longTermInvestments,19024528000.0,16094466000.0,15875116000.0,15218636000.0
netTangibleAssets,6398359000.0,6048150000.0,5806287000.0,5160814000.0
netReceivables,2546542000.0,2698419000.0,2444133000.0,2155693000.0
longTermDebt,2840642000.0,2725334000.0,2326523000.0,2349135000.0
accountsPayable,15905868000.0,14210554000.0,12943563000.0,12223365000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1282905000,704802000,852920000,812094000
netIncome,1022490000,530670000,681944000,640749000
sellingGeneralAdministrative,44051000,44291000,44107000,45778000
grossProfit,4029355000,3245731000,3368411000,3352500000
ebit,1415881000,864142000,975614000,942212000
operatingIncome,1415881000,864142000,975614000,942212000
otherOperatingExpenses,2569423000,2337298000,2348690000,2364510000
interestExpense,-147180000,-150537000,-153409000,-157185000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,251890000,171817000,168935000,163028000
totalRevenue,9455466000,8098925000,7902196000,7691651000
totalOperatingExpenses,8039585000,7234783000,6926582000,6749439000
costOfRevenue,5426111000,4853194000,4533785000,4339151000
totalOtherIncomeExpenseNet,-132976000,-159340000,-122694000,-130118000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1031015000,532985000,683985000,649066000
netIncomeApplicableToCommonShares,1022490000,530670000,681944000,640749000
investments,-3043994000,3981000,-223987000,-143405000
changeToLiabilities,794257000,381899000,308485000,9381000
totalCashflowsFromInvestingActivities,-2989146000,119696000,-424871000,-714244000
netBorrowings,529155000,88886000,-165386000,290038000
totalCashFromFinancingActivities,5831000,-397843000,-513193000,-7403000
changeToOperatingActivities,1169934000,866872000,406793000,132746000
changeInCash,-803523000,1348656000,206108000,-132869000
repurchaseOfStock,-122426000,-346357000,-18225000,-24750000
effectOfExchangeRate,-4195000,10117000,379000,-31421000
totalCashFromOperatingActivities,2183987000,1616686000,1143793000,620199000
depreciation,129682000,135065000,113387000,131108000
otherCashflowsFromInvestingActivities,-17983000,-26515000,2844000,4262000
dividendsPaid,-90261373,-84147000,-78882220,-71971813
changeToAccountReceivables,-364395000,-173618000,-189151000,-43813000
otherCashflowsFromFinancingActivities,-45162000,-56225000,-21391000,-17740000
changeToNetincome,-255442000,-105280000,-138582000,-218929000
capitalExpenditures,-66634000,-38171000,-60457000,-49860000
