,2022,2021,2020,2019,2018
intangibleAssets,2920600000,3318800000.0,3667200000.0,4059500000.0,3122000000.0
capitalSurplus,10639400000,11058800000.0,10916300000.0,10739400000.0,10588900000.0
totalLiab,16980300000,17562600000.0,18130900000.0,18470600000.0,13873900000.0
totalStockholderEquity,11402000000,11670300000.0,10630600000.0,11669900000.0,11469400000.0
minorityInterest,23200000,21400000.0,18200000.0,16200000.0,17200000.0
deferredLongTermLiab,121800000,110700000.0,118200000.0,124300000.0,
otherCurrentLiab,612800000,516900000.0,472400000.0,571800000.0,476500000.0
totalAssets,28405500000,29254300000.0,28779700000.0,30156700000.0,25360500000.0
commonStock,2500000,2700000.0,2600000.0,2600000.0,2500000.0
otherCurrentAssets,480200000,409400000.0,341700000.0,334000000.0,308000000.0
retainedEarnings,2214400000,1607900000.0,1031600000.0,1997100000.0,1573300000.0
otherLiab,4951400000,5355300000.0,5448500000.0,5533200000.0,4866100000.0
goodWill,5895200000,5959200000.0,5962200000.0,7285600000.0,5577600000.0
treasuryStock,-1454300000,-999100000.0,-1319900000.0,-1069200000.0,-695300000.0
otherAssets,2342900000,2617300000.0,2338500000.0,2178700000.0,2793300000.0
cash,260200000,290900000.0,251100000.0,151600000.0,636800000.0
totalCurrentLiabilities,3902800000,3644100000.0,2928900000.0,3435100000.0,3333300000.0
deferredLongTermAssetCharges,27000000,25800000.0,33800000.0,33500000.0,35200000.0
shortLongTermDebt,197700000,160100000.0,213900000.0,471900000.0,740700000.0
otherStockholderEquity,-1454300000,-999100000.0,-1319900000.0,-1069200000.0,-695300000.0
propertyPlantEquipment,10781000000,11246100000.0,11437500000.0,11189500000.0,9082500000.0
totalCurrentAssets,5985400000,5659600000.0,4944700000.0,4974300000.0,4785100000.0
longTermInvestments,480400000,453300000.0,429600000.0,469100000.0,
netTangibleAssets,2586200000,2392300000.0,1001200000.0,324800000.0,2769800000.0
netReceivables,2927900000,2786000000.0,2328500000.0,2381200000.0,2010700000.0
longTermDebt,7302000000,7769900000.0,8941900000.0,9316500000.0,5674500000.0
inventory,2317100000,2173300000.0,2023400000.0,2107500000.0,1829600000.0
accountsPayable,2252100000,2123700000.0,1674200000.0,1831800000.0,1716800000.0
researchDevelopment,,,,,
effectOfAccountingCharges,,,,,
incomeBeforeTax,1218800000,1085900000.0,-522600000.0,1144700000.0,1034800000.0
netIncome,944600000,838300000.0,-690900000.0,862900000.0,1906100000.0
sellingGeneralAdministrative,1775200000,1624400000.0,1521100000.0,1641000000.0,1451300000.0
grossProfit,4020700000,3484800000.0,3189300000.0,3556800000.0,3362000000.0
ebit,1869100000,1503300000.0,1267700000.0,1502600000.0,1590500000.0
operatingIncome,1869100000,1503300000.0,1267700000.0,1502600000.0,1590500000.0
otherOperatingExpenses,,,,,
interestExpense,-375600000,-418900000.0,-465500000.0,-489400000.0,-352800000.0
extraordinaryItems,,,,,
nonRecurring,,,,,
otherItems,,,,,
incomeTaxExpense,269600000,243400000.0,163500000.0,276800000.0,-874500000.0
totalRevenue,21256500000,18746100000.0,17578800000.0,18289000000.0,16285100000.0
totalOperatingExpenses,19387400000,17242800000.0,16311100000.0,16786400000.0,14694600000.0
costOfRevenue,17235800000,15261300000.0,14389500000.0,14732200000.0,12923100000.0
totalOtherIncomeExpenseNet,-650300000,-417400000.0,-1790300000.0,-357900000.0,-555700000.0
discontinuedOperations,,,,,
netIncomeFromContinuingOps,949200000,842500000.0,-686100000.0,867900000.0,1909300000.0
netIncomeApplicableToCommonShares,944500000,838100000.0,-691000000.0,862800000.0,1905900000.0
investments,,29500000.0,29500000.0,29500000.0,-114300000.0
changeToLiabilities,79500000.0,430300000.0,-86400000.0,-39100000.0,180300000.0
totalCashflowsFromInvestingActivities,-776000000.0,-676000000.0,-921500000.0,-4579600000.0,-815100000.0
netBorrowings,-452700000.0,-1241300000.0,-673900000.0,2262400000.0,149800000.0
totalCashFromFinancingActivities,-1281300000.0,-1580400000.0,-1021100000.0,1780200000.0,-755100000.0
changeToOperatingActivities,-160500000.0,173200000.0,-104000000.0,-178500000.0,-47000000.0
issuanceOfStock,5000000.0,18200000.0,22200000.0,18300000.0,26600000.0
changeInCash,-30700000.0,39800000.0,99500000.0,-485200000.0,332800000.0
repurchaseOfStock,-600000000.0,-122400000.0,-122400000.0,-88600000.0,-195100000.0
effectOfExchangeRate,6200000.0,16300000.0,-28600000.0,4000000.0,-28200000.0
totalCashFromOperatingActivities,2020400000.0,2279900000.0,2070700000.0,2310200000.0,1931200000.0
depreciation,1477700000.0,1429600000.0,1443000000.0,1495600000.0,1248200000.0
otherCashflowsFromInvestingActivities,65400000.0,45200000.0,21600000.0,44600000.0,515700000.0
dividendsPaid,-259500000.0,-233800000.0,-344500000.0,-467900000.0,-440900000.0
changeToInventory,-310400000.0,-200000000.0,21800000.0,-110500000.0,-72100000.0
changeToAccountReceivables,-161500000.0,-428900000.0,30500000.0,272900000.0,-580100000.0
otherCashflowsFromFinancingActivities,25900000.0,-1100000.0,-24900000.0,56000000.0,-295500000.0
changeToNetincome,104700000.0,7000000.0,1457600000.0,-28900000.0,-862400000.0
capitalExpenditures,-862600000.0,-815500000.0,-978100000.0,-1369100000.0,-999900000.0
annualDilutedAverageShares,,267500000.0,260400000.0,259100000.0,
