,2021,2020,2019,2018
intangibleAssets,2555000000.0,2989000000.0,3478000000.0,3318000000.0
capitalSurplus,10804000000.0,10748000000.0,10687000000.0,10615000000.0
totalLiab,21662000000.0,27599000000.0,25057000000.0,22388000000.0
totalStockholderEquity,13260000000.0,10820000000.0,10249000000.0,9852000000.0
minorityInterest,48000000.0,112000000.0,120000000.0,145000000.0
deferredLongTermLiab,115000000.0,97000000.0,76000000.0,46000000.0
otherCurrentLiab,11531000000.0,15835000000.0,13867000000.0,13461000000.0
totalAssets,34970000000.0,38531000000.0,35426000000.0,32385000000.0
otherCurrentAssets,11197000000.0,15606000000.0,13292000000.0,12806000000.0
retainedEarnings,4645000000.0,2434000000.0,1792000000.0,1201000000.0
otherLiab,2215000000.0,2667000000.0,2700000000.0,2672000000.0
goodWill,10183000000.0,10392000000.0,11194000000.0,10465000000.0
treasuryStock,-2189000000.0,-2362000000.0,-2230000000.0,-1964000000.0
otherAssets,2118000000.0,2865000000.0,1680000000.0,1233000000.0
cash,4486000000.0,2039000000.0,887000000.0,1033000000.0
totalCurrentLiabilities,14724000000.0,19332000000.0,16070000000.0,15301000000.0
deferredLongTermAssetCharges,79000000.0,95000000.0,72000000.0,59000000.0
shortLongTermDebt,613000000.0,971000000.0,24000000.0,186000000.0
otherStockholderEquity,-2186000000.0,-2359000000.0,-2227000000.0,-1961000000.0
propertyPlantEquipment,1571000000.0,1914000000.0,2014000000.0,942000000.0
totalCurrentAssets,18488000000.0,20301000000.0,17037000000.0,16420000000.0
longTermInvestments,55000000.0,70000000.0,23000000.0,7000000.0
netTangibleAssets,522000000.0,-2561000000.0,-4423000000.0,-3931000000.0
shortTermInvestments,200000000.0,,,
netReceivables,2468000000.0,2536000000.0,2713000000.0,2445000000.0
longTermDebt,3974000000.0,4664000000.0,5301000000.0,4389000000.0
accountsPayable,898000000.0,857000000.0,318000000.0,243000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,2692000000.0,1011000000.0,1046000000.0,851000000.0
netIncome,4222000000.0,996000000.0,1044000000.0,695000000.0
sellingGeneralAdministrative,226000000.0,235000000.0,244000000.0,243000000.0
grossProfit,4048000000.0,3762000000.0,3675000000.0,3670000000.0
ebit,1725000000.0,1397000000.0,1301000000.0,1291000000.0
operatingIncome,1725000000.0,1397000000.0,1301000000.0,1291000000.0
otherOperatingExpenses,1447000000.0,1397000000.0,1403000000.0,1394000000.0
interestExpense,-211000000.0,-244000000.0,-234000000.0,-208000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,536000000.0,249000000.0,197000000.0,136000000.0
totalRevenue,8998000000.0,8615000000.0,8370000000.0,8513000000.0
totalOperatingExpenses,7273000000.0,7218000000.0,7069000000.0,7222000000.0
costOfRevenue,4950000000.0,4853000000.0,4695000000.0,4843000000.0
totalOtherIncomeExpenseNet,967000000.0,-386000000.0,-255000000.0,-440000000.0
discontinuedOperations,2080000000.0,258000000.0,224000000.0,224000000.0
netIncomeFromContinuingOps,2156000000.0,762000000.0,849000000.0,715000000.0
netIncomeApplicableToCommonShares,4222000000.0,996000000.0,1044000000.0,695000000.0
investments,-200000000.0,-200000000.0,-200000000.0,-200000000.0
changeToLiabilities,0.0,0.0,0.0,0.0
totalCashflowsFromInvestingActivities,2570000000.0,-160000000.0,-1614000000.0,-341000000.0
netBorrowings,-1008000000.0,-45000000.0,971000000.0,74000000.0
totalCashFromFinancingActivities,-3114000000.0,378000000.0,455000000.0,-903000000.0
changeToOperatingActivities,-315000000.0,-128000000.0,-529000000.0,-65000000.0
issuanceOfStock,10000000.0,16000000.0,45000000.0,45000000.0
changeInCash,1390000000.0,2118000000.0,-78000000.0,3000000.0
repurchaseOfStock,-1643000000.0,-14000000.0,-165000000.0,-632000000.0
effectOfExchangeRate,-127000000.0,126000000.0,126000000.0,-41000000.0
totalCashFromOperatingActivities,2061000000.0,1774000000.0,1081000000.0,1288000000.0
depreciation,589000000.0,632000000.0,729000000.0,747000000.0
dividendsPaid,-374000000.0,-346000000.0,-329000000.0,-306000000.0
changeToAccountReceivables,-134000000.0,72000000.0,-261000000.0,68000000.0
otherCashflowsFromFinancingActivities,-99000000.0,767000000.0,-67000000.0,-84000000.0
changeToNetincome,-2362000000.0,99000000.0,98000000.0,-157000000.0
capitalExpenditures,-148000000.0,-223000000.0,-246000000.0,-268000000.0
otherCashflowsFromInvestingActivities,,-17000000.0,3000000.0,13000000.0
annualDilutedAverageShares,129000000.0,130000000.0,130000000.0,132000000.0
