,2021,2020,2019,2018
totalLiab,6885000000.0,7580000000.0,8229000000.0,8203000000.0
totalStockholderEquity,10767000000.0,8731000000.0,8177000000.0,9046000000.0
otherCurrentLiab,106000000.0,75000000.0,24000000.0,30000000.0
totalAssets,17652000000.0,16311000000.0,16406000000.0,17249000000.0
commonStock,934000000.0,934000000.0,932000000.0,933000000.0
otherCurrentAssets,205000000.0,139000000.0,649000000.0,405000000.0
retainedEarnings,2131000000.0,411000000.0,-3000000.0,1093000000.0
otherLiab,734000000.0,1198000000.0,953000000.0,845000000.0
treasuryStock,7702000000.0,7386000000.0,7248000000.0,7020000000.0
otherAssets,419000000.0,415000000.0,366000000.0,689000000.0
cash,1879000000.0,495000000.0,139000000.0,334000000.0
totalCurrentLiabilities,954000000.0,950000000.0,1006000000.0,1939000000.0
deferredLongTermAssetCharges,17000000.0,120000000.0,72000000.0,15000000.0
otherStockholderEquity,7702000000.0,7386000000.0,7248000000.0,7020000000.0
propertyPlantEquipment,14098000000.0,14287000000.0,14429000000.0,14958000000.0
totalCurrentAssets,3135000000.0,1609000000.0,1611000000.0,1602000000.0
netTangibleAssets,10767000000.0,8731000000.0,8177000000.0,9046000000.0
netReceivables,531000000.0,532000000.0,407000000.0,474000000.0
longTermDebt,5099000000.0,5325000000.0,6147000000.0,5419000000.0
inventory,520000000.0,443000000.0,416000000.0,389000000.0
accountsPayable,281000000.0,204000000.0,246000000.0,222000000.0
shortLongTermDebt,,150000000.0,,802000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,3316000000.0,982000000.0,-213000000.0,807000000.0
minorityInterest,,,,
netIncome,2607000000.0,797000000.0,-76000000.0,748000000.0
sellingGeneralAdministrative,510000000.0,467000000.0,948000000.0,678000000.0
grossProfit,4098000000.0,2085000000.0,1142000000.0,1884000000.0
ebit,3541000000.0,1578000000.0,160000000.0,1146000000.0
operatingIncome,3541000000.0,1578000000.0,160000000.0,1146000000.0
otherOperatingExpenses,47000000.0,40000000.0,34000000.0,60000000.0
interestExpense,-313000000.0,-443000000.0,-378000000.0,-375000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,709000000.0,185000000.0,-137000000.0,59000000.0
totalRevenue,10201000000.0,7532000000.0,6554000000.0,7476000000.0
totalOperatingExpenses,6660000000.0,5954000000.0,6394000000.0,6330000000.0
costOfRevenue,6103000000.0,5447000000.0,5412000000.0,5592000000.0
totalOtherIncomeExpenseNet,-225000000.0,-596000000.0,-373000000.0,-339000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,2607000000.0,797000000.0,-76000000.0,748000000.0
netIncomeApplicableToCommonShares,2607000000.0,797000000.0,-76000000.0,748000000.0
changeToLiabilities,113000000.0,-17000000.0,37000000.0,-154000000.0
totalCashflowsFromInvestingActivities,-325000000.0,185000000.0,187000000.0,-440000000.0
netBorrowings,-375000000.0,-990000000.0,-270000000.0,154000000.0
totalCashFromFinancingActivities,-1330000000.0,-1358000000.0,-1348000000.0,-1162000000.0
changeToOperatingActivities,-25000000.0,-4000000.0,6000000.0,-18000000.0
issuanceOfStock,51000000.0,33000000.0,13000000.0,52000000.0
changeInCash,1504000000.0,356000000.0,-195000000.0,-490000000.0
repurchaseOfStock,-100000000.0,-100000000.0,-60000000.0,-366000000.0
totalCashFromOperatingActivities,3159000000.0,1529000000.0,966000000.0,1112000000.0
depreciation,477000000.0,472000000.0,510000000.0,486000000.0
otherCashflowsFromInvestingActivities,4000000.0,365000000.0,274000000.0,-13000000.0
dividendsPaid,-509000000.0,-381000000.0,-1013000000.0,-995000000.0
changeToInventory,-77000000.0,-25000000.0,-23000000.0,-14000000.0
changeToAccountReceivables,-57000000.0,-141000000.0,13000000.0,62000000.0
otherCashflowsFromFinancingActivities,-22000000.0,-20000000.0,-18000000.0,-7000000.0
changeToNetincome,22000000.0,382000000.0,466000000.0,105000000.0
capitalExpenditures,-55000000.0,-56000000.0,-57000000.0,-59000000.0
annualDilutedAverageShares,750983000.0,747899000.0,745897000.0,756827000.0
