,2021,2020,2019,2018
intangibleAssets,177840000.0,134100000.0,127951000.0,222506000.0
capitalSurplus,3502715000.0,2598115000.0,2512676000.0,2457079000.0
totalLiab,13367041000.0,14606864000.0,12329809000.0,11401480000.0
totalStockholderEquity,-214418000.0,-351997000.0,1743045000.0,2034123000.0
minorityInterest,-621797000.0,-385320000.0,-201573000.0,-219334000.0
otherCurrentLiab,497598000.0,677474000.0,859387000.0,986292000.0
totalAssets,12530826000.0,13869547000.0,13871281000.0,13216269000.0
commonStock,1314000.0,1235000.0,1228000.0,1221000.0
otherCurrentAssets,4896000.0,,,
retainedEarnings,-2288078000.0,-1532420000.0,641818000.0,921785000.0
otherLiab,33810000.0,79111000.0,90001000.0,108277000.0
goodWill,129738000.0,144095000.0,18463000.0,
treasuryStock,-1430369000.0,-1418927000.0,-1412677000.0,-1345962000.0
otherAssets,210658000.0,182967000.0,791779000.0,966467000.0
cash,2522530000.0,3482032000.0,2351904000.0,2215001000.0
totalCurrentLiabilities,1287880000.0,1880888000.0,1982884000.0,1882063000.0
shortLongTermDebt,53900000.0,596408000.0,323876000.0,11960000.0
otherStockholderEquity,6004000.0,3604000.0,-1679000.0,-1950000.0
propertyPlantEquipment,9136673000.0,9595238000.0,10076751000.0,9385920000.0
totalCurrentAssets,2875917000.0,3813147000.0,2856337000.0,2641376000.0
netTangibleAssets,-521996000.0,-630192000.0,1596631000.0,1811617000.0
netReceivables,199463000.0,200158000.0,346429000.0,276644000.0
longTermDebt,11886146000.0,12469362000.0,10079983000.0,9411140000.0
inventory,69967000.0,66285000.0,88519000.0,66627000.0
accountsPayable,170542000.0,148478000.0,262437000.0,321796000.0
deferredLongTermAssetCharges,,,562262000.0,736452000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,-1011516000,-1762275000,488218000,305740000
netIncome,-755786000,-2067245000,122985000,572430000
sellingGeneralAdministrative,796592000,720849000,957970000,761415000
grossProfit,2035483000,880142000,4784046000,5071385000
ebit,-366241000,-1173345000,878305000,1199101000
operatingIncome,-366241000,-1173345000,878305000,1199101000
otherOperatingExpenses,852862000,536255000,2260286000,2502457000
interestExpense,-605562000,-556474000,-414030000,-381849000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,474000,564671000,176840000,-497344000
totalRevenue,3763664000,2095861000,6611099000,6717660000
totalOperatingExpenses,4129905000,3269206000,5732794000,5518559000
costOfRevenue,1728181000,1215719000,1827053000,1646275000
totalOtherIncomeExpenseNet,-645275000,-588930000,-390087000,-893361000
discontinuedOperations,,,,
netIncomeFromContinuingOps,-1011990000,-2326946000,311378000,803084000
netIncomeApplicableToCommonShares,-755786000,-2067245000,122985000,572430000
changeToLiabilities,-90077000.0,-354926000.0,-196768000.0,-42868000.0
totalCashflowsFromInvestingActivities,-342423000.0,-265759000.0,-1068598000.0,-1222810000.0
netBorrowings,-1163778000.0,2650683000.0,963690000.0,-243342000.0
totalCashFromFinancingActivities,-388002000.0,2463245000.0,299012000.0,-324257000.0
issuanceOfStock,841896000.0,70000.0,14696000.0,937211000.0
changeInCash,-955317000.0,1128092000.0,138969000.0,-587311000.0
repurchaseOfStock,-13842000.0,-11533000.0,-66986000.0,-159544000.0
effectOfExchangeRate,-2301000.0,3031000.0,7485000.0,-1733000.0
totalCashFromOperatingActivities,-222591000.0,-1072425000.0,901070000.0,961489000.0
depreciation,715962000.0,725502000.0,624878000.0,550596000.0
dividendsPaid,-1553000.0,-108777000.0,-566521000.0,-569781000.0
changeToInventory,-21499000.0,27660000.0,-37907000.0,-5212000.0
changeToAccountReceivables,-29441000.0,81646000.0,-86712000.0,-59157000.0
otherCashflowsFromFinancingActivities,-50725000.0,-67198000.0,-45867000.0,-288801000.0
changeToNetincome,-68797000.0,486006000.0,445640000.0,-91217000.0
capitalExpenditures,-290657000.0,-290115000.0,-1063293000.0,-1475972000.0
investments,,,,325363000.0
