,2021,2020,2019,2018
capitalSurplus,7803000000,7404000000,6656000000,6168000000
totalLiab,42239000000,39382000000,37209000000,33765000000
totalStockholderEquity,15612000000,14575000000,13239000000,12222000000
deferredLongTermLiab,2738000000,2737000000,2935000000,3326000000
otherCurrentLiab,1614000000,1580000000,1591000000,1598000000
totalAssets,57851000000,53957000000,50448000000,45987000000
commonStock,1360000000,1344000000,1311000000,1285000000
otherCurrentAssets,1183000000,671000000,517000000,497000000
retainedEarnings,6572000000,5968000000,5413000000,4893000000
otherLiab,14199000000,14154000000,13608000000,13502000000
treasuryStock,-123000000,-141000000,-141000000,-124000000
otherAssets,6848000000,6316000000,6336000000,6090000000
cash,166000000,129000000,248000000,147000000
totalCurrentLiabilities,5046000000,4239000000,4568000000,4460000000
shortLongTermDebt,601000000,421000000,702000000,399000000
otherStockholderEquity,-123000000,-141000000,-141000000,-124000000
propertyPlantEquipment,46440000000,44129000000,40781000000,36590000000
totalCurrentAssets,4239000000,3275000000,3113000000,3094000000
longTermInvestments,324000000,237000000,218000000,213000000
netTangibleAssets,15612000000,14575000000,13239000000,12222000000
netReceivables,1880000000,1630000000,1550000000,1615000000
longTermDebt,21779000000,19645000000,17407000000,15732000000
inventory,631000000,535000000,544000000,548000000
accountsPayable,1409000000,1237000000,1294000000,1237000000
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1527000000,1467000000,1500000000,1442000000
minorityInterest,,,,
netIncome,1597000000,1473000000,1372000000,1261000000
sellingGeneralAdministrative,308000000,246000000,247000000,324000000
grossProfit,5205000000,4914000000,4659000000,4373000000
ebit,2146000000,2108000000,2078000000,1851000000
operatingIncome,2146000000,2108000000,2078000000,1851000000
otherOperatingExpenses,630000000,612000000,569000000,556000000
interestExpense,-842000000,-840000000,-773000000,-700000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,-70000000,-6000000,128000000,181000000
totalRevenue,13431000000,11526000000,11529000000,11537000000
totalOperatingExpenses,11285000000,9418000000,9451000000,9686000000
costOfRevenue,8226000000,6612000000,6870000000,7164000000
totalOtherIncomeExpenseNet,-619000000,-641000000,-578000000,-409000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1597000000,1473000000,1372000000,1261000000
netIncomeApplicableToCommonShares,1597000000,1473000000,1372000000,1261000000
changeToLiabilities,138000000,-33000000,-12000000,90000000
totalCashflowsFromInvestingActivities,-4287000000,-4740000000,-4343000000,-3986000000
netBorrowings,2714000000,1928000000,1528000000,1448000000
totalCashFromFinancingActivities,2135000000,1773000000,1181000000,928000000
changeToOperatingActivities,-1143000000,-285000000,-191000000,1000000
issuanceOfStock,366000000,727000000,458000000,230000000
changeInCash,37000000,-119000000,101000000,64000000
totalCashFromOperatingActivities,2189000000,2848000000,3263000000,3122000000
depreciation,2257000000,2082000000,1904000000,1781000000
otherCashflowsFromInvestingActivities,-43000000,-55000000,-118000000,-29000000
dividendsPaid,-935000000,-856000000,-791000000,-730000000
changeToInventory,-126000000,-80000000,-84000000,-65000000
changeToAccountReceivables,-313000000,-157000000,22000000,-96000000
otherCashflowsFromFinancingActivities,-10000000,-26000000,-14000000,-20000000
changeToNetincome,-221000000,-152000000,252000000,150000000
capitalExpenditures,-4244000000,-5369000000,-4225000000,-3957000000
