,2021,2020,2019,2018
intangibleAssets,2319000000.0,2504000000.0,2176000000.0,2420300000.0
capitalSurplus,6606000000.0,6604000000.0,6587000000.0,6522300000.0
totalLiab,4177000000.0,4372000000.0,3508000000.0,3554000000.0
totalStockholderEquity,5042000000.0,4967000000.0,5093000000.0,5121100000.0
minorityInterest,1000000.0,3000000.0,2000000.0,11900000.0
otherCurrentLiab,157000000.0,193000000.0,145000000.0,156400000.0
totalAssets,9220000000.0,9342000000.0,8603000000.0,8687000000.0
commonStock,3000000.0,3000000.0,3000000.0,2600000.0
otherCurrentAssets,131000000.0,102000000.0,130000000.0,144600000.0
retainedEarnings,1560000000.0,1233000000.0,1404000000.0,1225900000.0
otherLiab,924000000.0,947000000.0,949000000.0,975800000.0
goodWill,3976000000.0,3986000000.0,3397000000.0,3431300000.0
treasuryStock,-3127000000.0,-2873000000.0,-2901000000.0,-2629700000.0
otherAssets,122000000.0,94000000.0,69000000.0,76800000.0
cash,339000000.0,438000000.0,405000000.0,309600000.0
totalCurrentLiabilities,1186000000.0,1317000000.0,995000000.0,1013300000.0
deferredLongTermAssetCharges,14000000.0,8000000.0,12000000.0,18600000.0
otherStockholderEquity,-592000000.0,-464000000.0,-600000000.0,-478700000.0
propertyPlantEquipment,966000000.0,967000000.0,961000000.0,870600000.0
totalCurrentAssets,1837000000.0,1791000000.0,2000000000.0,1888000000.0
netTangibleAssets,-1253000000.0,-1523000000.0,-480000000.0,-730500000.0
shortTermInvestments,22000000.0,33000000.0,40000000.0,28200000.0
netReceivables,747000000.0,673000000.0,782000000.0,701900000.0
longTermDebt,1921000000.0,1977000000.0,1443000000.0,1564900000.0
inventory,504000000.0,466000000.0,562000000.0,598900000.0
accountsPayable,268000000.0,305000000.0,308000000.0,283900000.0
shortLongTermDebt,,296000000.0,,10800000.0
researchDevelopment,171000000,123000000,143000000,161000000
effectOfAccountingCharges,,,,
incomeBeforeTax,559000000,-60000000,345000000,-958000000
netIncome,421000000,-83000000,263000000,-1011000000
sellingGeneralAdministrative,1547000000,1303000000,1571000000,1550000000
grossProfit,2358000000,1701000000,2190000000,2089000000
ebit,640000000,271000000,476000000,336000000
operatingIncome,640000000,271000000,476000000,336000000
otherOperatingExpenses,,4000000.0,4000000.0,41000000.0
interestExpense,-55000000,-47000000,-28000000,-37000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,138000000,23000000,82000000,53000000
totalRevenue,4251000000,3342000000,4029000000,3986000000
totalOperatingExpenses,3611000000,3071000000,3553000000,3650000000
costOfRevenue,1893000000,1641000000,1839000000,1897000000
totalOtherIncomeExpenseNet,-81000000,-331000000,-131000000,-1294000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,421000000,-83000000,263000000,-1011000000
netIncomeApplicableToCommonShares,421000000,-83000000,263000000,-1011000000
changeToLiabilities,-46000000.0,-23000000.0,26000000.0,7000000.0
totalCashflowsFromInvestingActivities,-358000000.0,-1106000000.0,-69000000.0,-253000000.0
netBorrowings,-102000000.0,749000000.0,-200000000.0,51000000.0
totalCashFromFinancingActivities,-379000000.0,490000000.0,-466000000.0,-250000000.0
changeToOperatingActivities,43000000.0,11000000.0,47000000.0,-57000000.0
issuanceOfStock,51000000.0,11000000.0,109000000.0,28000000.0
changeInCash,-99000000.0,33000000.0,95000000.0,-11000000.0
repurchaseOfStock,-200000000.0,-140000000.0,-260000000.0,-250000000.0
effectOfExchangeRate,-19000000.0,14000000.0,-3000000.0,-8000000.0
totalCashFromOperatingActivities,657000000.0,635000000.0,633000000.0,500000000.0
depreciation,346000000.0,320000000.0,320000000.0,331000000.0
otherCashflowsFromInvestingActivities,4000000.0,58000000.0,46000000.0,6000000.0
dividendsPaid,-92000000.0,-88000000.0,-81000000.0,-79000000.0
changeToInventory,-63000000.0,124000000.0,14000000.0,-20000000.0
changeToAccountReceivables,-109000000.0,126000000.0,-91000000.0,24000000.0
otherCashflowsFromFinancingActivities,-36000000.0,-42000000.0,-34000000.0,-34000000.0
changeToNetincome,48000000.0,199000000.0,70000000.0,1211000000.0
capitalExpenditures,-142000000.0,-87000000.0,-123000000.0,-183000000.0
investments,,,,50000000.0
