,2021,2020,2019,2018
intangibleAssets,1016000000.0,1093000000.0,1174000000.0,1232000000.0
capitalSurplus,2089000000.0,2037000000.0,1991000000.0,1950000000.0
totalLiab,5050000000.0,5774000000.0,4743000000.0,4440000000.0
totalStockholderEquity,3218000000.0,2968000000.0,2957000000.0,2768000000.0
minorityInterest,8000000.0,8000000.0,10000000.0,14000000.0
otherCurrentLiab,313000000.0,343000000.0,268000000.0,258000000.0
totalAssets,8276000000.0,8750000000.0,7710000000.0,7222000000.0
commonStock,2000000.0,2000000.0,2000000.0,2000000.0
retainedEarnings,2154000000.0,1930000000.0,1866000000.0,1639000000.0
otherLiab,976000000.0,1118000000.0,1017000000.0,1000000000.0
goodWill,2792000000.0,2854000000.0,2839000000.0,2976000000.0
treasuryStock,-1027000000.0,-1001000000.0,-902000000.0,-823000000.0
otherAssets,360000000.0,351000000.0,348000000.0,264000000.0
cash,1349000000.0,1875000000.0,724000000.0,296000000.0
totalCurrentLiabilities,1391000000.0,1956000000.0,1501000000.0,1389000000.0
deferredLongTermAssetCharges,226000000.0,256000000.0,226000000.0,140000000.0
otherStockholderEquity,-371000000.0,-413000000.0,-375000000.0,-336000000.0
propertyPlantEquipment,948000000.0,929000000.0,899000000.0,656000000.0
totalCurrentAssets,3160000000.0,3523000000.0,2450000000.0,2094000000.0
netTangibleAssets,-590000000.0,-979000000.0,-1056000000.0,-1440000000.0
netReceivables,953000000.0,923000000.0,1036000000.0,1031000000.0
longTermDebt,2440000000.0,2484000000.0,2040000000.0,2051000000.0
inventory,700000000.0,558000000.0,539000000.0,595000000.0
accountsPayable,639000000.0,569000000.0,597000000.0,586000000.0
otherCurrentAssets,,,,3000000.0
researchDevelopment,204000000.0,187000000.0,191000000.0,189000000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,511000000.0,285000000.0,416000000.0,585000000.0
netIncome,427000000.0,254000000.0,401000000.0,549000000.0
sellingGeneralAdministrative,1193000000.0,1158000000.0,1165000000.0,1150000000.0
grossProfit,1979000000.0,1836000000.0,2046000000.0,2026000000.0
ebit,582000000.0,491000000.0,690000000.0,687000000.0
operatingIncome,582000000.0,491000000.0,690000000.0,687000000.0
otherOperatingExpenses,,,,
interestExpense,-76000000.0,-77000000.0,-67000000.0,-82000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,84000000.0,31000000.0,15000000.0,36000000.0
totalRevenue,5195000000.0,4876000000.0,5249000000.0,5207000000.0
totalOperatingExpenses,4613000000.0,4385000000.0,4559000000.0,4520000000.0
costOfRevenue,3216000000.0,3040000000.0,3203000000.0,3181000000.0
totalOtherIncomeExpenseNet,-71000000.0,-206000000.0,-274000000.0,-102000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,427000000.0,254000000.0,401000000.0,549000000.0
netIncomeApplicableToCommonShares,427000000.0,254000000.0,401000000.0,549000000.0
investments,3000000.0,3000000.0,4000000.0,4000000.0
changeToLiabilities,81000000.0,-39000000.0,29000000.0,51000000.0
totalCashflowsFromInvestingActivities,-183000000.0,-169000000.0,-231000000.0,-643000000.0
netBorrowings,-600000000.0,704000000.0,27000000.0,164000000.0
totalCashFromFinancingActivities,-855000000.0,473000000.0,-177000000.0,-40000000.0
changeToOperatingActivities,29000000.0,123000000.0,19000000.0,-27000000.0
issuanceOfStock,19000000.0,20000000.0,13000000.0,7000000.0
changeInCash,-526000000.0,1151000000.0,428000000.0,-118000000.0
repurchaseOfStock,-68000000.0,-61000000.0,-40000000.0,-59000000.0
effectOfExchangeRate,-26000000.0,23000000.0,-3000000.0,-21000000.0
totalCashFromOperatingActivities,538000000.0,824000000.0,839000000.0,586000000.0
depreciation,245000000.0,251000000.0,257000000.0,261000000.0
otherCashflowsFromInvestingActivities,12000000.0,14000000.0,9000000.0,5000000.0
dividendsPaid,-203000000.0,-188000000.0,-174000000.0,-152000000.0
changeToInventory,-167000000.0,-5000000.0,47000000.0,-97000000.0
changeToAccountReceivables,-70000000.0,109000000.0,-23000000.0,-103000000.0
otherCashflowsFromFinancingActivities,-3000000.0,-2000000.0,-3000000.0,-3000000.0
changeToNetincome,2000000.0,111000000.0,122000000.0,-48000000.0
capitalExpenditures,-208000000.0,-183000000.0,-226000000.0,-237000000.0
annualDilutedAverageShares,181500000.0,181100000.0,181200000.0,181100000.0
