,2021,2020,2019,2018
intangibleAssets,359000000,343000000,244000000,242000000
totalLiab,14339000000,13743000000,13247000000,12056000000
totalStockholderEquity,-8373000000,-7891000000,-8016000000,-7926000000
otherCurrentLiab,395000000,388000000,499000000,416000000
totalAssets,5966000000,5852000000,5231000000,4130000000
otherCurrentAssets,262000000,266000000,163000000,180000000
retainedEarnings,-8048000000,-7480000000,-7628000000,-7592000000
otherLiab,899000000,846000000,864000000,981000000
goodWill,657000000,597000000,530000000,525000000
treasuryStock,-325000000,-411000000,-388000000,-334000000
otherAssets,1278000000,1092000000,935000000,649000000
cash,486000000,730000000,605000000,292000000
totalCurrentLiabilities,1415000000,1675000000,1541000000,1301000000
deferredLongTermAssetCharges,724000000,553000000,447000000,195000000
shortLongTermDebt,99000000,474000000,424000000,311000000
otherStockholderEquity,-325000000,-411000000,-388000000,-334000000
propertyPlantEquipment,2016000000,2086000000,1812000000,1237000000
totalCurrentAssets,1532000000,1689000000,1527000000,1207000000
longTermInvestments,124000000,45000000,183000000,270000000
netTangibleAssets,-9389000000,-8831000000,-8790000000,-8693000000
netReceivables,646000000,569000000,623000000,597000000
longTermDebt,11175000000,10334000000,10132000000,9713000000
accountsPayable,227000000,215000000,173000000,202000000
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1674000000,1020000000,1373000000,1839000000
minorityInterest,,,,
netIncome,1575000000,904000000,1294000000,1542000000
sellingGeneralAdministrative,1061000000,990000000,921000000,901000000
grossProfit,3166000000,2692000000,2827000000,2664000000
ebit,2137000000,1728000000,1931000000,1763000000
operatingIncome,2137000000,1728000000,1931000000,1763000000
otherOperatingExpenses,-32000000,-26000000,-25000000,7000000
interestExpense,-551000000,-558000000,-519000000,-496000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,99000000,116000000,79000000,297000000
totalRevenue,6584000000,5652000000,5597000000,5688000000
totalOperatingExpenses,4447000000,3924000000,3666000000,3925000000
costOfRevenue,3418000000,2960000000,2770000000,3024000000
totalOtherIncomeExpenseNet,-463000000,-708000000,-558000000,76000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1575000000,904000000,1294000000,1542000000
netIncomeApplicableToCommonShares,1575000000,904000000,1294000000,1542000000
changeToLiabilities,122000000.0,128000000.0,-36000000.0,-68000000.0
totalCashflowsFromInvestingActivities,-173000000.0,-335000000.0,-88000000.0,313000000.0
netBorrowings,493000000.0,128000000.0,473000000.0,292000000.0
totalCashFromFinancingActivities,-1767000000.0,-738000000.0,-938000000.0,-2620000000.0
changeToOperatingActivities,-33000000.0,8000000.0,-8000000.0,-8000000.0
changeInCash,-253000000.0,256000000.0,294000000.0,-1194000000.0
repurchaseOfStock,-1591000000.0,-239000000.0,-815000000.0,-2390000000.0
effectOfExchangeRate,-19000000.0,24000000.0,5000000.0,-63000000.0
totalCashFromOperatingActivities,1706000000.0,1305000000.0,1315000000.0,1176000000.0
depreciation,164000000.0,146000000.0,112000000.0,137000000.0
otherCashflowsFromInvestingActivities,-28000000.0,8000000.0,-2000000.0,-12000000.0
dividendsPaid,-592000000.0,-566000000.0,-511000000.0,-462000000.0
changeToAccountReceivables,-46000000.0,62000000.0,-56000000.0,-66000000.0
otherCashflowsFromFinancingActivities,-77000000.0,-61000000.0,-85000000.0,-60000000.0
changeToNetincome,-35000000.0,167000000.0,-14000000.0,-434000000.0
capitalExpenditures,-230000000.0,-160000000.0,-196000000.0,-234000000.0
investments,,206000000.0,206000000.0,-200000000.0
