,2021,2020,2019,2018
intangibleAssets,6299800000.0,7055500000.0,7257600000.0,7684600000.0
capitalSurplus,9314800000.0,9121600000.0,8920100000.0,8686100000.0
totalLiab,10790000000.0,12218300000.0,12245900000.0,12850700000.0
totalStockholderEquity,12660700000.0,12194200000.0,12388100000.0,11271300000.0
minorityInterest,5700000.0,5200000.0,4700000.0,4800000.0
otherCurrentLiab,430700000.0,575500000.0,456300000.0,602800000.0
totalAssets,23456400000.0,24417700000.0,24638700000.0,24126800000.0
commonStock,3100000.0,3100000.0,3100000.0,3100000.0
otherCurrentAssets,43700000.0,13700000.0,41800000.0,37900000.0
retainedEarnings,10292200000.0,10086900000.0,10427300000.0,9491200000.0
otherLiab,1624400000.0,1788800000.0,1867500000.0,2013200000.0
goodWill,9192200000.0,9261800000.0,9599700000.0,9594400000.0
treasuryStock,-6949400000.0,-7017400000.0,-6962400000.0,-6909100000.0
otherAssets,785000000.0,694900000.0,652900000.0,387100000.0
cash,478500000.0,802100000.0,617900000.0,542800000.0
totalCurrentLiabilities,3467900000.0,2556900000.0,3441500000.0,2421300000.0
shortLongTermDebt,1605200000.0,555000000.0,1500000000.0,525000000.0
otherStockholderEquity,-231600000.0,-297800000.0,-241900000.0,-187400000.0
propertyPlantEquipment,2287700000.0,2322200000.0,2344100000.0,2015400000.0
totalCurrentAssets,4885000000.0,5083300000.0,4723900000.0,4427400000.0
longTermInvestments,6700000.0,,60500000.0,17900000.0
netTangibleAssets,-2831300000.0,-4123100000.0,-4469200000.0,-6007700000.0
netReceivables,1404900000.0,1452700000.0,1363900000.0,1275800000.0
longTermDebt,5477500000.0,7654800000.0,6721400000.0,8416200000.0
inventory,2394500000.0,2450700000.0,2385000000.0,2256500000.0
accountsPayable,351200000.0,330000000.0,400900000.0,362600000.0
researchDevelopment,497200000,372000000,449300000,391700000
effectOfAccountingCharges,,,,
incomeBeforeTax,418400000,-274400000,905800000,-271100000
netIncome,401600000,-138900000,1131600000,-379200000
sellingGeneralAdministrative,3103600000,2988600000,3278600000,3372400000
grossProfit,5537000000,4950400000,5783500000,5661000000
ebit,1320500000,992200000,1471300000,1301000000
operatingIncome,1320500000,992200000,1471300000,1301000000
otherOperatingExpenses,,,,
interestExpense,-208400000,-212000000,-226900000,-289300000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,16300000,-137000000,-225700000,108200000
totalRevenue,7836200000,7024500000,7982200000,7932900000
totalOperatingExpenses,6515700000,6032300000,6510900000,6631900000
costOfRevenue,2299200000,2074100000,2198700000,2271900000
totalOtherIncomeExpenseNet,-902100000,-1266600000,-565500000,-1572100000
discontinuedOperations,,,,
netIncomeFromContinuingOps,402100000,-137400000,1131500000,-379300000
netIncomeApplicableToCommonShares,401600000,-138900000,1131600000,-379200000
changeToLiabilities,76400000,-95100000,-42000000,155900000
totalCashflowsFromInvestingActivities,-503600000,-613800000,-729300000,-416600000
netBorrowings,-1055000000,-307500000,-728300000,-1191100000
totalCashFromFinancingActivities,-1306000000,-421800000,-779900000,-1302200000
changeToOperatingActivities,-44200000,69500000,-17900000,8400000
issuanceOfStock,122500000,129800000,158200000,107900000
changeInCash,-323600000,184200000,75100000,18400000
effectOfExchangeRate,-13200000,15300000,-1500000,-10200000
totalCashFromOperatingActivities,1499200000,1204500000,1585800000,1747400000
depreciation,1067400000,1032700000,1006100000,1040500000
otherCashflowsFromInvestingActivities,-21400000,31300000,28400000,37700000
dividendsPaid,-200100000,-198500000,-196700000,-195200000
changeToInventory,18800000,-40800000,-125200000,-199500000
changeToAccountReceivables,-15100000,-70000000,-93800000,213600000
otherCashflowsFromFinancingActivities,-173400000,-45600000,-13100000,-23800000
changeToNetincome,117500000,738200000,-384400000,1058500000
capitalExpenditures,-473800000,-409200000,-523000000,-439000000
