,2021,2020,2019,2018
intangibleAssets,469000000,402000000,275000000,232000000
capitalSurplus,462000000,395000000,339000000,294000000
totalLiab,3231000000,3231000000,2872000000,3004000000
totalStockholderEquity,2984000000,2144000000,1839000000,1335000000
deferredLongTermLiab,28000000,23000000,21000000,15000000
otherCurrentLiab,610000000,586000000,374000000,337000000
totalAssets,6215000000,5375000000,4711000000,4339000000
commonStock,1000000,1000000,1000000,1000000
otherCurrentAssets,35000000,24000000,3000000,16000000
retainedEarnings,3573000000,2736000000,2232000000,1688000000
otherLiab,387000000,341000000,280000000,269000000
goodWill,3265000000,2988000000,2622000000,2495000000
treasuryStock,-1052000000,-988000000,-733000000,-648000000
otherAssets,288000000,226000000,208000000,173000000
cash,332000000,168000000,30000000,44000000
totalCurrentLiabilities,1800000000,1851000000,1404000000,1301000000
deferredLongTermAssetCharges,192000000,139000000,127000000,114000000
shortLongTermDebt,84000000,381000000,202000000,157000000
otherStockholderEquity,-29000000,-69000000,-44000000,-35000000
propertyPlantEquipment,403000000,409000000,366000000,249000000
totalCurrentAssets,1689000000,1273000000,1195000000,1162000000
longTermInvestments,101000000,77000000,45000000,28000000
netTangibleAssets,-750000000,-1246000000,-1058000000,-1392000000
netReceivables,782000000,558000000,653000000,549000000
longTermDebt,923000000,910000000,1088000000,1434000000
inventory,491000000,511000000,474000000,520000000
accountsPayable,700000000,601000000,552000000,552000000
researchDevelopment,567000000,453000000,447000000,444000000
effectOfAccountingCharges,,,,
incomeBeforeTax,968000000,560000000,598000000,524000000
minorityInterest,,,,
netIncome,837000000,504000000,544000000,421000000
sellingGeneralAdministrative,935000000,787000000,826000000,798000000
grossProfit,2628000000,2003000000,2100000000,1981000000
ebit,1011000000,685000000,724000000,642000000
operatingIncome,1011000000,685000000,724000000,642000000
otherOperatingExpenses,,,,
interestExpense,-5000000,-76000000,-86000000,-90000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,131000000,56000000,54000000,103000000
totalRevenue,5627000000,4448000000,4485000000,4218000000
totalOperatingExpenses,4616000000,3763000000,3761000000,3576000000
costOfRevenue,2999000000,2445000000,2385000000,2237000000
totalOtherIncomeExpenseNet,-43000000,-125000000,-126000000,-118000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,837000000,504000000,544000000,421000000
netIncomeApplicableToCommonShares,837000000,504000000,544000000,421000000
investments,-35000000.0,-26000000.0,-12000000.0,-1000000.0
changeToLiabilities,209000000.0,150000000.0,66000000.0,173000000.0
totalCashflowsFromInvestingActivities,-546000000.0,-641000000.0,-335000000.0,-137000000.0
netBorrowings,-257000000.0,-40000000.0,-312000000.0,-657000000.0
totalCashFromFinancingActivities,-371000000.0,-157000000.0,-365000000.0,-661000000.0
changeToOperatingActivities,78000000.0,31000000.0,-53000000.0,17000000.0
changeInCash,152000000.0,162000000.0,-14000000.0,-18000000.0
repurchaseOfStock,-57000000.0,-200000000.0,-47000000.0,-47000000.0
totalCashFromOperatingActivities,1069000000.0,962000000.0,685000000.0,785000000.0
depreciation,187000000.0,146000000.0,175000000.0,175000000.0
changeToInventory,18000000.0,-42000000.0,51000000.0,-43000000.0
changeToAccountReceivables,-239000000.0,130000000.0,-96000000.0,-31000000.0
otherCashflowsFromFinancingActivities,-57000000.0,83000000.0,-6000000.0,-4000000.0
changeToNetincome,-24000000.0,45000000.0,23000000.0,34000000.0
capitalExpenditures,-59000000.0,-67000000.0,-61000000.0,-64000000.0
effectOfExchangeRate,,-2000000.0,1000000.0,-5000000.0
