,2021,2020,2019,2018
intangibleAssets,13000000.0,18000000.0,18000000.0,19000000.0
capitalSurplus,1928000000.0,2686000000.0,2735000000.0,3806000000.0
totalLiab,85737000000.0,73593000000.0,61819000000.0,61168000000.0
totalStockholderEquity,7023000000.0,7320000000.0,6787000000.0,7012000000.0
totalAssets,93200000000.0,81479000000.0,69172000000.0,68746000000.0
otherCurrentAssets,309000000.0,335000000.0,351000000.0,93000000.0
retainedEarnings,5175000000.0,4309000000.0,4009000000.0,3456000000.0
otherLiab,726000000.0,754000000.0,693000000.0,651000000.0
goodWill,1014000000.0,1014000000.0,1014000000.0,1014000000.0
treasuryStock,-80000000.0,325000000.0,43000000.0,-250000000.0
otherAssets,52018000000.0,54066000000.0,49571000000.0,47745000000.0
cash,2728000000.0,6308000000.0,1189000000.0,2075000000.0
totalCurrentLiabilities,83792000000.0,71263000000.0,59157000000.0,59793000000.0
deferredLongTermAssetCharges,96000000.0,,37000000.0,130000000.0
otherStockholderEquity,-80000000.0,325000000.0,43000000.0,-250000000.0
propertyPlantEquipment,1514000000.0,1422000000.0,1360000000.0,1124000000.0
totalCurrentAssets,13919000000.0,8405000000.0,2626000000.0,2942000000.0
longTermInvestments,24722000000.0,16554000000.0,14583000000.0,15902000000.0
netTangibleAssets,6008000000.0,6304000000.0,5773000000.0,5997000000.0
shortTermInvestments,10283000000.0,1074000000.0,743000000.0,619000000.0
longTermDebt,1008000000.0,1332000000.0,1719000000.0,724000000.0
inventory,8000000.0,4000000.0,8000000.0,4000000.0
accountsPayable,82789000000.0,69653000000.0,57085000000.0,54101000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1446000000,672000000,1053000000,1143000000
minorityInterest,,,,
netIncome,1129000000,539000000,816000000,884000000
sellingGeneralAdministrative,1473000000,1415000000,1475000000,1403000000
grossProfit,3187000000,2376000000,2795000000,2822000000
ebit,0,0,0,0
operatingIncome,1471000000,726000000,1075000000,1197000000
otherOperatingExpenses,243000000,235000000,245000000,222000000
interestExpense,,,,
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,317000000,133000000,237000000,259000000
totalRevenue,3187000000,2376000000,2795000000,2822000000
totalOperatingExpenses,1716000000,1650000000,1720000000,1625000000
costOfRevenue,0,0,0,0
totalOtherIncomeExpenseNet,-25000000,-54000000,-22000000,-54000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1129000000,539000000,816000000,884000000
netIncomeApplicableToCommonShares,1088000000,501000000,776000000,843000000
investments,-14218000000,-7388000000,2447000000,-640000000
changeToLiabilities,0,0,0,0
totalCashflowsFromInvestingActivities,-11579000000,-12204000000,375000000,-2706000000
netBorrowings,-955000000,-910000000,-2608000000,1012000000
totalCashFromFinancingActivities,11002000000,11323000000,-981000000,1596000000
changeToOperatingActivities,-51000000,-176000000,-277000000,97000000
issuanceOfStock,21000000,8000000,14000000,20000000
changeInCash,52000000,-162000000,91000000,66000000
repurchaseOfStock,-800000000,-76000000,-1102000000,-672000000
totalCashFromOperatingActivities,629000000,719000000,697000000,1176000000
depreciation,-14000000,86000000,188000000,193000000
otherCashflowsFromInvestingActivities,31000000,42000000,2000000,6000000
dividendsPaid,-261000000,-259000000,-260000000,-236000000
otherCashflowsFromFinancingActivities,13123000000,12560000000,2975000000,1472000000
changeToNetincome,-328000000,353000000,46000000,-40000000
capitalExpenditures,-206000000,-171000000,-117000000,-129000000
