,2021,2020,2019,2018
intangibleAssets,1474000000.0,1710000000.0,1890000000.0,2046000000.0
capitalSurplus,1068000000.0,1065000000.0,1044000000.0,1026000000.0
totalLiab,9356000000.0,9836000000.0,8837000000.0,8592000000.0
totalStockholderEquity,4543000000.0,3769000000.0,2708000000.0,2185000000.0
minorityInterest,1000000.0,4000000.0,,
otherCurrentLiab,229000000.0,203000000.0,171000000.0,175000000.0
totalAssets,13900000000.0,13609000000.0,11545000000.0,10777000000.0
commonStock,5000000.0,5000000.0,5000000.0,5000000.0
otherCurrentAssets,377000000.0,364000000.0,314000000.0,268000000.0
retainedEarnings,7186000000.0,5659000000.0,4427000000.0,3270000000.0
otherLiab,811000000.0,891000000.0,917000000.0,926000000.0
goodWill,2682000000.0,2694000000.0,2592000000.0,2519000000.0
treasuryStock,-3716000000.0,-2960000000.0,-2768000000.0,-2116000000.0
otherAssets,178000000.0,178000000.0,161000000.0,147000000.0
cash,3485000000.0,3604000000.0,1934000000.0,1602000000.0
totalCurrentLiabilities,1797000000.0,2170000000.0,1806000000.0,1223000000.0
deferredLongTermAssetCharges,100000000.0,94000000.0,88000000.0,61000000.0
shortLongTermDebt,3000000.0,621000000.0,503000000.0,
otherStockholderEquity,-764000000.0,-730000000.0,-726000000.0,-629000000.0
propertyPlantEquipment,2603000000.0,2394000000.0,2129000000.0,1658000000.0
totalCurrentAssets,6930000000.0,6611000000.0,4748000000.0,4399000000.0
longTermInvestments,33000000.0,22000000.0,25000000.0,8000000.0
netTangibleAssets,387000000.0,-635000000.0,-1774000000.0,-2380000000.0
netReceivables,1133000000.0,1013000000.0,1086000000.0,1036000000.0
longTermDebt,6597000000.0,6612000000.0,5950000000.0,6443000000.0
inventory,1923000000.0,1628000000.0,1410000000.0,1391000000.0
accountsPayable,436000000.0,457000000.0,301000000.0,313000000.0
shortTermInvestments,,,,99000000.0
researchDevelopment,508000000,463000000,457000000,432000000
effectOfAccountingCharges,,,,
incomeBeforeTax,2488000000,1996000000,1801000000,1690000000
netIncome,2037000000,1638000000,1500000000,1428000000
sellingGeneralAdministrative,2001000000,1713000000,1636000000,1482000000
grossProfit,5481000000,4637000000,4345000000,3922000000
ebit,2811000000,2301000000,2097000000,1891000000
operatingIncome,2811000000,2301000000,2097000000,1891000000
otherOperatingExpenses,,,,
interestExpense,-224000000,-231000000,-223000000,-206000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,454000000,360000000,301000000,266000000
totalRevenue,7776000000,6675000000,6260000000,5825000000
totalOperatingExpenses,4965000000,4374000000,4163000000,3934000000
costOfRevenue,2295000000,2038000000,1915000000,1903000000
totalOtherIncomeExpenseNet,-323000000,-305000000,-296000000,-201000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,2034000000,1636000000,1500000000,1424000000
netIncomeApplicableToCommonShares,2037000000,1638000000,1500000000,1428000000
investments,-12000000.0,-12000000.0,101000000.0,28000000.0
changeToLiabilities,-17000000.0,147000000.0,-10000000.0,37000000.0
totalCashflowsFromInvestingActivities,-458000000.0,-572000000.0,-504000000.0,-2259000000.0
netBorrowings,-604000000.0,744000000.0,-9000000.0,1504000000.0
totalCashFromFinancingActivities,-1862000000.0,123000000.0,-951000000.0,533000000.0
changeToOperatingActivities,195000000.0,40000000.0,32000000.0,81000000.0
changeInCash,-119000000.0,1670000000.0,332000000.0,38000000.0
repurchaseOfStock,-778000000.0,-250000000.0,-626000000.0,-698000000.0
effectOfExchangeRate,-12000000.0,-7000000.0,-8000000.0,-26000000.0
totalCashFromOperatingActivities,2213000000.0,2126000000.0,1795000000.0,1790000000.0
depreciation,396000000.0,395000000.0,385000000.0,285000000.0
otherCashflowsFromInvestingActivities,43000000.0,-27000000.0,29000000.0,-7000000.0
dividendsPaid,-474000000.0,-380000000.0,-314000000.0,-243000000.0
changeToInventory,-366000000.0,-346000000.0,-104000000.0,61000000.0
changeToAccountReceivables,-155000000.0,74000000.0,-69000000.0,-67000000.0
otherCashflowsFromFinancingActivities,-6000000.0,-11000000.0,-9000000.0,-49000000.0
changeToNetincome,71000000.0,132000000.0,34000000.0,-58000000.0
capitalExpenditures,-477000000.0,-453000000.0,-460000000.0,-338000000.0
issuanceOfStock,,20000000.0,7000000.0,19000000.0
