stock,intrinsic value,latest stock price,safety margin
ZBRA,700.1770364221311,251.84,0.3596804620826891
ZION,297.1891121809337,47.0,0.1581484585861463
ZTS,214.79054312646053,149.93,0.69802886950999
ZBRA,700.1770364221311,251.84,0.3596804620826891
ZION,297.1891121809337,47.0,0.1581484585861463
ZTS,214.79054312646053,149.93,0.69802886950999
INTU,367.2452076686192,391.62,1.0663719820501378
INVH,,31.38,
IP,273.63883501956224,36.58,0.1336798557755331
IPG,133.47153231050723,33.03,0.2474685007973029
IQV,438.9512751163221,211.93,0.482809851603321
IR,78.77247804013831,53.13,0.6744741478480307
IRM,195.52526385808457,54.62,0.2793500897134402
ISRG,216.8543285775349,267.7,1.234469248347448
IT,457.2161023963912,347.8,0.7606906191122486
ITW,393.5964221249631,220.54,0.5603201340330798
IVZ,188.90514874613612,18.41,0.0974563166869561
J,304.4010890941128,122.91,0.4037764791373643
JBHT,708.6802604399944,176.87,0.2495765860476877
JCI,133.41831303977628,66.5,0.4984323252548862
JKHY,240.1184696845389,184.51,0.7684123601254171
JNJ,390.76311120535735,176.47,0.4516035289402225
JNPR,61.206953091625465,31.75,0.5187319151873309
JPM,,131.24,
K,270.3585350727075,73.69,0.2725639861163715
KDP,84.02008392767826,37.68,0.4484642033020785
KEY,104.88421434600528,17.2,0.1639903593429081
KEYS,274.1157908968576,176.3,0.6431588615277437
KHC,85.61910117133438,39.53,0.4616960404769444
KIM,,22.24,
KLAC,809.3096904388694,384.29,0.4748367708183608
KMB,375.4704092573245,136.77,0.3642630594259858
KMI,93.34919384893662,18.08,0.1936813726453616
KMX,382.43635513874347,65.61,0.1715579576010692
KO,110.52517943856654,63.33,0.5729916053671811
KR,334.6959933303163,46.78,0.139768628642746
L,387.48528133853694,57.07,0.1472830137001752
LDOS,304.0144936501938,108.7,0.3575487428078767
LEN,,88.06,
LH,1294.4301676943628,234.95,0.1815084396700152
LHX,510.3175770995813,220.44,0.4319663086129291
LIN,750.8572807484464,331.89,0.4420147590087634
LKQ,198.25008569719952,53.54,0.2700629349627378
LLY,289.6618455168223,372.39,1.285602525025593
LMT,1130.1010986179267,485.15,0.4292978748479416
LNC,,37.16,
LNT,335.82057716006534,54.95,0.163629044011227
LOW,606.1509753035002,208.15,0.3433962964355195
LRCX,1253.715507154444,447.23,0.3567236725140915
LUMN,288.89490418553214,5.28,0.0182765425194523
LUV,186.0615165082214,37.56,0.2018687190391698
LVS,25.50099469332675,46.14,1.809341186682188
LW,147.42879827297918,86.89,0.5893692481920287
LYB,944.0951264900438,82.33,0.0872051954193285
LYV,5.473326193244057,70.38,12.858725666099128
MA,355.26930294868134,342.23,0.963297411736795
MAA,,158.48,
MAR,177.42496706593906,159.39,0.8983515828455165
MAS,116.80332836712414,48.42,0.4145429815819226
MCD,545.5086082317296,272.6,0.4997171371568912
MCHP,161.28323062720654,75.25,0.4665705151574899
MCK,574.9548103547531,384.41,0.6685916755141418
MCO,509.6874540586144,291.53,0.5719779792077712
MDLZ,163.03960845328362,67.91,0.4165245528018949
MDT,217.300830004415,77.01,0.3543934921851672
MET,,75.56,
CB,,219.68,
CBOE,271.8849148802843,128.43,0.4723689802964977
CBRE,294.66302635515046,77.31,0.2623674946812637
CCI,323.2083111400267,139.91,0.4328787199391832
CCL,,9.06,
CDAY,-7.671853421769706,62.65,-8.166214414658121
CDNS,109.47353368963653,162.47,1.484103002106531
CDW,349.82856256094107,185.45,0.5301168053357396
CE,786.742267426599,104.07,0.1322796604539992
CEG,419.215611456115,93.16,0.2222245485477401
CF,409.5604186489945,101.67,0.2482417620710907
CFG,254.07133296277104,39.79,0.1566095613228054
CHD,164.55064881584977,80.77,0.4908519084017134
CHRW,255.46774016966435,96.3,0.3769556184903975
CHTR,3492.1460363050337,375.42,0.1075040952173993
CI,810.2199504802136,332.06,0.4098393279543284
CINF,722.0492354597787,106.86,0.1479954478893047
CL,147.1839821120662,77.34,0.5254647882886683
CLX,263.84515342951937,148.78,0.5638913509159584
CMA,369.25731223580266,65.76,0.1780871977912425
CMCSA,291.14692086318325,34.64,0.1189777308903024
CME,339.86182673884133,179.38,0.5278027300719484
CMG,1556.3798500213222,1503.75,0.9661844439706662
CMI,848.3587146191782,245.95,0.2899127406387345
CMS,426.7616448189573,61.51,0.1441319779946345
CNC,218.654009758405,87.02,0.3979803530525237
CNP,254.52867315939835,30.82,0.1210865542865538
COF,1356.561567428343,94.53,0.0696835309725028
COO,,314.76,
COP,741.4852897166757,116.51,0.1571305616117063
COST,911.2242934152458,486.09,0.5334471474395692
CPB,163.83639961120568,55.6,0.339362926260235
CPRT,123.28632209816207,63.81,0.5175756638209525
CPT,232.14311086421395,115.28,0.4965902264807247
CRL,560.5678079675366,212.47,0.3790264031934999
CRM,155.33576622433694,131.84,0.8487420714788622
CSCO,124.88807953396548,48.49,0.388267640762402
CSGP,50.293700923822726,80.96,1.6097443320511633
CSX,108.65396738783646,31.33,0.2883465809229835
CTAS,578.5945604228185,455.65,0.7875117243878432
CTLT,271.78673498121856,47.21,0.1737023699970581
CTRA,228.8127319921136,25.57,0.111750774431911
CTSH,213.86895565191708,59.96,0.2803585953708403
CTVA,186.39733927648257,64.29,0.3449083567906452
CVS,408.0037180779094,102.27,0.2506594804620659
CVX,835.5553945909711,173.55,0.2077061570345768
CZR,25.633641688549368,48.67,1.8986767698224107
D,425.08674113052206,58.41,0.1374072497407424
DAL,287.93324522105746,34.6,0.1201667420288207
DD,268.83207255122863,70.4,0.2618735158044976
DE,1393.6241331321253,440.85,0.3163335002022416
DFS,781.5590746268692,104.94,0.1342700806718932
DG,571.3052969415503,249.31,0.4363866418439783
DGX,794.5727592624353,149.49,0.1881388434946657
DHI,671.5050012998244,85.9,0.1279216086756232
DHR,456.8627768201606,269.35,0.5895643367461887
DIS,251.3957023539406,92.46,0.3677867168541542
DISH,243.33400638940395,14.48,0.0595066847205394
DLR,,109.77,
DLTR,429.9306770533028,144.46,0.3360076582348411
DOV,397.5647011436719,139.87,0.3518169485309859
DOW,539.6814400709414,51.17,0.094815193187436
DPZ,634.4507364847337,370.49,0.5839539284842722
DRI,,143.83,
DTE,,116.28,
DUK,,101.1,
DVA,,74.93,
DVN,,64.36,
DXC,,27.1,
DXCM,,118.19,
EA,,127.01,
EBAY,,43.72,
ECL,,149.24,
ED,,98.1,
EFX,,194.62,
EIX,637.6930231654264,66.31,0.1039842017885747
EL,380.87635258566894,233.88,0.6140575502055994
ELV,1199.5130286092135,530.81,0.442521245988843
EMN,475.2585040417426,85.49,0.1798810526754747
EMR,288.3642541694114,94.78,0.3286815152349556
TT,288.08438822938905,175.74,0.610029585706206
TTWO,181.6880935512101,100.65,0.553971358456855
TXN,368.4058881716641,174.3,0.4731194739178065
TXT,231.24064000212184,73.22,0.3166398432357225
TYL,206.79411837018387,311.07,1.504249745842147
UAL,283.7004717622707,44.24,0.1559391132668658
UDR,83.35536568112717,39.65,0.4756742373571917
UHS,,128.47,
ULTA,,474.13,
UNH,,543.87,
UNP,,212.35,
UPS,,176.06,
URI,1546.53933413252,352.12,0.2276825375395382
USB,,43.75,
V,280.3601228916992,206.32,0.7359106490322795
VFC,159.7043214826964,29.08,0.1820864941538275
VICI,,33.66,
VLO,444.2466387670469,119.59,0.2691973097014479
VMC,407.93701301467047,179.13,0.4391119076845278
VNO,,21.55,
VRSK,255.43167247110424,183.58,0.7187049210616883
VRSN,234.87372370738888,197.04,0.8389188747459763
VRTX,355.70479764682545,312.98,0.8798869232873088
VTR,92.5285454648154,44.01,0.4756370023857675
VTRS,146.46969415387204,10.89,0.0743498514345202
VZ,478.1897668721485,36.99,0.0773542274690496
WAB,213.9838623509549,100.92,0.4716243500385143
WAT,539.5073530837062,341.66,0.6332814521380405
WBA,259.94251525806146,40.83,0.1570731896606657
WBD,153.04515382868226,10.74,0.0701753680617831
WDC,401.2541758016345,33.91,0.0845100239324708
WEC,469.0396084509707,94.95,0.2024349293518678
WELL,,64.76,
WFC,,42.96,
WHR,1631.8455971441897,143.55,0.0879678814289903
WM,445.5488250253513,165.55,0.3715642163136226
WMB,150.4705571325942,33.81,0.2246951207219013
WMT,440.5246259601133,150.11,0.3407528005337697
WRB,160.53875622749152,74.82,0.4660556849834832
WRK,428.9472204219359,36.24,0.0844859187206117
WST,431.8671706865736,235.85,0.5461169915394367
WTW,835.120200964856,246.88,0.2956221148940802
WY,159.56394773444356,31.59,0.1979770521382065
WYNN,140.6861427455572,84.5,0.6006277402375401
XEL,483.3438560514909,69.0,0.1427555127392565
XOM,500.1562104474928,102.74,0.2054158238044828
XRAY,146.8979328432136,29.97,0.2040192085751637
XYL,165.9489697438814,111.22,0.6702060288271281
YUM,206.28858104876372,129.46,0.6275674559485067
ZBH,291.5761225237482,122.79,0.421125018527534
OMC,353.8876907558718,75.75,0.2140509601738475
ON,169.10198161337567,70.52,0.4170264554393725
ORCL,130.92437824922348,78.93,0.6028670982095585
ORLY,1507.1535125103835,832.77,0.5525449087219392
