stock,intrinsic value,latest stock price,safety margin
A,202.88073004024895,153.95,0.7588202189998935
AAL,156.98387757829659,13.78,0.08777971478712614
AAP,593.4995527342193,146.78,0.2473127390303712
AAPL,257.52443731766465,141.51,0.5495012491783173
ABBV,389.9367219468391,164.01,0.420606705573013
ABC,488.42249728614394,170.78,0.3496562933708354
ABMD,178.45532233584487,377.92,2.1177289365949625
ABT,234.7041306562314,105.14,0.447968255633291
ACGL,188.00811581620098,60.44,0.32147548385138264
ACN,521.1295964211398,285.55,0.547944315504274
ADBE,,329.3,
ADI,445.51112690187415,165.78,0.3721119181755337
ADM,287.6613644551597,92.49,0.3215238868632191
ADP,325.2034261437116,259.13,0.796824323386701
ADSK,99.79708718202157,194.77,1.9516601686455615
AEE,648.7067621154533,87.59,0.13502248645345738
AEP,740.5400586853932,98.27,0.13270045130907424
AES,97.61380710127096,28.14,0.2882788904115349
AFL,,71.85,
AIG,,62.43,
AIZ,529.9071879148136,129.56,0.2444956455673285
AJG,261.68884669209694,195.99,0.7489428857111431
AKAM,274.8607105730612,90.09,0.3277660157836673
ALB,383.79087865897844,264.33,0.6887344507081766
ALGN,529.5232124071282,186.61,0.35241136861914074
ALK,393.1037394478604,44.78,0.11391395071157656
ALL,773.7178368863756,132.27,0.17095379438618852
ALLE,216.25687167118002,109.18,0.5048625699441769
AMAT,291.132575689481,106.25,0.3649540067729321
AMCR,42.40921813107509,12.28,0.2895596886989507
AMD,112.53445776338917,70.29,0.6246086878366552
AME,215.59101041098464,140.75,0.6528565348419955
AMGN,559.8702587041967,284.22,0.5076533278581701
AMP,885.5749532453056,325.0,0.36699321588646433
AMT,,214.14,
AMZN,320.0818367621677,88.5,0.27649179002230817
ANET,98.60975002162107,126.45,1.2823275586062708
ANSS,232.07690651673101,242.14,1.043361029041222
AON,324.8493079329768,307.32,0.946038647751734
AOS,147.53151071110688,59.6,0.40398149326015836
APA,468.6726736189923,43.96,0.09379680633084511
APD,,313.54,
APH,135.8655708420197,78.46,0.5774825771808728
APTV,250.3839136008012,98.64,0.3939550212369728
ARE,,147.46,
ATO,785.4409799981232,117.8,0.14997944212215852
ATVI,134.72335295896434,76.13,0.565083916989422
AVB,393.0380244860717,169.29,0.43072168455293874
AVGO,,522.11,
AVY,528.3579135731417,192.35,0.36405246341289554
AWK,678.3121463431751,155.61,0.2294076566944933
AXP,535.0950589839271,156.3,0.2920976327024819
AZO,5551.887887327157,2465.34,0.44405435592952647
BA,-77.86479273857348,176.56,-2.26752032324532
BAC,,32.76,
BALL,260.5395077082998,54.23,0.20814501599778845
BAX,183.999297037932,51.7,0.2809793343359453
BBWI,240.01383877097072,43.38,0.18073957827654538
BBY,548.0780405244706,83.11,0.1516389890762086
BDX,527.4137277720129,244.48,0.4635450067497718
BEN,140.89742011525536,27.05,0.19198364297850776
BF-B,83.90138925248125,67.98,0.8102368817211164
BIIB,530.3815893059365,290.08,0.546926978328192
BIO,5882.446945997685,406.9,0.06917189457643093
BK,267.5668716557279,43.67,0.1632115356051596
BKNG,1818.055333627266,1946.15,1.070456967950017
BKR,117.07221966841664,28.38,0.24241446929408705
BLK,1761.9263083576643,718.96,0.40805338826580134
BMY,270.90678221341665,79.83,0.2946770078908952
BR,311.76447338935935,143.28,0.45957770121247626
BRK-B,1770.535631252236,308.6,0.17429753717056706
BRO,109.37052882242021,58.34,0.5334160914109131
BSX,56.819504725960094,45.56,0.8018373306795867
BWA,272.4535877872264,41.67,0.15294348053343432
BXP,,65.6,
C,525.7800520207435,44.96,0.08551104178867973
CAG,120.14109038697353,38.15,0.31754331409111686
CAH,31.156979764772156,79.97,2.5666801019789025
CARR,106.65750279788767,43.32,0.4061598937122119
CAT,737.1119934467686,227.53,0.30867765281644594
