stock,avg growth rate,intrinsic value,latest stock price,safety margin
CMCSA,[0.09740503514629768],141.95,36.52,0.2572744550067844
CME,[0.0930224922552933],120.3,180.89,1.5036326776550324
CMG,[0.4320957768458827],6879.49,1561.2,0.22693528672877264
CMI,[0.12082807122693283],458.33,242.12,0.5282634423667705
CMS,[0.6295307241938927],6570.1,63.9,0.009725876344278921
CNC,[1.0090795535698613],23512.87,86.89,0.003695423113994398
CNP,[-9.803200544453661],82746650417.32,31.01,3.7475837201390286e-10
COF,[0.05304592591781327],79.68,97.52,1.2238841270448195
COO,[0.3018124137668311],1154.25,314.12,0.2721411804210265
COP,[14.165262056578385],40225203373602.78,111.78,2.7788548130338114e-12
COST,[0.6984457904024897],13813.72,487.68,0.03530403014023561
CPB,[0.10105996589439832],51.68,56.91,1.1012323435843692
CPRT,[0.42216887428245964],941.0,64.38,0.06841637444675233
CPT,[-5.168520592439171],45677822.43,116.29,2.5458744267307466e-06
CRL,[0.14871647607155858],424.74,201.94,0.4754386339492352
CRM,[0.30083299941467534],271.08,133.11,0.491044611522249
CSCO,[0.012509373028028063],31.37,49.3,1.571405890849021
CSGP,[0.24439023424171186],62.9,81.94,1.3026447500466993
CSX,[0.2939832015258166],201.71,32.22,0.15973471683388601
CTAS,[0.25455027376037415],838.08,457.42,0.5457977776350922
CTLT,[1.9148055343423391],1345463.82,45.5,3.381733456519121e-05
CTRA,[1.250277728656697],74233.51,24.85,0.0003347544714899732
CTSH,[0.15643267446853745],142.04,59.04,0.41566898946088116
CTVA,[nan],,62.29,
CVS,[0.1763857983549338],285.79,103.79,0.3631669619881156
